chr	Plot.start	Plot.end	ID_class	score	strand	start	end	class
chr5	86857384	86859774	ESCTE1748_REDE	0	+	86858384	86858774	ESC_REDE
chr5	87451890	87454054	ESCTE1750_REDE	0	+	87452890	87453054	ESC_REDE
chr5	88347488	88349874	ESCTE1759_REDE	0	-	88348488	88348874	ESC_REDE
chr5	103812286	103814543	ESCTE1803_REDE	0	-	103813286	103813543	ESC_REDE
chr5	104441607	104444512	ESCTE1805_REDE	0	-	104442607	104443512	ESC_REDE
chr5	109095200	109098067	ESCTE1817_REDE	0	-	109096200	109097067	ESC_REDE
chr5	109681690	109684545	ESCTE1828_REDE	0	+	109682690	109683545	ESC_REDE
chr5	109690423	109692745	ESCTE1829_REDE	0	-	109691423	109691745	ESC_REDE
chr5	110097892	110100300	ESCTE1838_REDE	0	-	110098892	110099300	ESC_REDE
chr5	110130756	110133124	ESCTE1840_REDE	0	+	110131756	110132124	ESC_REDE
chr5	134335939	134338374	ESCTE1862_REDE	0	-	134336939	134337374	ESC_REDE
chr5	134435885	134438276	ESCTE1863_REDE	0	+	134436885	134437276	ESC_REDE
chr5	134438108	134440505	ESCTE1864_REDE	0	+	134439108	134439505	ESC_REDE
chr5	137932716	137935561	ESCTE1871_REDE	0	+	137933716	137934561	ESC_REDE
chr5	145058264	145060632	ESCTE1877_REDE	0	-	145059264	145059632	ESC_REDE
chr5	145905710	145908621	ESCTE1881_REDE	0	+	145906710	145907621	ESC_REDE
chr6	3342998	3345399	ESCTE1894_REDE	0	+	3343998	3344399	ESC_REDE
chr6	3395141	3397543	ESCTE1895_REDE	0	+	3396141	3396543	ESC_REDE
chr6	3874832	3877439	ESCTE1899_REDE	0	-	3875832	3876439	ESC_REDE
chr6	5324097	5326317	ESCTE1905_REDE	0	-	5325097	5325317	ESC_REDE
chr6	5481219	5483589	ESCTE1910_REDE	0	-	5482219	5482589	ESC_REDE
chr6	5575706	5578123	ESCTE1912_REDE	0	-	5576706	5577123	ESC_REDE
chr6	6197135	6199543	ESCTE1916_REDE	0	+	6198135	6198543	ESC_REDE
chr6	12125599	12127954	ESCTE1935_REDE	0	+	12126599	12126954	ESC_REDE
chr6	12834171	12836567	ESCTE1937_REDE	0	+	12835171	12835567	ESC_REDE
chr6	12875547	12878414	ESCTE1938_REDE	0	+	12876547	12877414	ESC_REDE
chr6	14498771	14501000	ESCTE1943_REDE	0	-	14499771	14500000	ESC_REDE
chr6	14499000	14501180	ESCTE1944_REDE	0	-	14500000	14500180	ESC_REDE
chr6	16361028	16363427	ESCTE1951_REDE	0	-	16362028	16362427	ESC_REDE
chr6	20685414	20687809	ESCTE1961_REDE	0	-	20686414	20686809	ESC_REDE
chr6	22583916	22586108	ESCTE1966_REDE	0	+	22584916	22585108	ESC_REDE
chr6	26300294	26303220	ESCTE1979_REDE	0	-	26301294	26302220	ESC_REDE
chr6	37687784	37690121	ESCTE1987_REDE	0	-	37688784	37689121	ESC_REDE
chr6	37935481	37937840	ESCTE1992_REDE	0	-	37936481	37936840	ESC_REDE
chr6	39130576	39132941	ESCTE1995_REDE	0	+	39131576	39131941	ESC_REDE
chr6	56865801	56868186	ESCTE2022_REDE	0	-	56866801	56867186	ESC_REDE
chr6	59168024	59170412	ESCTE2029_REDE	0	+	59169024	59169412	ESC_REDE
chr6	60362680	60365510	ESCTE2035_REDE	0	-	60363680	60364510	ESC_REDE
chr6	60409470	60411871	ESCTE2037_REDE	0	+	60410470	60410871	ESC_REDE
chr6	61046733	61049152	ESCTE2038_REDE	0	+	61047733	61048152	ESC_REDE
chr6	63127574	63130407	ESCTE2047_REDE	0	+	63128574	63129407	ESC_REDE
chr6	65059952	65062353	ESCTE2050_REDE	0	-	65060952	65061353	ESC_REDE
chr6	67786161	67788542	ESCTE2056_REDE	0	+	67787161	67787542	ESC_REDE
chr6	68010992	68013781	ESCTE2063_REDE	0	+	68011992	68012781	ESC_REDE
chr6	68812139	68815079	ESCTE2067_REDE	0	+	68813139	68814079	ESC_REDE
chr6	68851449	68854289	ESCTE2068_REDE	0	+	68852449	68853289	ESC_REDE
chr6	75287495	75290383	ESCTE2089_REDE	0	-	75288495	75289383	ESC_REDE
chr6	79400055	79402385	ESCTE2094_REDE	0	-	79401055	79401385	ESC_REDE
chr6	81075678	81078060	ESCTE2098_REDE	0	+	81076678	81077060	ESC_REDE
chr6	82300936	82303855	ESCTE2099_REDE	0	+	82301936	82302855	ESC_REDE
chr6	93628889	93631305	ESCTE2115_REDE	0	+	93629889	93630305	ESC_REDE
chr6	107217397	107219779	ESCTE2134_REDE	0	+	107218397	107218779	ESC_REDE
chr6	122470404	122472824	ESCTE2150_REDE	0	-	122471404	122471824	ESC_REDE
chr6	123695559	123697964	ESCTE2159_REDE	0	-	123696559	123696964	ESC_REDE
chr6	127827233	127829624	ESCTE2167_REDE	0	-	127828233	127828624	ESC_REDE
chr6	128733807	128736143	ESCTE2170_REDE	0	-	128734807	128735143	ESC_REDE
chr6	128993277	128995970	ESCTE2178_REDE	0	-	128994277	128994970	ESC_REDE
chr6	131608654	131611526	ESCTE2194_REDE	0	+	131609654	131610526	ESC_REDE
chr6	133312627	133315463	ESCTE2211_REDE	0	+	133313627	133314463	ESC_REDE
chr6	144272578	144274964	ESCTE2230_REDE	0	+	144273578	144273964	ESC_REDE
chr7	4311911	4314734	ESCTE2251_REDE	0	-	4312911	4313734	ESC_REDE
chr7	17901965	17904830	ESCTE2332_REDE	0	-	17902965	17903830	ESC_REDE
chr7	18000119	18002514	ESCTE2334_REDE	0	-	18001119	18001514	ESC_REDE
chr7	23469204	23471597	ESCTE2347_REDE	0	-	23470204	23470597	ESC_REDE
chr7	34168577	34170912	ESCTE2474_REDE	0	+	34169577	34169912	ESC_REDE
chr7	35529291	35532138	ESCTE2476_REDE	0	+	35530291	35531138	ESC_REDE
chr7	41673046	41675797	ESCTE2481_REDE	0	+	41674046	41674797	ESC_REDE
chr7	52731067	52733844	ESCTE2501_REDE	0	-	52732067	52732844	ESC_REDE
chr7	54644407	54646809	ESCTE2506_REDE	0	+	54645407	54645809	ESC_REDE
chr7	75801838	75804226	ESCTE2526_REDE	0	-	75802838	75803226	ESC_REDE
chr7	80538719	80541115	ESCTE2528_REDE	0	+	80539719	80540115	ESC_REDE
chr7	82841840	82843904	ESCTE2529_REDE	0	-	82842840	82842904	ESC_REDE
chr7	85103566	85105970	ESCTE2534_REDE	0	+	85104566	85104970	ESC_REDE
chr7	89316185	89318580	ESCTE2548_REDE	0	+	89317185	89317580	ESC_REDE
chr7	106744421	106747222	ESCTE2591_REDE	0	+	106745421	106746222	ESC_REDE
chr7	108183424	108185829	ESCTE2599_REDE	0	+	108184424	108184829	ESC_REDE
chr7	108184257	108186665	ESCTE2600_REDE	0	+	108185257	108185665	ESC_REDE
chr7	108195984	108198367	ESCTE2602_REDE	0	+	108196984	108197367	ESC_REDE
chr7	108615804	108618168	ESCTE2612_REDE	0	+	108616804	108617168	ESC_REDE
chr7	108661230	108664149	ESCTE2613_REDE	0	+	108662230	108663149	ESC_REDE
chr7	108677803	108680209	ESCTE2615_REDE	0	-	108678803	108679209	ESC_REDE
chr7	137569239	137571633	ESCTE2642_REDE	0	+	137570239	137570633	ESC_REDE
chr7	142205716	142208585	ESCTE2651_REDE	0	-	142206716	142207585	ESC_REDE
chr8	3551219	3553256	ESCTE2661_REDE	0	-	3552219	3552256	ESC_REDE
chr8	3551249	3553506	ESCTE2662_REDE	0	-	3552249	3552506	ESC_REDE
chr8	4585425	4587790	ESCTE2671_REDE	0	+	4586425	4586790	ESC_REDE
chr8	18478878	18481057	ESCTE2693_REDE	0	-	18479878	18480057	ESC_REDE
chr8	18479084	18481322	ESCTE2694_REDE	0	-	18480084	18480322	ESC_REDE
chr8	22425742	22428175	ESCTE2701_REDE	0	-	22426742	22427175	ESC_REDE
chr8	26062510	26065156	ESCTE2703_REDE	0	+	26063510	26064156	ESC_REDE
chr8	26644395	26646793	ESCTE2705_REDE	0	+	26645395	26645793	ESC_REDE
chr8	28382466	28384827	ESCTE2710_REDE	0	+	28383466	28383827	ESC_REDE
chr8	32666398	32669257	ESCTE2715_REDE	0	+	32667398	32668257	ESC_REDE
chr8	36150877	36153210	ESCTE2719_REDE	0	-	36151877	36152210	ESC_REDE
chr8	40937926	40940079	ESCTE2726_REDE	0	-	40938926	40939079	ESC_REDE
chr8	40938128	40940305	ESCTE2727_REDE	0	-	40939128	40939305	ESC_REDE
chr8	51124058	51127006	ESCTE2738_REDE	0	+	51125058	51126006	ESC_REDE
chr8	54013046	54015878	ESCTE2747_REDE	0	-	54014046	54014878	ESC_REDE
chr8	55691040	55693774	ESCTE2754_REDE	0	+	55692040	55692774	ESC_REDE
chr8	60735997	60738326	ESCTE2771_REDE	0	+	60736997	60737326	ESC_REDE
chr8	60837597	60839888	ESCTE2772_REDE	0	+	60838597	60838888	ESC_REDE
chr8	61963500	61965938	ESCTE2777_REDE	0	-	61964500	61964938	ESC_REDE
chr8	63729731	63732134	ESCTE2785_REDE	0	-	63730731	63731134	ESC_REDE
chr8	63928461	63931333	ESCTE2787_REDE	0	+	63929461	63930333	ESC_REDE
chr8	64950872	64953708	ESCTE2788_REDE	0	+	64951872	64952708	ESC_REDE
chr8	72554892	72557262	ESCTE2817_REDE	0	+	72555892	72556262	ESC_REDE
chr8	72675634	72678536	ESCTE2818_REDE	0	-	72676634	72677536	ESC_REDE
chr8	74326493	74328799	ESCTE2827_REDE	0	-	74327493	74327799	ESC_REDE
chr8	75317504	75319835	ESCTE2831_REDE	0	-	75318504	75318835	ESC_REDE
chr8	75414438	75417305	ESCTE2833_REDE	0	+	75415438	75416305	ESC_REDE
chr8	78012072	78014394	ESCTE2839_REDE	0	-	78013072	78013394	ESC_REDE
chr8	89823458	89825879	ESCTE2864_REDE	0	-	89824458	89824879	ESC_REDE
chr8	93440735	93443597	ESCTE2868_REDE	0	-	93441735	93442597	ESC_REDE
chr8	129114703	129117091	ESCTE2899_REDE	0	-	129115703	129116091	ESC_REDE
chr9	3375320	3377617	ESCTE2901_REDE	0	-	3376320	3376617	ESC_REDE
chr9	3523073	3525453	ESCTE2904_REDE	0	+	3524073	3524453	ESC_REDE
chr9	3561798	3564642	ESCTE2905_REDE	0	+	3562798	3563642	ESC_REDE
chr9	3870150	3872532	ESCTE2906_REDE	0	-	3871150	3871532	ESC_REDE
chr9	3986944	3989665	ESCTE2909_REDE	0	-	3987944	3988665	ESC_REDE
chr9	4019150	4021532	ESCTE2910_REDE	0	+	4020150	4020532	ESC_REDE
chr9	4282946	4285336	ESCTE2915_REDE	0	+	4283946	4284336	ESC_REDE
chr9	6735463	6737853	ESCTE2934_REDE	0	+	6736463	6736853	ESC_REDE
chr9	8768253	8770686	ESCTE2951_REDE	0	-	8769253	8769686	ESC_REDE
chr9	9393252	9395658	ESCTE2957_REDE	0	+	9394252	9394658	ESC_REDE
chr9	10539891	10542287	ESCTE2962_REDE	0	+	10540891	10541287	ESC_REDE
chr9	11439996	11442853	ESCTE2975_REDE	0	-	11440996	11441853	ESC_REDE
chr9	11939782	11942333	ESCTE2978_REDE	0	-	11940782	11941333	ESC_REDE
chr9	17873759	17876169	ESCTE3002_REDE	0	-	17874759	17875169	ESC_REDE
chr9	18077464	18079831	ESCTE3006_REDE	0	-	18078464	18078831	ESC_REDE
chr9	22160269	22162617	ESCTE3042_REDE	0	-	22161269	22161617	ESC_REDE
