Refseq_ID	ENSMBL_ID	Gene_Name
NM_001007596	ENSMUSG00000021087	Rtn1
NM_001008230	ENSMUSG00000047531	Rtp2
NM_001008231	ENSMUSG00000040260	Daam2
NM_001008232	ENSMUSG00000036995	Asap3
NM_001008233	ENSMUSG00000078485	Plekhn1
NM_001008238	ENSMUSG00000011958	Bnip2
NM_001008419	ENSMUSG00000079554	Aox2
NM_001008420	ENSMUSG00000040452	Cdh12
NM_001008421	ENSMUSG00000061458	Nol10
NM_001008422	ENSMUSG00000038406	Scaf1
NM_001008423	ENSMUSG00000062961	Ccdc177
NM_001008424	ENSMUSG00000039518	Cdsn
NM_001008425	ENSMUSG00000041319	Thoc6
NM_001008426	ENSMUSG00000043282	Teddm1b
NM_001008427	ENSMUSG00000069727	Zfp975
NM_001008428	ENSMUSG00000061701	Fbxw20
NM_001008429	ENSMUSG00000069708	Taar3
NM_001008497	ENSMUSG00000036381	P2ry14
NM_001008498	ENSMUSG00000039715	Wdr34
NM_001008499	ENSMUSG00000069707	Taar4
NM_001008501	ENSMUSG00000067928	Zfp760
NM_001008502	ENSMUSG00000051444	Bbs12
NM_001008506	ENSMUSG00000021012	Zc3h14
NM_001008533	ENSMUSG00000042429	Adora1
NM_001008542	ENSMUSG00000025025	Mxi1
NM_001008543	ENSMUSG00000025025	Mxi1
NM_001008545	ENSMUSG00000041459	Tardbp
NM_001008546	ENSMUSG00000041459	Tardbp
NM_001008547	ENSMUSG00000095040	1700001J03Rik
NM_001008548	ENSMUSG00000110195	Pde2a
NM_001008549	ENSMUSG00000056592	Zfp658
NM_001008550	ENSMUSG00000066440	Zfyve26
NM_001008700	ENSMUSG00000030748	Il4ra
NM_001008702	ENSMUSG00000022150	Dab2
NM_001008705	ENSMUSG00000038722	Bud31
NM_001008706	ENSMUSG00000099269	Calm5
NM_001008785	ENSMUSG00000030031	Kbtbd8
NM_001008791	ENSMUSG00000039137	Whrn
NM_001008792	ENSMUSG00000039137	Whrn
NM_001008793	ENSMUSG00000039137	Whrn
NM_001008973	ENSMUSG00000045036	Tmem232
NM_001009544	ENSMUSG00000023350	4921501E09Rik
NM_001009545	ENSMUSG00000051804	Adam6b
NM_001009546	ENSMUSG00000054999	Naaladl1
NM_001009547	ENSMUSG00000063900	Adam26b
NM_001009548	ENSMUSG00000046282	Adam20
NM_001009549	ENSMUSG00000059334	Zfp36l3
NM_001009550	ENSMUSG00000066153	Mup21
NM_001009573	ENSMUSG00000057948	Unc13d
NM_001009574	ENSMUSG00000069706	Taar5
NM_001009575	ENSMUSG00000072969	Armcx5
NM_001009818	ENSMUSG00000058013	Sept11
NM_001009819	ENSMUSG00000028794	A3galt2
NM_001009927	ENSMUSG00000018599	Mief2
NM_001009929	ENSMUSG00000053046	Brsk2
NM_001009930	ENSMUSG00000053046	Brsk2
NM_001009935	ENSMUSG00000038393	Txnip
NM_001009940	ENSMUSG00000016524	Il19
NM_001009947	ENSMUSG00000031093	Dock11
NM_001009948	ENSMUSG00000059361	Nrsn2
NM_001009949	ENSMUSG00000045973	Slc25a51
NM_001009950	ENSMUSG00000034224	Slc38a8
NM_001009951	ENSMUSG00000038215	Cep44
NM_001009952	ENSMUSG00000094305	Scgb2b20
NM_001009978	ENSMUSG00000059173	Pde1a
NM_001009979	ENSMUSG00000059173	Pde1a
NM_001009981	ENSMUSG00000031684	Slc10a7
NM_001010825	ENSMUSG00000053334	Ficd
NM_001010826	ENSMUSG00000051727	Kctd14
NM_001010827	ENSMUSG00000095171	Taar7b
NM_001010828	ENSMUSG00000045111	Taar6
NM_001010829	ENSMUSG00000095647	Taar7a
NM_001010830	ENSMUSG00000096442	Taar8a
NM_001010831	ENSMUSG00000037424	Taar9
NM_001010833	ENSMUSG00000061607	Mdc1
NM_001010834	ENSMUSG00000058921	Slc10a5
NM_001010835	ENSMUSG00000100689	Taar7e
NM_001010836	ENSMUSG00000040734	Ppp1r13l
NM_001010837	ENSMUSG00000100186	Taar8b
NM_001010838	ENSMUSG00000095569	Taar7d
NM_001010839	ENSMUSG00000100950	Taar7f
NM_001010840	ENSMUSG00000100004	Taar8c
NM_001010930	ENSMUSG00000029918	Mrps33
NM_001010937	ENSMUSG00000040055	Gjb6
NM_001010941	ENSMUSG00000041468	Gpr12
NM_001010973	ENSMUSG00000034987	Hrh2
NM_001011517	ENSMUSG00000060827	Olfr1193
NM_001011518	ENSMUSG00000043827	Olfr94
NM_001011519	ENSMUSG00000061875	Olfr1148
NM_001011520	ENSMUSG00000057540	Olfr310
NM_001011523	ENSMUSG00000059189	Olfr913
NM_001011524	ENSMUSG00000060556	Olfr1418
NM_001011525	ENSMUSG00000057464	Olfr1415
NM_001011527	ENSMUSG00000060759	Olfr503
NM_001011528	ENSMUSG00000090631	Olfr456
NM_001011529	ENSMUSG00000111567	Olfr1251
NM_001011530	ENSMUSG00000093825	Olfr723
NM_001011531	ENSMUSG00000064252	Olfr329-ps
NM_001011532	ENSMUSG00000075205	Olfr1037
NM_001011533	ENSMUSG00000073909	Olfr688
NM_001011534	ENSMUSG00000075222	Olfr988
NM_001011535	ENSMUSG00000090097	Olfr1182
NM_001011536	ENSMUSG00000060888	Olfr566
NM_001011542	ENSMUSG00000073899	Olfr1532-ps1
NM_001011662	ENSMUSG00000090629	Olfr180
NM_001011684	ENSMUSG00000067604	Nms
NM_001011687	ENSMUSG00000068392	Rnase13
NM_001011695	ENSMUSG00000075215	Olfr1000
NM_001011707	ENSMUSG00000067229	Cyp2c66
NM_001011721	ENSMUSG00000091531	Olfr102
NM_001011732	ENSMUSG00000042631	Xkr7
NM_001011733	ENSMUSG00000075427	Olfr288
NM_001011734	ENSMUSG00000070855	Olfr1116
NM_001011735	ENSMUSG00000075181	Olfr1066
NM_001011736	ENSMUSG00000094422	Olfr205
NM_001011737	ENSMUSG00000071185	Olfr1357
NM_001011738	ENSMUSG00000053815	Olfr744
NM_001011739	ENSMUSG00000096424	Olfr885
NM_001011740	ENSMUSG00000044061	Olfr225
NM_001011741	ENSMUSG00000108167	Olfr1386
NM_001011742	ENSMUSG00000043855	Olfr479
NM_001011743	ENSMUSG00000056564	Olfr324
NM_001011748	ENSMUSG00000044454	Olfr867
NM_001011749	ENSMUSG00000073900	Olfr704
NM_001011750	ENSMUSG00000062042	Olfr294
NM_001011751	ENSMUSG00000062878	Olfr298
NM_001011752	ENSMUSG00000063394	Olfr293
NM_001011753	ENSMUSG00000092413	Olfr115
NM_001011754	ENSMUSG00000046210	Olfr735
NM_001011755	ENSMUSG00000094531	Olfr671
NM_001011756	ENSMUSG00000057349	Olfr948
NM_001011757	ENSMUSG00000109806	Olfr663
NM_001011758	ENSMUSG00000075209	Olfr1016
NM_001011759	ENSMUSG00000043267	Olfr1031
NM_001011760	ENSMUSG00000059504	Olfr314
NM_001011761	ENSMUSG00000075095	Olfr1229
NM_001011767	ENSMUSG00000020168	Olfr299
NM_001011769	ENSMUSG00000060030	Olfr317
NM_001011770	ENSMUSG00000050813	Olfr332
NM_001011771	ENSMUSG00000111711	Olfr1089
NM_001011773	ENSMUSG00000095586	Olfr1287
NM_001011774	ENSMUSG00000057207	Olfr1028
NM_001011775	ENSMUSG00000067545	Olfr1419
NM_001011776	ENSMUSG00000062782	Olfr527
NM_001011777	ENSMUSG00000075202	Olfr1042
NM_001011778	ENSMUSG00000062037	Olfr285
NM_001011779	ENSMUSG00000059460	Olfr286
NM_001011780	ENSMUSG00000090129	Olfr287
NM_001011782	ENSMUSG00000044814	Olfr543
NM_001011784	ENSMUSG00000075204	Olfr1039
NM_001011785	ENSMUSG00000075223	Olfr987
NM_001011787	ENSMUSG00000094747	Olfr1307
NM_001011788	ENSMUSG00000109022	Olfr1432
NM_001011789	ENSMUSG00000059610	Olfr222
NM_001011790	ENSMUSG00000063827	Olfr1382
NM_001011791	ENSMUSG00000060057	Olfr193
NM_001011792	ENSMUSG00000095706	Olfr207
NM_001011793	ENSMUSG00000073951	Olfr598
NM_001011794	ENSMUSG00000056281	Olfr1322
NM_001011795	ENSMUSG00000074966	Olfr1275
NM_001011796	ENSMUSG00000075079	Olfr1249
NM_001011797	ENSMUSG00000095075	Olfr782
NM_001011798	ENSMUSG00000095893	Olfr884
NM_001011799	ENSMUSG00000095831	Olfr453
NM_001011800	ENSMUSG00000053251	Olfr212
NM_001011801	ENSMUSG00000081649	Olfr213
NM_001011802	ENSMUSG00000049758	Olfr1318
NM_001011803	ENSMUSG00000096566	Olfr1306
NM_001011804	ENSMUSG00000075112	Olfr1211
NM_001011805	ENSMUSG00000059729	Olfr1385
NM_001011806	ENSMUSG00000052058	Olfr901
NM_001011807	ENSMUSG00000094539	Olfr191
NM_001011808	ENSMUSG00000052537	Olfr198
NM_001011809	ENSMUSG00000050030	Olfr728
NM_001011810	ENSMUSG00000108995	Olfr485
NM_001011811	ENSMUSG00000095929	Olfr487
NM_001011812	ENSMUSG00000094269	Olfr951
NM_001011813	ENSMUSG00000091601	Olfr93
NM_001011814	ENSMUSG00000050366	Olfr524
NM_001011815	ENSMUSG00000056883	Olfr533
NM_001011816	ENSMUSG00000075125	Olfr1181
NM_001011818	ENSMUSG00000107677	Olfr316
NM_001011819	ENSMUSG00000096806	Olfr312
NM_001011820	ENSMUSG00000108674	Olfr1359
NM_001011821	ENSMUSG00000095401	Olfr804
NM_001011822	ENSMUSG00000096497	Olfr787
NM_001011823	ENSMUSG00000095525	Olfr834
NM_001011824	ENSMUSG00000095957	Olfr832
NM_001011825	ENSMUSG00000075165	Olfr1105
NM_001011826	ENSMUSG00000055820	Olfr967
NM_001011827	ENSMUSG00000064110	Olfr963
NM_001011828	ENSMUSG00000062426	Olfr304
NM_001011829	ENSMUSG00000109376	Olfr761
NM_001011830	ENSMUSG00000059964	Olfr119
NM_001011831	ENSMUSG00000054526	Olfr1500
NM_001011832	ENSMUSG00000061387	Olfr1490
NM_001011833	ENSMUSG00000075150	Olfr1137
NM_001011834	ENSMUSG00000045225	Olfr1152
NM_001011835	ENSMUSG00000075139	Olfr1162
NM_001011836	ENSMUSG00000062272	Olfr1129
NM_001011837	ENSMUSG00000060084	Olfr748
NM_001011839	ENSMUSG00000096436	Olfr1437
NM_001011840	ENSMUSG00000096365	Olfr1463
NM_001011841	ENSMUSG00000062199	Olfr1465
NM_001011842	ENSMUSG00000096273	Olfr1474
NM_001011845	ENSMUSG00000073952	Olfr597
NM_001011846	ENSMUSG00000066240	Olfr517
NM_001011847	ENSMUSG00000057461	Olfr591
NM_001011848	ENSMUSG00000096773	Olfr675
NM_001011849	ENSMUSG00000094496	Olfr792
NM_001011850	ENSMUSG00000062314	Olfr1505
NM_001011851	ENSMUSG00000058275	Olfr412
NM_001011852	ENSMUSG00000059873	Olfr1029
NM_001011853	ENSMUSG00000067526	Olfr1425
NM_001011854	ENSMUSG00000109659	Olfr605
NM_001011855	ENSMUSG00000068535	Olfr169
NM_001011856	ENSMUSG00000073769	Olfr1331
NM_001011857	ENSMUSG00000047794	Olfr685
NM_001011858	ENSMUSG00000060105	Olfr504
NM_001011859	ENSMUSG00000095839	Olfr965
NM_001011860	ENSMUSG00000075101	Olfr1222
NM_001011861	ENSMUSG00000058807	Olfr331
NM_001011862	ENSMUSG00000096714	Olfr699
NM_001011863	ENSMUSG00000070375	Olfr406
NM_001011864	ENSMUSG00000063225	Olfr917
NM_001011865	ENSMUSG00000045780	Olfr624
NM_001011866	ENSMUSG00000054054	Olfr309
NM_001011867	ENSMUSG00000095901	Olfr538
NM_001011868	ENSMUSG00000056995	Olfr1178
NM_001011869	ENSMUSG00000094192	Olfr452
NM_001011870	ENSMUSG00000096705	Olfr1329
NM_001011871	ENSMUSG00000058244	Olfr506
NM_001011872	ENSMUSG00000102091	Olfr1034
NM_001011873	ENSMUSG00000067813	Xkr9
NM_001011874	ENSMUSG00000051951	Xkr4
NM_001011875	ENSMUSG00000068407	Rnase12
NM_001011876	ENSMUSG00000072598	Ang6
