chr	start	end	id	strand
chr12	54714218	54714381	ENSMUSG00000094826.1	+
chr14	110428157	110428263	ENSMUSG00000094312.1	-
chr9	106812495	106812598	ENSMUSG00000088812.1	-
chr1	128885909	128886019	ENSMUSG00000064737.1	-
chr5	36666409	36666512	ENSMUSG00000089407.1	-
chr8	24938300	24938402	ENSMUSG00000088736.1	+
chr4	108537491	108537597	ENSMUSG00000084593.1	-
chr12	98599033	98599095	ENSMUSG00000089351.1	+
chr11	101397589	101397768	ENSMUSG00000064759.1	-
chr12	55910821	55910923	ENSMUSG00000065244.1	-
chr6	76200118	76200278	ENSMUSG00000064490.1	-
chrX	92882451	92882555	ENSMUSG00000088663.1	+
chr9	65900201	65900308	ENSMUSG00000065301.1	+
chr15	8220004	8220114	ENSMUSG00000064566.1	+
chrX	162850158	162850264	ENSMUSG00000088195.1	-
chr8	107009502	107009611	ENSMUSG00000088969.1	-
chr5	150708044	150708149	ENSMUSG00000084717.1	+
chr10	48619312	48619395	ENSMUSG00000065630.1	-
chr1	167349025	167349131	ENSMUSG00000095752.1	+
chr2	164601936	164602042	ENSMUSG00000065797.1	+
chr13	112291121	112291273	ENSMUSG00000088991.1	+
chr7	122265094	122265200	ENSMUSG00000064532.1	+
chr7	108120470	108120527	ENSMUSG00000088237.1	-
chr3	96486555	96486719	ENSMUSG00000095260.1	-
chr13	41577909	41578074	ENSMUSG00000092835.1	-
chr3	132537560	132537665	ENSMUSG00000089510.1	-
chr3	79834933	79835035	ENSMUSG00000077461.1	+
chr6	29487717	29487822	ENSMUSG00000088643.1	-
chr14	96444955	96445070	ENSMUSG00000065042.1	+
chr9	90351995	90352171	ENSMUSG00000065881.1	+
chr6	130176753	130176826	ENSMUSG00000094579.1	+
chr3	86384247	86384353	ENSMUSG00000064867.1	+
chr6	78911167	78911330	ENSMUSG00000094980.1	+
chr2	132717106	132717208	ENSMUSG00000064413.1	+
chrX	74713767	74713873	ENSMUSG00000065859.2	-
chr9	83938369	83938475	ENSMUSG00000101392.1	-
chr10	105040273	105040438	ENSMUSG00000064432.1	+
chr16	43126233	43126339	ENSMUSG00000094605.1	+
chr16	84294535	84294641	ENSMUSG00000095070.1	+
chr4	93600979	93601085	ENSMUSG00000095898.1	+
chr13	80158663	80158790	ENSMUSG00000084661.1	+
chr11	98423290	98423380	ENSMUSG00000089223.1	-
chr14	27489269	27489377	ENSMUSG00000088615.1	+
chr10	83158025	83158127	ENSMUSG00000088270.1	-
chr9	45634706	45634812	ENSMUSG00000096202.1	-
chr3	151608343	151608449	ENSMUSG00000065138.1	+
chr5	34162324	34162426	ENSMUSG00000077454.1	+
chr18	21380825	21380931	ENSMUSG00000096341.1	-
chr6	64413648	64413750	ENSMUSG00000064775.1	+
chr3	146387742	146387844	ENSMUSG00000088218.1	-
chr10	90450910	90451004	ENSMUSG00000088221.1	+
chr13	119813233	119813339	ENSMUSG00000096182.1	+
chr12	77418417	77418576	ENSMUSG00000064833.1	+
chr16	10237918	10238020	ENSMUSG00000089563.1	+
chr14	63099536	63099642	ENSMUSG00000064399.1	+
chr11	79639021	79639128	ENSMUSG00000077574.1	-
chr2	80984083	80984189	ENSMUSG00000065261.1	-
chrX	59190773	59190866	ENSMUSG00000088647.1	+
chr5	65660806	65660879	ENSMUSG00000088494.1	+
chr6	29113441	29113606	ENSMUSG00000064436.1	-
chr1	184580109	184580206	ENSMUSG00000089057.1	-
chr14	56852758	56852816	ENSMUSG00000087941.2	-
chrX	109009681	109009847	ENSMUSG00000077652.1	-
chr9	114602088	114602192	ENSMUSG00000087925.1	-
chr9	65196572	65196687	ENSMUSG00000095738.1	-
chr18	33004663	33004766	ENSMUSG00000088077.1	-
chr12	54729602	54729765	ENSMUSG00000093815.1	+
chr7	104264683	104264790	ENSMUSG00000088658.1	-
chr12	35441190	35441296	ENSMUSG00000065195.1	+
chr3	48954722	48954885	ENSMUSG00000065018.1	+
chr5	86236855	86236961	ENSMUSG00000094833.1	-
chr1	188760476	188760579	ENSMUSG00000084550.1	+
chr8	72037642	72037799	ENSMUSG00000084610.1	+
chr7	123382669	123382771	ENSMUSG00000088449.1	-
chr6	19624609	19624715	ENSMUSG00000065702.1	+
chr7	38380349	38380455	ENSMUSG00000094848.1	+
chr2	152417262	152417324	ENSMUSG00000088139.2	+
chr1	10009814	10009917	ENSMUSG00000095780.1	-
chrX	22861936	22862045	ENSMUSG00000064659.1	+
chr16	23425651	23425721	ENSMUSG00000088862.1	+
chrX	60257552	60257658	ENSMUSG00000094896.1	+
chr14	61342964	61343067	ENSMUSG00000089253.1	-
chr15	68671416	68671522	ENSMUSG00000096689.1	+
chr6	124741225	124741286	ENSMUSG00000089083.1	-
chr2	181512550	181512712	ENSMUSG00000088378.1	+
chr2	84703262	84703362	ENSMUSG00000099206.1	+
chr8	13283115	13283217	ENSMUSG00000089026.2	-
chr11	74936061	74936151	ENSMUSG00000088719.1	-
chr4	136137496	136137598	ENSMUSG00000088614.1	+
chr9	84649496	84649659	ENSMUSG00000065122.1	+
chr9	82463356	82463452	ENSMUSG00000088760.1	-
chr10	52905638	52905744	ENSMUSG00000088322.1	+
chr1	155954574	155954722	ENSMUSG00000077419.1	+
chr1	96617099	96617205	ENSMUSG00000095610.1	+
chr7	55702154	55702215	ENSMUSG00000088640.1	+
chr17	86703298	86703407	ENSMUSG00000087710.1	-
chr5	96907632	96907825	ENSMUSG00000064550.1	+
chr2	147874772	147874878	ENSMUSG00000065791.1	-
chr15	99803020	99803126	ENSMUSG00000065643.1	-
chr4	108521924	108522030	ENSMUSG00000087714.1	-
chr13	62791507	62791613	ENSMUSG00000095825.1	+
chr2	25006152	25006258	ENSMUSG00000065798.1	-
chr8	85315140	85315246	ENSMUSG00000088344.1	+
chr14	104591094	104591200	ENSMUSG00000077541.1	+
chr2	136026151	136026251	ENSMUSG00000064444.1	-
chr16	92042677	92042774	ENSMUSG00000089293.1	+
chr1	175904545	175904651	ENSMUSG00000094820.1	+
chr14	70428496	70428597	ENSMUSG00000077577.1	-
chr15	88835300	88835406	ENSMUSG00000093831.1	+
chr19	18732741	18732904	ENSMUSG00000064941.1	+
chr17	72987798	72987904	ENSMUSG00000095729.1	+
chr10	104471051	104471207	ENSMUSG00000089182.1	-
chr12	95378845	95378951	ENSMUSG00000064972.1	-
chr11	118180941	118181035	ENSMUSG00000088119.1	-
chr15	99937307	99937441	ENSMUSG00000077443.1	-
chr6	21128156	21128258	ENSMUSG00000088458.1	+
chr11	87318694	87318799	ENSMUSG00000088001.1	-
chr2	129315329	129315479	ENSMUSG00000065057.1	-
chr12	116478218	116478281	ENSMUSG00000089468.2	-
chr7	52927070	52927177	ENSMUSG00000070203.1	+
chr15	58143208	58143269	ENSMUSG00000089504.1	-
chr1	192745571	192745686	ENSMUSG00000094131.1	+
chr4	17559917	17560019	ENSMUSG00000089218.1	-
chr3	58975630	58975731	ENSMUSG00000087815.1	+
chr5	32913631	32913730	ENSMUSG00000089080.1	+
chr16	36438644	36438746	ENSMUSG00000089117.1	+
chr8	121830436	121830542	ENSMUSG00000077421.1	+
chr10	127138529	127138617	ENSMUSG00000088672.1	-
chr6	149074003	149074106	ENSMUSG00000065198.1	-
chr1	25451071	25451174	ENSMUSG00000084740.1	+
chr16	55594782	55594888	ENSMUSG00000094020.1	-
chr3	102951949	102952113	ENSMUSG00000065708.1	-
chr12	52604485	52604591	ENSMUSG00000064489.1	-
chr4	99909797	99909878	ENSMUSG00000084478.1	+
chrX	127906453	127906559	ENSMUSG00000077857.1	-
chr11	73756037	73756143	ENSMUSG00000088811.1	+
chrX	9317819	9317976	ENSMUSG00000065155.1	+
chr12	4758547	4758653	ENSMUSG00000075833.1	+
chr19	34796178	34796338	ENSMUSG00000088212.1	+
chr10	39749317	39749432	ENSMUSG00000080384.1	+
chr18	51254169	51254275	ENSMUSG00000095482.1	-
chr1	180832769	180832876	ENSMUSG00000084558.1	+
chr9	107096951	107097057	ENSMUSG00000064517.1	+
chr16	36403779	36403885	ENSMUSG00000095033.1	+
chr13	96104463	96104562	ENSMUSG00000087839.1	-
chr3	60127641	60127747	ENSMUSG00000084647.1	-
chr8	98675077	98675202	ENSMUSG00000080480.1	-
chr17	88392826	88392932	ENSMUSG00000095624.1	-
chr3	55305317	55305423	ENSMUSG00000064586.1	+
chr11	72881792	72881953	ENSMUSG00000065298.1	+
chr3	132082286	132082392	ENSMUSG00000064992.1	-
chr10	130557348	130557464	ENSMUSG00000096766.1	-
chr7	95442351	95442457	ENSMUSG00000065875.1	-
chr9	67104208	67104355	ENSMUSG00000088021.1	+
chr12	86655125	86655231	ENSMUSG00000075832.1	+
chr11	95921102	95921226	ENSMUSG00000088854.1	+
chr2	7350097	7350193	ENSMUSG00000077396.1	+
chr10	5357173	5357279	ENSMUSG00000094906.1	+
chr15	96671793	96671900	ENSMUSG00000064928.1	+
chr16	17341906	17342012	ENSMUSG00000065331.1	-
chr9	108738752	108738858	ENSMUSG00000065674.1	-
chr17	59569559	59569665	ENSMUSG00000077562.1	-
chr3	116448389	116448564	ENSMUSG00000089060.1	-
chr19	3490309	3490413	ENSMUSG00000075908.1	+
chr3	104092381	104092482	ENSMUSG00000088016.1	+
chr11	79635311	79635413	ENSMUSG00000088879.1	-
