chr	start	end	strand	repName	ID	mappability
chr1	65727933	65728264	-	RLTR9A3	ESCTE240	1
chr1	65768619	65768915	+	RLTR9A4	ESCTE241	1
chr1	65771565	65771615	+	RLTR9A4	ESCTE242	1
chr1	65793705	65794096	+	RLTR9F	ESCTE243	0.872449
chr1	65799923	65800247	-	RLTR9A3	ESCTE244	1
chr1	65820565	65821058	-	RLTR9F	ESCTE245	1
chr1	65846837	65847203	+	RLTR9A	ESCTE246	1
chr1	66447151	66447477	-	RLTR9A3	ESCTE247	1
chr1	67470944	67471337	+	RLTR13D6	ESCTE248	0.92385787
chr1	67766341	67766702	+	RLTR9A4	ESCTE249	1
chr1	68333824	68334213	+	RLTR9E	ESCTE250	1
chr1	68637328	68637747	-	RLTR9E	ESCTE251	1
chr1	70320929	70321261	-	RLTR9E	ESCTE252	1
chr1	73523307	73523722	+	RLTR9E	ESCTE253	0.90384614
chr1	73620697	73621539	-	RLTR13D6	ESCTE254	0.9525504
chr1	74709641	74710061	+	RLTR9C	ESCTE255	0.9287411
chr1	74986140	74986415	+	RLTR9D	ESCTE256	1
chr1	75508705	75509069	-	RLTR9A	ESCTE257	1
chr1	78207533	78207649	+	RLTR13D6	ESCTE258	1
chr1	80829507	80829889	-	RLTR9E	ESCTE259	0.8694517
chr1	81197682	81198006	+	RLTR9A3	ESCTE260	1
chr1	81912401	81912722	-	RLTR9A2	ESCTE261	1
chr1	83200948	83201061	+	RLTR9B2	ESCTE262	1
chr1	83989624	83990039	-	RLTR9C	ESCTE263	0.97596157
chr1	84205834	84206239	+	RLTR9E	ESCTE264	0.92610836
chr1	85870599	85871031	+	RLTR9B	ESCTE265	1
chr1	88188907	88189880	-	RLTR13D6	ESCTE266	0.9281314
chr1	88270334	88270714	+	RLTR9D2	ESCTE267	0.9737533
chr1	88755465	88755834	+	RLTR9A	ESCTE268	1
chr1	90886333	90887276	-	RLTR13D6	ESCTE269	0.7669492
chr1	90891641	90892575	-	RLTR13D6	ESCTE270	0.7433155
chr1	91537917	91538356	+	RLTR9F	ESCTE271	0.97727275
chr1	93876245	93876594	+	RLTR9A2	ESCTE272	0.31428573
chr1	93879547	93879955	+	RLTR9C	ESCTE273	0
chr1	93884480	93884870	+	RLTR9C	ESCTE274	0.38618925
chr1	93888980	93889339	+	RLTR9A2	ESCTE275	0.71944445
chr1	93942395	93942744	+	RLTR9A2	ESCTE276	0.2857143
chr1	93946862	93947270	+	RLTR9C	ESCTE277	0
chr1	93951795	93952185	+	RLTR9C	ESCTE278	0.32225063
chr1	93956089	93956448	+	RLTR9A2	ESCTE279	0.8
chr1	94342514	94342904	-	RLTR9E	ESCTE280	1
chr1	95273403	95273685	+	RLTR9A3	ESCTE281	0.96466434
chr1	96181254	96181606	+	RLTR9D	ESCTE282	0.9433428
chr1	96594242	96594636	+	RLTR9F	ESCTE283	1
chr1	96637767	96638007	+	RLTR9C	ESCTE284	1
chr1	98411141	98411537	-	RLTR9F	ESCTE285	0.8236776
chr1	98556053	98556401	-	RLTR9A	ESCTE286	1
chr1	98561998	98562125	-	RLTR9A	ESCTE287	1
chr1	98562499	98562719	-	RLTR9F	ESCTE288	1
chr1	98667346	98668037	+	RLTR13D6	ESCTE289	0.9566474
chr1	99171710	99172687	-	RLTR13D6	ESCTE290	0.9591002
chr1	99179633	99180052	+	RLTR9C	ESCTE291	1
chr1	99230047	99230134	-	RLTR9A	ESCTE292	1
chr1	99454067	99454133	-	RLTR9A3	ESCTE293	1
chr1	99454155	99454379	-	RLTR9A3	ESCTE294	1
chr1	99633571	99633850	+	RLTR9B2	ESCTE295	1
chr1	99634059	99634228	+	RLTR9B2	ESCTE296	1
chr1	100787833	100788170	+	RLTR9A3	ESCTE297	1
chr1	101057375	101057710	+	RLTR9A3	ESCTE298	1
chr1	101347506	101347882	-	RLTR9D	ESCTE299	1
chr1	101744104	101744470	-	RLTR9E	ESCTE300	0.9182561
chr1	101756457	101756854	-	RLTR9E	ESCTE301	1
chr1	101918472	101918563	-	RLTR13D6	ESCTE302	1
chr1	101918684	101919518	-	RLTR13D6	ESCTE303	0.9520958
chr1	102062096	102063070	-	RLTR13D6	ESCTE304	1
chr1	102262034	102262446	+	RLTR9C	ESCTE305	1
chr1	102263065	102263463	-	RLTR9E	ESCTE306	0.9498747
chr1	102295300	102295479	-	RLTR9B	ESCTE307	1
chr1	102314335	102315303	-	RLTR13D6	ESCTE308	1
chr1	102381591	102381968	-	RLTR9A3B	ESCTE309	1
chr1	102395151	102395253	-	RLTR9A3B	ESCTE310	1
chr1	102850412	102850745	-	RLTR9A3	ESCTE311	1
chr1	102941949	102942374	+	RLTR9E	ESCTE312	1
chr1	103110004	103110370	-	RLTR9A3B	ESCTE313	1
chr1	103373515	103373938	+	RLTR9E	ESCTE314	1
chr1	103471372	103471786	-	RLTR9E	ESCTE315	0.97590363
chr1	103735864	103736271	+	RLTR9E	ESCTE316	1
chr1	103800462	103800868	-	RLTR9E	ESCTE317	1
chr1	103978969	103979349	+	RLTR9E	ESCTE318	0.816273
chr1	104030354	104030719	+	RLTR9A3B	ESCTE319	1
chr1	104254345	104254428	+	RLTR9A3	ESCTE320	1
chr1	104490882	104491095	+	RLTR9A3B	ESCTE321	1
chr1	104719454	104719823	-	RLTR9A	ESCTE322	1
chr1	107568669	107568766	-	RLTR13D6	ESCTE323	1
chr1	107568936	107569724	-	RLTR13D6	ESCTE324	1
chr1	108548496	108549421	+	RLTR13D6	ESCTE325	1
chr1	108562955	108563356	-	RLTR9E	ESCTE326	0.97512436
chr1	108806754	108807075	+	RLTR9A3A	ESCTE327	1
chr1	108819905	108820293	+	RLTR9D	ESCTE328	0.9485861
chr1	108994701	108995076	+	RLTR9E	ESCTE329	1
chr1	109327402	109327794	-	RLTR9E	ESCTE330	1
chr1	109702698	109703038	-	RLTR9A3A	ESCTE331	1
chr1	110231498	110231814	-	RLTR9A3	ESCTE332	1
chr1	110233577	110233904	-	RLTR9A3	ESCTE333	1
chr1	110749675	110750083	+	RLTR9F	ESCTE334	1
chr1	110774973	110775316	+	RLTR9E	ESCTE335	0.88372093
chr1	110790672	110791033	+	RLTR9A3B	ESCTE336	1
chr1	110904335	110904740	+	RLTR9E	ESCTE337	0.92610836
chr1	111479105	111479524	+	RLTR9E	ESCTE338	1
chr1	111538292	111538668	-	RLTR9D2	ESCTE339	0.9469496
chr1	111669968	111670382	-	RLTR9E	ESCTE340	1
chr1	112294757	112295163	+	RLTR9C	ESCTE341	1
chr1	112643455	112643809	+	RLTR9A3B	ESCTE342	1
chr1	112649074	112649437	+	RLTR9A3B	ESCTE343	1
chr1	112651932	112652134	+	RLTR9A3	ESCTE344	1
chr1	112773839	112774225	+	RLTR9E	ESCTE345	0.89664084
chr1	112780021	112780406	+	RLTR9E	ESCTE346	0.8704663
chr1	113412823	113413165	-	RLTR9A3	ESCTE347	1
chr1	113490607	113490968	-	RLTR9A4	ESCTE348	1
chr1	113957929	113958310	-	RLTR9E	ESCTE349	0.921466
chr1	113963932	113964300	-	RLTR9E	ESCTE350	0.62059623
chr1	114813255	114813586	-	RLTR9B	ESCTE351	1
chr1	114849502	114849934	-	RLTR9B2	ESCTE352	1
chr1	114935036	114935429	-	RLTR9E	ESCTE353	1
chr1	115134394	115134690	+	RLTR9A3B	ESCTE354	1
chr1	115387454	115387773	+	RLTR9E	ESCTE355	1
chr1	116895104	116895251	+	RLTR9A3B	ESCTE356	1
chr1	116895353	116895599	+	RLTR9A3B	ESCTE357	1
chr1	117224660	117225027	-	RLTR9A	ESCTE358	1
chr1	117288116	117288424	+	RLTR9A3	ESCTE359	1
chr1	117293266	117293582	+	RLTR9A3	ESCTE360	1
chr1	117457960	117458122	-	RLTR9E	ESCTE361	0.75460124
chr1	117650043	117650942	+	RLTR13D6	ESCTE362	0.9222222
chr1	117816082	117816984	+	RLTR13D6	ESCTE363	0.9114064
chr1	117918240	117918843	+	RLTR13D6	ESCTE364	0.90066224
chr1	117924958	117925266	+	RLTR13D6	ESCTE365	1
chr1	118003741	118004642	+	RLTR13D6	ESCTE366	0.93348116
chr1	118282213	118282558	-	RLTR9A3	ESCTE367	0.97109824
chr1	118284540	118284655	-	RLTR9A3B	ESCTE368	1
chr1	121748686	121749045	+	RLTR9E	ESCTE369	0.8055556
chr1	122961107	122961443	+	RLTR9A3	ESCTE370	1
chr1	123797419	123797477	+	RLTR9A3	ESCTE371	1
chr1	123801291	123801607	+	RLTR9A3	ESCTE372	1
chr1	126038106	126038462	+	RLTR9A	ESCTE373	1
chr1	127143124	127143846	+	RLTR13D6	ESCTE374	0.9308437
chr1	127144168	127144336	+	RLTR13D6	ESCTE375	1
chr1	127522869	127523224	+	RLTR9A3B	ESCTE376	1
chr1	128000674	128001523	-	RLTR13D6	ESCTE377	0.89411765
chr1	130245553	130245948	-	RLTR9E	ESCTE378	0.9747475
chr1	130253093	130253486	-	RLTR9E	ESCTE379	0.97461927
chr1	132280476	132280845	-	RLTR9E	ESCTE380	0.972973
chr1	134384698	134385120	+	RLTR9E	ESCTE381	0.97635937
chr1	135194388	135194839	+	RLTR9F	ESCTE382	0.9557522
chr1	136534248	136534583	+	RLTR9A3	ESCTE383	1
chr1	139412189	139413067	+	RLTR13D6	ESCTE384	0.95449376
chr1	139657531	139657913	-	RLTR9E	ESCTE385	1
chr1	139661360	139661735	+	RLTR9D2	ESCTE386	0.9601064
chr1	139781605	139781979	+	RLTR9D2	ESCTE387	0.92266667
chr1	139834982	139835339	+	RLTR9D	ESCTE388	1
chr1	139844107	139844487	+	RLTR9D	ESCTE389	1
chr1	140042588	140043004	-	RLTR9C	ESCTE390	1
chr1	140065798	140066157	-	RLTR9A	ESCTE391	1
chr1	140069531	140069669	-	RLTR9A	ESCTE392	1
chr1	140188299	140189218	+	RLTR13D6	ESCTE393	0.9456522
chr1	140880619	140880980	+	RLTR9A3B	ESCTE394	1
chr1	140912474	140913320	+	RLTR13D6	ESCTE395	1
chr1	141032353	141032697	+	RLTR9A	ESCTE396	1
chr1	141852596	141852722	-	RLTR9E	ESCTE397	1
chr1	141853343	141853517	-	RLTR9E	ESCTE398	0.96
chr1	143731771	143732088	+	RLTR9A3	ESCTE399	1
chr1	144282012	144282954	-	RLTR13D6	ESCTE400	0.94697773
chr1	144464877	144465210	+	RLTR9A3	ESCTE401	1
chr1	144467873	144467969	+	RLTR9A3	ESCTE402	1
chr1	144776805	144777748	+	RLTR13D6	ESCTE403	0.96822035
chr1	144906700	144907068	-	RLTR9A	ESCTE404	1
chr1	145554001	145554392	-	RLTR9A	ESCTE405	1
chr1	145628591	145628952	+	RLTR9E	ESCTE406	1
chr1	145685266	145685334	+	RLTR9E	ESCTE407	1
chr1	146322922	146323317	+	RLTR9D	ESCTE408	0.9747475
chr1	146426787	146427207	-	RLTR9E	ESCTE409	0.976247
chr1	147125612	147125940	+	RLTR9A3	ESCTE410	1
chr1	147236552	147236971	-	RLTR9C	ESCTE411	0.97619045
chr1	147781085	147781918	-	RLTR13D6	ESCTE412	0.9880096
chr1	148481107	148481948	+	RLTR13D6	ESCTE413	0.98812354
chr1	149624550	149624967	+	RLTR9E	ESCTE414	0.9282297
chr1	150199935	150200492	-	RLTR13D6	ESCTE415	0.98207885
chr1	150206220	150206630	-	RLTR9C	ESCTE416	0.9513382
chr1	150293997	150294406	-	RLTR9E	ESCTE417	0.9756098
chr1	150473744	150474074	+	RLTR9A3	ESCTE418	0.93957704
chr1	150507930	150508243	-	RLTR9A3	ESCTE419	1
chr1	151219979	151220393	-	RLTR9D	ESCTE420	1
chr1	152182451	152182835	+	RLTR9E	ESCTE421	1
chr1	152721480	152721864	-	RLTR9E	ESCTE422	1
chr1	152943076	152943279	+	RLTR9A3	ESCTE423	1
chr1	152943492	152943614	+	RLTR9A3	ESCTE424	1
chr1	153495894	153496242	-	RLTR9A3	ESCTE425	1
chr1	154107639	154107951	+	RLTR9A3	ESCTE426	0.96805114
chr1	155250893	155251145	+	RLTR9F	ESCTE427	1
chr1	156251184	156251573	+	RLTR9D	ESCTE428	0.84615386
chr1	156403363	156403701	+	RLTR9F	ESCTE429	0.9705015
chr1	156408699	156409121	+	RLTR9B	ESCTE430	1
chr1	156668806	156669113	+	RLTR9A3	ESCTE431	1
chr1	158967601	158967981	-	RLTR9A4	ESCTE432	1
chr1	158979784	158980169	-	RLTR9A4	ESCTE433	1
chr1	159149521	159149977	-	RLTR9F	ESCTE434	1
chr1	162354802	162355191	+	RLTR9D	ESCTE435	1
