name	chrom	strand	txStart	txEnd	name2	TSS
NM_010939	chr1	+	62703316	62818692	Nrp2	62703316
NM_001077403	chr1	+	62703316	62818692	Nrp2	62703316
NM_001077407	chr1	+	62703316	62797091	Nrp2	62703316
NM_001077406	chr1	+	62703316	62797091	Nrp2	62703316
NM_001077405	chr1	+	62703316	62818692	Nrp2	62703316
NM_001077404	chr1	+	62703316	62818692	Nrp2	62703316
NM_001267872	chr1	+	63273268	63314575	Zdbf2	63273268
NM_001160039	chr1	-	63143591	63176822	Ndufs1	63176822
NM_028673	chr1	+	63273268	63314575	Zdbf2	63273268
NM_011780	chr1	+	63445890	63596101	Adam23	63445890
NM_145518	chr1	-	63143591	63176822	Ndufs1	63176822
NM_001160038	chr1	-	63143591	63176822	Ndufs1	63176822
NM_001160040	chr1	-	63143591	63176822	Ndufs1	63176822
NM_029696	chr1	-	63698826	63730318	Mdh1b	63730318
NM_001285936	chr1	+	63200357	63314575	Zdbf2	63200357
NM_001285937	chr1	+	63200357	63314575	Zdbf2	63200357
NM_001039493	chr1	-	64789120	64956824	Plekhm3	64956824
NM_033563	chr1	-	64035670	64121389	Klf7	64121389
NM_011086	chr1	+	65186684	65278696	Pikfyve	65186684
NM_001310624	chr1	+	65186684	65278696	Pikfyve	65186684
NM_175510	chr1	+	66468446	66699148	Unc80	66468446
NM_025683	chr1	+	66700830	66719805	Rpe	66700830
NM_008632	chr1	+	66175328	66442583	Map2	66175328
NM_007381	chr1	-	66830838	66863309	Acadl	66863309
NM_001310634	chr1	+	66321723	66442583	Map2	66321723
NM_001310644	chr1	+	66700830	66719805	Rpe	66700830
NM_001310643	chr1	+	66700830	66719805	Rpe	66700830
NM_001310642	chr1	+	66700830	66719805	Rpe	66700830
NM_001039934	chr1	+	66175328	66442583	Map2	66175328
NM_011770	chr1	-	69531209	69685960	Ikzf2	69685960
NM_001271533	chr1	+	69826969	69926250	Spag16	69826969
NM_001310658	chr1	+	70725714	70885381	Vwc2l	70725714
NM_177164	chr1	+	70725714	70885397	Vwc2l	70725714
NM_007525	chr1	-	71027534	71102972	Bard1	71102972
NM_026195	chr1	+	71557155	71579403	Atic	71557155
NM_001045533	chr1	-	72427111	72536564	March4	72536564
NM_018817	chr1	+	72583250	72636790	Smarcal1	72583250
NR_045311	chr1	-	73618380	73864466	6030407O03Rik	73864466
NM_027884	chr1	-	73910230	74124447	Tns1	74124447
NM_001289895	chr1	-	73910230	74124449	Tns1	74124449
NM_001039509	chr1	+	74285033	74353692	Pnkd	74285033
NM_001310668	chr1	-	74566425	74588028	Zfp142	74588028
NM_029888	chr1	-	74566425	74588028	Zfp142	74588028
NM_010043	chr1	+	75360291	75368579	Des	75360291
NM_029342	chr1	-	74967345	75046639	Nhej1	75046639
NM_007936	chr1	-	77367184	77515088	Epha4	77515088
NM_026713	chr1	+	78511059	78538173	Mogat1	78511059
NM_001159520	chr1	-	78101266	78197136	Pax3	78197136
NM_008781	chr1	-	78101266	78197136	Pax3	78197136
NM_001004173	chr1	+	78310345	78420286	Sgpp2	78310345
NR_151519	chr1	-	78791622	79224511	Gm29536	79224511
NM_009255	chr1	-	79794320	79858665	Serpine2	79858665
NM_001285927	chr1	-	80501067	80665352	Dock10	80665352
NM_001356398	chr1	+	81077203	81300096	Nyap2	81077203
NM_001356397	chr1	+	81077406	81341764	Nyap2	81077406
NM_001356400	chr1	+	81077307	81300096	Nyap2	81077307
NM_001356399	chr1	+	81076949	81300096	Nyap2	81076949
NM_001122685	chr1	+	82339048	82445367	Rhbdd1	82339048
NM_007735	chr1	-	82450722	82586849	Col4a4	82586849
NM_007734	chr1	+	82586920	82722059	Col4a3	82586920
NM_029777	chr1	+	82316578	82445367	Rhbdd1	82316578
NM_172430	chr1	-	83255443	83408200	Sphkap	83408200
NM_001356547	chr1	-	83255443	83408200	Sphkap	83408200
NM_001003948	chr1	-	84036292	84284645	Pid1	84284645
NM_152915	chr1	-	84369838	84696221	Dner	84696221
NM_133975	chr1	-	84721188	84839304	Trip12	84839304
NM_177055	chr1	-	85717082	85736606	A630001G21Rik	85736606
NM_175397	chr1	-	85576898	85603891	Sp110	85603891
NM_030194	chr1	-	85576898	85598810	Sp110	85598810
NM_027357	chr1	+	86064618	86139295	Psmd1	86064618
NM_001310702	chr1	+	86154779	86278284	Armc9	86154779
NM_030184	chr1	+	86154779	86278284	Armc9	86154779
NM_027456	chr1	+	86154779	86252491	Armc9	86154779
NR_151447	chr1	+	87264352	87310841	Efhd1	87264352
NM_028889	chr1	+	87264352	87310841	Efhd1	87264352
NM_010566	chr1	+	87620311	87720510	Inpp5d	87620311
NR_122078	chr1	+	87620311	87720510	Inpp5d	87620311
NM_001110212	chr1	+	87326997	87450810	Gigyf2	87326997
NM_146112	chr1	+	87326997	87450810	Gigyf2	87326997
NM_001111314	chr1	-	87476828	87573870	Ngef	87573870
NM_009118	chr1	+	87803679	87845157	Sag	87803679
NM_001198573	chr1	-	87945120	88008551	Usp40	88008551
NM_001110193	chr1	+	87620311	87720510	Inpp5d	87620311
NM_001110192	chr1	+	87620311	87720510	Inpp5d	87620311
NM_001033291	chr1	-	87945120	88008551	Usp40	88008551
NM_201410	chr1	+	88103256	88218998	Ugt1a6b	88103256
NM_201643	chr1	+	88166011	88220002	Ugt1a5	88166011
NM_134252	chr1	+	88306711	88388851	Trpm8	88306711
NM_145079	chr1	+	88134808	88220002	Ugt1a6a	88134808
NM_013701	chr1	+	88200610	88220002	Ugt1a2	88200610
NM_201642	chr1	+	88095000	88220002	Ugt1a7c	88095000
NR_040482	chr1	-	89360343	89406133	C030007H22Rik	89406133
NM_029122	chr1	-	90042131	90153401	Iqca	90153401
NM_178119	chr1	+	89454810	89895282	Agap1	89454810
NM_001037136	chr1	+	89454810	89895282	Agap1	89454810
NM_001243008	chr1	-	90766859	90843971	Col6a3	90843971
NM_001243009	chr1	-	90766859	90843971	Col6a3	90843971
NM_001310732	chr1	+	91053443	91128944	Lrrfip1	91053443
NM_008998	chr1	-	90958132	90969620	Rab17	90969620
NM_001111312	chr1	+	90998726	91128944	Lrrfip1	90998726
NM_001111311	chr1	+	91053443	91117322	Lrrfip1	91053443
NM_008515	chr1	+	91053443	91128944	Lrrfip1	91053443
NM_001159725	chr1	-	90958132	90967667	Rab17	90967667
NM_027551	chr1	+	91351072	91362404	Klhl30	91351072
NM_207225	chr1	-	91928778	92180341	Hdac4	92180341
NM_001310428	chr1	+	93168422	93231066	Crocc2	93168422
NM_001110315	chr1	-	93015454	93101874	Kif1a	93101874
NM_008440	chr1	-	93015454	93101874	Kif1a	93101874
NM_001294149	chr1	-	93015454	93101874	Kif1a	93101874
NM_001294150	chr1	-	93015454	93082480	Kif1a	93082480
NM_178882	chr1	+	93825239	93852361	D2hgdh	93825239
NM_133808	chr1	-	93405939	93478917	Hdlbp	93478917
NM_145519	chr1	+	93512103	93621976	Farp2	93512103
NM_001310761	chr1	-	93705390	93731926	Thap4	93731926
NM_025920	chr1	-	93705390	93754838	Thap4	93754838
NM_001357556	chr1	-	93405939	93478377	Hdlbp	93478377
NM_001310767	chr1	+	93825239	93852361	D2hgdh	93825239
NR_120500	chr1	-	96906175	96997560	Slco6b1	96997560
NM_028942	chr1	-	97059448	97128303	Slco6c1	97128303
NM_172658	chr1	-	96818783	96872171	Slco4c1	96872171
NR_037993	chr1	-	98031122	98047793	B230216N24Rik	98047793
NM_001164233	chr1	+	98421123	98509380	Slco6d1	98421123
NM_027584	chr1	+	98421123	98509380	Slco6d1	98421123
NM_133825	chr1	-	97643901	97662018	D1Ertd622e	97662018
NM_026250	chr1	+	97770171	97793708	Gin1	97770171
NM_001355072	chr1	-	97643901	97661676	D1Ertd622e	97661676
NM_001355073	chr1	-	97643901	97661676	D1Ertd622e	97661676
NM_013626	chr1	-	97821093	98095632	Pam	98095632
NM_001310773	chr1	+	97770171	97793708	Gin1	97770171
NM_001355074	chr1	-	97643901	97661676	D1Ertd622e	97661676
NM_001355071	chr1	-	97643901	97662018	D1Ertd622e	97662018
NM_001357127	chr1	-	97821093	98095646	Pam	98095646
NM_172851	chr1	+	99772764	100485942	Cntnap5b	99772764
NM_013784	chr1	-	105518421	105663676	Pign	105663676
NR_040630	chr1	-	106152624	106171524	Gm20753	106171524
NM_133821	chr1	+	106171868	106394245	Phlpp1	106171868
NM_009741	chr1	-	106538175	106714290	Bcl2	106714290
NM_001081125	chr1	-	118834060	119053619	Gli2	119053619
NM_019933	chr1	-	119658092	119837071	Ptpn4	119837071
NM_001311077	chr1	+	120006979	120063532	Sctr	120006979
NM_001115074	chr1	-	119923518	119995210	Cfap221	119995210
