Chromosome	Start	End	ID	empty_Input	empty_H3K27ac	sg1.4_H3K27ac	sg5.8_H3K27ac	class
chr1	140187258	140190258	ESCTE393	8.330557	36.012695	41.28398	53.381786	RLTR13D6
chr1	140911397	140914397	ESCTE395	9.996668	8.045389	9.872256	6.049936	RLTR13D6
chr1	144280983	144283983	ESCTE400	10.996335	11.1103	13.910907	6.761693	RLTR13D6
chr1	144775776	144778776	ESCTE403	8.997001	5.363593	5.384867	8.185207	RLTR13D6
chr1	147780001	147783001	ESCTE412	10.996335	12.259642	10.320995	9.252843	RLTR13D6
chr1	148480027	148483027	ESCTE413	6.331223	16.857006	14.359646	16.726294	RLTR13D6
chr1	150198713	150201713	ESCTE415	10.32989	7.662276	11.667212	9.608722	RLTR13D6
chr1	163626745	163629745	ESCTE438	11.329556	14.17521	13.910907	14.9469	RLTR13D6
chr1	171538039	171541039	ESCTE450	40.319893	38.694492	30.514246	33.808464	RLTR13D6
chr1	178299332	178302332	ESCTE465	12.995668	15.324552	11.667212	9.608722	RLTR13D6
chr1	178300001	178303001	ESCTE466	15.994668	16.857006	14.359646	11.388115	RLTR13D6
chr1	179173825	179176825	ESCTE468	12.995668	10.727186	12.56469	11.388115	RLTR13D6
chr1	179408001	179411001	ESCTE469	12.995668	11.1103	13.910907	11.743993	RLTR13D6
chr1	181029024	181032024	ESCTE471	9.330223	11.1103	8.974778	9.964601	RLTR13D6
chr1	183378199	183381199	ESCTE477	12.329224	31.032217	23.783163	27.046772	RLTR13D6
chr1	185954551	185957551	ESCTE480	6.9976673	14.941438	7.179823	8.185207	RLTR13D6
chr1	191008710	191011710	ESCTE485	15.328224	18.006348	14.808384	12.811629	RLTR13D6
chr1	192174096	192177096	ESCTE487	12.662446	8.045389	8.077301	10.320478	RLTR13D6
chr1	195223140	195226140	ESCTE489	15.994668	7.662276	6.731084	5.3381786	RLTR13D6
chr2	36414004	36417004	ESCTE561	17.327557	55.934612	26.026857	19.929201	RLTR13D6
chr2	39902003	39905003	ESCTE574	7.3308897	9.194731	10.320995	5.6940575	RLTR13D6
chr2	40256842	40259842	ESCTE576	8.997001	17.623234	11.667212	12.811629	RLTR13D6
chr2	42994768	42997768	ESCTE581	8.663778	18.772575	12.115951	16.014536	RLTR13D6
chr2	42995675	42998675	ESCTE582	7.997334	18.389462	12.115951	18.505686	RLTR13D6
chr2	46543288	46546288	ESCTE588	9.330223	15.707665	6.731084	8.541086	RLTR13D6
chr2	51446947	51449947	ESCTE597	13.328891	68.96048	39.040287	67.61693	RLTR13D6
chr2	61983580	61986580	ESCTE608	7.997334	12.6427555	8.077301	11.388115	RLTR13D6
chr2	63540509	63543509	ESCTE610	11.329556	20.688145	14.359646	8.896964	RLTR13D6
chr2	81916340	81919340	ESCTE624	8.663778	11.876528	9.872256	14.591022	RLTR13D6
chr2	86351023	86354023	ESCTE635	7.664112	8.045389	12.56469	13.879265	RLTR13D6
chr2	87017967	87020967	ESCTE636	10.996335	11.1103	9.423517	6.4058146	RLTR13D6
chr2	89822938	89825938	ESCTE650	9.663445	5.746707	6.282345	6.4058146	RLTR13D6
chr2	97963806	97966806	ESCTE663	9.996668	19.921917	14.808384	11.743993	RLTR13D6
chr2	98842976	98845976	ESCTE669	8.997001	17.623234	17.052078	11.743993	RLTR13D6
chr2	100589285	100592285	ESCTE672	0	0	0	0	RLTR13D6
chr2	100589644	100592644	ESCTE673	0	0	0	0	RLTR13D6
chr2	100720957	100723957	ESCTE674	0	0	0	0	RLTR13D6
chr2	100721316	100724316	ESCTE675	0	0	0	0	RLTR13D6
chr2	107514133	107517133	ESCTE680	8.997001	22.2206	14.359646	17.793928	RLTR13D6
chr2	108842561	108845561	ESCTE681	10.32989	21.454372	10.769734	20.996836	RLTR13D6
chr2	109209147	109212147	ESCTE682	8.663778	15.324552	14.808384	12.099872	RLTR13D6
chr2	109209673	109212673	ESCTE683	7.997334	14.17521	12.56469	12.099872	RLTR13D6
chr2	116241941	116244941	ESCTE687	12.329224	13.025868	21.090729	20.285078	RLTR13D6
chr2	121893941	121896941	ESCTE693	12.662446	80.070786	59.682278	68.32869	RLTR13D6
chr2	147291609	147294609	ESCTE722	9.996668	21.071259	18.398296	31.673193	RLTR13D6
chr2	149190639	149193639	ESCTE723	8.663778	4.2142515	4.0386505	7.8293285	RLTR13D6
chr2	149202611	149205611	ESCTE724	7.3308897	7.279162	12.115951	16.370415	RLTR13D6
chr2	154102283	154105283	ESCTE733	6.331223	7.279162	8.974778	11.743993	RLTR13D6
chr2	156784982	156787982	ESCTE736	22.325891	23.369942	23.783163	31.317314	RLTR13D6
chr2	167402582	167405582	ESCTE745	19.32689	20.688145	26.475595	27.046772	RLTR13D6
chr2	171877882	171880882	ESCTE751	9.996668	26.817965	15.257123	20.640957	RLTR13D6
chr2	172279093	172282093	ESCTE753	16.661114	23.369942	25.12938	15.302779	RLTR13D6
chr3	3674726	3677726	ESCTE760	12.662446	10.727186	9.872256	9.964601	RLTR13D6
chr3	4135867	4138867	ESCTE764	8.663778	10.727186	10.320995	9.252843	RLTR13D6
chr3	4136741	4139741	ESCTE765	6.9976673	8.428503	11.667212	8.185207	RLTR13D6
chr3	4209285	4212285	ESCTE766	7.3308897	3.831138	6.731084	4.270543	RLTR13D6
chr3	5828542	5831542	ESCTE774	11.329556	11.493414	12.56469	11.388115	RLTR13D6
chr3	6766735	6769735	ESCTE779	10.32989	29.116648	22.436947	29.8938	RLTR13D6
chr3	6921369	6924369	ESCTE780	8.997001	21.837486	11.667212	8.896964	RLTR13D6
chr3	6964962	6967962	ESCTE781	7.997334	11.1103	10.769734	3.5587857	RLTR13D6
chr3	7165314	7168314	ESCTE783	11.329556	14.558324	13.910907	8.185207	RLTR13D6
chr3	7662958	7665958	ESCTE786	7.997334	13.025868	16.154602	9.608722	RLTR13D6
chr3	7681347	7684347	ESCTE787	14.661779	73.174736	38.142807	24.555622	RLTR13D6
chr3	7681751	7684751	ESCTE788	13.328891	69.72671	35.450375	23.843864	RLTR13D6
chr3	7803843	7806843	ESCTE789	8.997001	26.43485	21.090729	15.658657	RLTR13D6
chr3	8122423	8125423	ESCTE791	9.996668	38.31138	35.899113	39.858402	RLTR13D6
chr3	10758485	10761485	ESCTE799	12.995668	26.43485	22.885685	35.943737	RLTR13D6
chr3	14189955	14192955	ESCTE821	12.662446	23.369942	11.218473	14.591022	RLTR13D6
chr3	14220512	14223512	ESCTE822	7.664112	14.558324	7.6285615	11.743993	RLTR13D6
chr3	14815497	14818497	ESCTE828	9.996668	12.6427555	10.320995	12.811629	RLTR13D6
chr3	14815869	14818869	ESCTE829	8.330557	12.259642	11.218473	13.523386	RLTR13D6
chr3	16481442	16484442	ESCTE848	12.329224	8.045389	11.218473	16.014536	RLTR13D6
chr3	16644773	16647773	ESCTE849	13.662112	11.493414	14.359646	8.896964	RLTR13D6
chr3	17044948	17047948	ESCTE852	9.996668	8.045389	8.526039	6.049936	RLTR13D6
chr3	17658633	17661633	ESCTE854	9.330223	16.090778	11.667212	15.302779	RLTR13D6
chr3	17659285	17662285	ESCTE855	10.32989	17.24012	12.56469	17.793928	RLTR13D6
chr3	19108329	19111329	ESCTE859	8.997001	14.17521	10.320995	9.608722	RLTR13D6
chr3	19741452	19744452	ESCTE860	7.3308897	13.792096	16.154602	17.082172	RLTR13D6
chr3	19742100	19745100	ESCTE861	6.9976673	14.558324	15.257123	14.591022	RLTR13D6
chr3	22377185	22380185	ESCTE879	12.662446	10.727186	12.115951	6.4058146	RLTR13D6
chr3	22563296	22566296	ESCTE881	8.997001	16.090778	13.910907	13.879265	RLTR13D6
chr3	29023579	29026579	ESCTE895	12.662446	37.54515	29.16803	34.164345	RLTR13D6
chr3	31754107	31757107	ESCTE901	9.996668	10.344072	10.769734	7.8293285	RLTR13D6
chr3	46511691	46514691	ESCTE932	9.330223	13.408982	16.60334	12.099872	RLTR13D6
chr3	46882670	46885670	ESCTE935	10.996335	11.1103	9.423517	12.811629	RLTR13D6
chr3	47835572	47838572	ESCTE941	6.6644454	21.454372	23.334423	16.014536	RLTR13D6
chr3	48538971	48541971	ESCTE944	9.330223	5.363593	6.731084	6.049936	RLTR13D6
chr3	49106788	49109788	ESCTE945	10.996335	6.512934	5.833606	4.270543	RLTR13D6
chr3	49359563	49362563	ESCTE947	9.330223	5.363593	8.077301	7.8293285	RLTR13D6
chr3	59709059	59712059	ESCTE960	11.662779	10.344072	7.179823	7.1175714	RLTR13D6
chr3	59878853	59881853	ESCTE961	7.664112	16.090778	23.334423	13.879265	RLTR13D6
chr3	64320566	64323566	ESCTE970	11.329556	35.246468	25.57812	35.943737	RLTR13D6
chr3	72866823	72869823	ESCTE976	16.661114	22.603714	22.885685	27.40265	RLTR13D6
chr3	74303263	74306263	ESCTE977	8.663778	4.9804792	7.179823	4.6264215	RLTR13D6
chr3	74665756	74668756	ESCTE979	9.996668	11.493414	6.282345	8.541086	RLTR13D6
chr3	78195433	78198433	ESCTE987	6.331223	8.811617	9.872256	6.4058146	RLTR13D6
chr3	78636918	78639918	ESCTE989	9.330223	6.512934	6.282345	7.8293285	RLTR13D6
chr3	80366101	80369101	ESCTE990	7.3308897	3.448024	5.384867	5.3381786	RLTR13D6
chr3	88280210	88283210	ESCTE1004	19.993336	77.388985	40.835243	43.06131	RLTR13D6
chr3	91028836	91031836	ESCTE1008	7.3308897	18.772575	12.115951	26.690893	RLTR13D6
chr3	91202727	91205727	ESCTE1009	7.664112	6.896048	4.936128	7.1175714	RLTR13D6
chr3	91545223	91548223	ESCTE1013	11.662779	7.279162	7.179823	7.1175714	RLTR13D6
chr3	91546177	91549177	ESCTE1014	10.663113	6.896048	6.731084	8.185207	RLTR13D6
chr3	92814673	92817673	ESCTE1021	13.662112	22.2206	21.090729	26.335014	RLTR13D6
chr3	93707573	93710573	ESCTE1024	7.3308897	10.727186	11.667212	13.523386	RLTR13D6
chr3	93968650	93971650	ESCTE1025	3.998667	4.9804792	5.384867	3.2029073	RLTR13D6
chr3	94079420	94082420	ESCTE1026	3.6654449	9.577845	9.423517	8.541086	RLTR13D6
chr3	94166052	94169052	ESCTE1027	7.3308897	26.051737	17.500818	25.623259	RLTR13D6
chr3	96067865	96070865	ESCTE1032	15.328224	20.30503	19.295774	21.708593	RLTR13D6
chr3	96068498	96071498	ESCTE1033	15.994668	25.668623	17.500818	24.555622	RLTR13D6
chr3	103838691	103841691	ESCTE1048	13.328891	27.584192	17.949556	11.388115	RLTR13D6
chr3	103839297	103842297	ESCTE1049	10.996335	27.967306	17.949556	14.9469	RLTR13D6
chr3	105988273	105991273	ESCTE1050	11.996001	8.811617	9.872256	12.099872	RLTR13D6
chr3	106873073	106876073	ESCTE1052	11.996001	6.896048	6.731084	8.896964	RLTR13D6
chr3	106873815	106876815	ESCTE1053	12.662446	8.045389	7.6285615	8.541086	RLTR13D6
chr3	107994689	107997689	ESCTE1055	12.329224	53.63593	31.860464	58.00821	RLTR13D6
chr3	111139853	111142853	ESCTE1065	6.9976673	8.045389	10.769734	7.47345	RLTR13D6
chr3	112087221	112090221	ESCTE1071	8.997001	19.15569	16.154602	15.302779	RLTR13D6
chr3	112606689	112609689	ESCTE1077	2.3325558	2.2986827	0.89747787	1.7793928	RLTR13D6
chr3	112609306	112612306	ESCTE1078	2.6657782	3.0649104	3.1411724	1.7793928	RLTR13D6
chr3	117091655	117094655	ESCTE1087	8.663778	7.279162	5.833606	7.8293285	RLTR13D6
chr3	122935437	122938437	ESCTE1095	9.663445	50.18791	44.873894	54.44942	RLTR13D6
chr3	124570550	124573550	ESCTE1100	11.662779	9.9609585	10.320995	10.676357	RLTR13D6
chr3	126348843	126351843	ESCTE1103	8.330557	7.662276	11.667212	9.252843	RLTR13D6
chr3	137048919	137051919	ESCTE1115	9.663445	6.512934	8.526039	9.964601	RLTR13D6
chr3	139407603	139410603	ESCTE1122	5.9980006	11.1103	8.077301	4.9823003	RLTR13D6
chr3	142524020	142527020	ESCTE1125	11.662779	12.259642	11.218473	13.523386	RLTR13D6
chr3	146636691	146639691	ESCTE1139	14.661779	12.259642	6.731084	10.320478	RLTR13D6
chr3	151758882	151761882	ESCTE1142	9.330223	6.896048	10.320995	7.47345	RLTR13D6
chr3	151765588	151768588	ESCTE1143	5.664778	5.746707	3.5899115	4.6264215	RLTR13D6
chr3	151767665	151770665	ESCTE1144	6.331223	4.2142515	6.282345	6.049936	RLTR13D6
chr3	156413096	156416096	ESCTE1147	11.996001	14.941438	12.115951	18.861565	RLTR13D6
chr3	158291216	158294216	ESCTE1152	12.329224	6.896048	7.179823	7.8293285	RLTR13D6
chr4	5514166	5517166	ESCTE1177	13.328891	40.993176	26.475595	15.302779	RLTR13D6
chr4	6114700	6117700	ESCTE1182	15.661447	39.077606	27.373074	44.128944	RLTR13D6
chr4	16953331	16956331	ESCTE1218	9.663445	28.35042	17.949556	12.45575	RLTR13D6
chr4	20456197	20459197	ESCTE1235	9.996668	5.746707	5.384867	5.6940575	RLTR13D6
chr4	22143561	22146561	ESCTE1238	10.663113	22.986828	13.910907	16.726294	RLTR13D6
chr4	29812483	29815483	ESCTE1260	6.9976673	9.9609585	11.667212	11.388115	RLTR13D6
chr4	30393440	30396440	ESCTE1261	10.32989	9.577845	8.526039	12.099872	RLTR13D6
chr4	51867435	51870435	ESCTE1301	10.663113	13.792096	14.359646	15.658657	RLTR13D6
chr4	72718846	72721846	ESCTE1420	9.663445	11.876528	11.667212	16.014536	RLTR13D6
chr4	78781465	78784465	ESCTE1437	10.996335	11.1103	7.6285615	11.032236	RLTR13D6
chr4	79638089	79641089	ESCTE1439	9.330223	10.727186	9.872256	5.3381786	RLTR13D6
chr4	79638328	79641328	ESCTE1440	9.996668	10.727186	10.769734	4.6264215	RLTR13D6
chr4	94902183	94905183	ESCTE1454	14.661779	9.9609585	11.667212	11.388115	RLTR13D6
chr4	111962076	111965076	ESCTE1469	9.330223	8.045389	7.6285615	7.47345	RLTR13D6
chr4	112091039	112094039	ESCTE1470	0	0	0	0	RLTR13D6
chr4	112939965	112942965	ESCTE1478	0.33322227	0.7662276	0	0.3558786	RLTR13D6
chr4	113658106	113661106	ESCTE1482	2.6657782	2.6817966	0	1.7793928	RLTR13D6
chr4	114043368	114046368	ESCTE1483	3.3322227	1.5324552	1.7949557	2.8470287	RLTR13D6
chr4	115231647	115234647	ESCTE1486	10.663113	27.584192	21.988207	24.555622	RLTR13D6
chr4	115278410	115281410	ESCTE1487	8.663778	6.896048	5.833606	8.896964	RLTR13D6
chr4	115990962	115993962	ESCTE1490	19.32689	13.408982	17.052078	20.996836	RLTR13D6
chr4	115991593	115994593	ESCTE1491	18.327225	16.090778	15.257123	19.573322	RLTR13D6
chr4	117627869	117630869	ESCTE1492	19.32689	18.006348	14.359646	13.879265	RLTR13D6
chr4	118930024	118933024	ESCTE1499	18.99367	31.032217	26.924335	28.826164	RLTR13D6
chr4	128762204	128765204	ESCTE1504	13.662112	9.9609585	10.769734	10.676357	RLTR13D6
chr4	128762835	128765835	ESCTE1505	11.329556	7.662276	8.974778	8.541086	RLTR13D6
chr4	143768603	143771603	ESCTE1518	2.3325558	1.1493413	1.3462168	0.7117572	RLTR13D6
chr4	143769232	143772232	ESCTE1519	2.6657782	1.1493413	0.89747787	1.4235144	RLTR13D6
chr4	143843243	143846243	ESCTE1520	8.663778	9.194731	9.423517	14.591022	RLTR13D6
chr4	144237952	144240952	ESCTE1524	5.9980006	3.0649104	6.282345	4.6264215	RLTR13D6
chr4	144238569	144241569	ESCTE1525	5.9980006	3.0649104	5.384867	6.049936	RLTR13D6
chr4	144630440	144633440	ESCTE1526	7.664112	6.896048	8.526039	6.761693	RLTR13D6
chr4	148091796	148094796	ESCTE1532	16.32789	77.388985	84.362915	98.57837	RLTR13D6
chr4	148091945	148094945	ESCTE1533	16.32789	75.47342	84.362915	98.57837	RLTR13D6
chr4	148092521	148095521	ESCTE1534	17.327557	66.27869	76.285614	86.83437	RLTR13D6
chr5	6794106	6797106	ESCTE1559	11.662779	24.13617	14.359646	34.876102	RLTR13D6
chr5	9754403	9757403	ESCTE1570	8.663778	12.6427555	11.218473	13.167507	RLTR13D6
chr5	14369743	14372743	ESCTE1598	6.6644454	8.811617	5.833606	11.032236	RLTR13D6
chr5	14492557	14495557	ESCTE1599	10.663113	12.259642	17.052078	17.082172	RLTR13D6
chr5	14493191	14496191	ESCTE1600	10.996335	10.344072	17.500818	16.370415	RLTR13D6
chr5	16967535	16970535	ESCTE1603	11.996001	24.13617	20.19325	22.064472	RLTR13D6
chr5	19403033	19406033	ESCTE1621	13.328891	22.986828	22.436947	17.082172	RLTR13D6
chr5	22424584	22427584	ESCTE1628	13.995335	19.538803	20.64199	15.658657	RLTR13D6
chr5	22559780	22562780	ESCTE1629	16.994335	20.688145	18.847034	20.640957	RLTR13D6
chr5	26475245	26478245	ESCTE1635	13.995335	9.577845	9.423517	11.388115	RLTR13D6
chr5	26475897	26478897	ESCTE1636	13.662112	13.408982	9.423517	10.320478	RLTR13D6
chr5	26702417	26705417	ESCTE1638	18.327225	34.48024	11.667212	16.370415	RLTR13D6
chr5	30677362	30680362	ESCTE1654	13.328891	15.707665	20.64199	17.793928	RLTR13D6
chr5	54615351	54618351	ESCTE1671	10.32989	9.194731	5.833606	10.676357	RLTR13D6
chr5	55080829	55083829	ESCTE1673	6.6644454	9.9609585	8.526039	10.320478	RLTR13D6
chr5	55081554	55084554	ESCTE1674	8.330557	11.1103	8.974778	11.032236	RLTR13D6
chr5	56632412	56635412	ESCTE1681	7.664112	13.408982	12.115951	16.014536	RLTR13D6
chr5	59826074	59829074	ESCTE1694	9.663445	11.1103	7.179823	11.032236	RLTR13D6
chr5	59826507	59829507	ESCTE1695	10.663113	9.577845	6.282345	13.167507	RLTR13D6
chr5	60006107	60009107	ESCTE1696	11.329556	11.1103	11.667212	14.9469	RLTR13D6
chr5	60262815	60265815	ESCTE1697	10.32989	6.896048	4.487389	12.099872	RLTR13D6
chr5	60881221	60884221	ESCTE1698	7.664112	60.53198	43.527676	70.10808	RLTR13D6
chr5	60988073	60991073	ESCTE1699	13.995335	18.389462	13.910907	17.793928	RLTR13D6
chr5	61116061	61119061	ESCTE1701	11.996001	14.17521	8.526039	10.320478	RLTR13D6
chr5	61629867	61632867	ESCTE1703	10.996335	11.876528	9.423517	9.252843	RLTR13D6
chr5	73885561	73888561	ESCTE1720	16.994335	24.13617	15.257123	17.793928	RLTR13D6
chr5	73886028	73889028	ESCTE1721	16.661114	22.986828	15.705862	18.861565	RLTR13D6
chr5	82252408	82255408	ESCTE1733	5.664778	24.902397	31.860464	25.979136	RLTR13D6
chr5	85059390	85062390	ESCTE1739	6.6644454	4.9804792	8.077301	7.47345	RLTR13D6
chr5	85066078	85069078	ESCTE1740	9.663445	14.941438	8.526039	7.8293285	RLTR13D6
chr5	86062650	86065650	ESCTE1743	11.996001	36.778923	38.142807	41.281914	RLTR13D6
chr5	86062945	86065945	ESCTE1744	11.329556	42.52563	41.73272	41.637794	RLTR13D6
chr5	88254452	88257452	ESCTE1755	11.662779	11.1103	9.423517	8.185207	RLTR13D6
chr5	102100444	102103444	ESCTE1800	15.661447	25.668623	16.154602	28.826164	RLTR13D6
chr5	103930591	103933591	ESCTE1804	12.995668	38.694492	29.616768	22.420351	RLTR13D6
chr5	104441559	104444559	ESCTE1805	16.661114	112.63545	86.60661	118.15169	RLTR13D6
chr5	105193952	105196952	ESCTE1808	8.663778	8.811617	4.487389	7.1175714	RLTR13D6
chr5	105240731	105243731	ESCTE1809	6.9976673	9.577845	7.6285615	8.541086	RLTR13D6
chr5	108894068	108897068	ESCTE1813	6.331223	6.512934	6.731084	6.761693	RLTR13D6
chr5	109095133	109098133	ESCTE1817	7.664112	18.389462	13.013429	16.370415	RLTR13D6
chr5	109242853	109245853	ESCTE1821	9.663445	9.194731	7.6285615	6.4058146	RLTR13D6
chr5	109558666	109561666	ESCTE1824	12.329224	20.688145	23.334423	25.26738	RLTR13D6
chr5	109559300	109562300	ESCTE1825	13.328891	17.623234	21.539469	25.26738	RLTR13D6
chr5	109681617	109684617	ESCTE1828	13.995335	25.285511	19.744513	25.26738	RLTR13D6
chr5	109742490	109745490	ESCTE1830	15.328224	18.006348	11.218473	14.235143	RLTR13D6
chr5	109841062	109844062	ESCTE1833	11.662779	68.57737	56.98984	55.872936	RLTR13D6
chr5	137932638	137935638	ESCTE1871	11.329556	70.87605	41.28398	39.50252	RLTR13D6
chr5	138355717	138358717	ESCTE1872	13.995335	14.558324	7.179823	8.185207	RLTR13D6
chr5	145657923	145660923	ESCTE1880	31.656115	21.071259	25.57812	19.217443	RLTR13D6
chr5	145905665	145908665	ESCTE1881	13.328891	26.817965	13.910907	27.046772	RLTR13D6
chr6	3874635	3877635	ESCTE1899	8.663778	24.902397	22.436947	17.793928	RLTR13D6
chr6	8808652	8811652	ESCTE1921	9.663445	9.577845	8.526039	15.302779	RLTR13D6
chr6	10385983	10388983	ESCTE1929	7.664112	6.896048	9.872256	7.47345	RLTR13D6
chr6	12875480	12878480	ESCTE1938	4.998334	18.772575	13.462168	15.658657	RLTR13D6
chr6	22474311	22477311	ESCTE1965	17.327557	8.811617	11.218473	13.879265	RLTR13D6
chr6	23419668	23422668	ESCTE1968	11.329556	9.577845	11.667212	9.252843	RLTR13D6
chr6	23420390	23423390	ESCTE1969	14.328557	9.194731	13.013429	9.964601	RLTR13D6
chr6	26300257	26303257	ESCTE1979	9.663445	23.753056	20.64199	16.726294	RLTR13D6
chr6	27261282	27264282	ESCTE1983	5.3315563	14.941438	11.218473	16.726294	RLTR13D6
chr6	43710749	43713749	ESCTE2004	10.663113	11.1103	9.872256	8.185207	RLTR13D6
chr6	46536267	46539267	ESCTE2006	8.663778	6.512934	8.077301	8.185207	RLTR13D6
chr6	56799032	56802032	ESCTE2021	9.996668	16.857006	14.808384	13.167507	RLTR13D6
chr6	58123200	58126200	ESCTE2026	9.996668	9.577845	8.526039	8.185207	RLTR13D6
chr6	58123700	58126700	ESCTE2027	10.996335	8.428503	8.974778	9.252843	RLTR13D6
chr6	60362595	60365595	ESCTE2035	12.329224	32.56467	14.808384	11.032236	RLTR13D6
chr6	63127490	63130490	ESCTE2047	6.331223	9.577845	14.808384	9.252843	RLTR13D6
chr6	66620184	66623184	ESCTE2053	10.996335	6.129821	7.6285615	7.1175714	RLTR13D6
chr6	67818222	67821222	ESCTE2057	7.997334	9.577845	10.320995	12.45575	RLTR13D6
chr6	67819669	67822669	ESCTE2058	10.996335	9.577845	12.56469	13.523386	RLTR13D6
chr6	67972436	67975436	ESCTE2060	12.995668	10.727186	12.115951	11.388115	RLTR13D6
chr6	67973894	67976894	ESCTE2061	8.663778	7.279162	8.526039	10.676357	RLTR13D6
chr6	68010320	68013320	ESCTE2062	11.996001	16.857006	16.60334	18.861565	RLTR13D6
chr6	68010886	68013886	ESCTE2063	11.996001	17.623234	15.257123	19.929201	RLTR13D6
chr6	68802508	68805508	ESCTE2065	9.330223	11.1103	4.0386505	6.761693	RLTR13D6
chr6	68812109	68815109	ESCTE2067	12.662446	33.714012	23.334423	25.979136	RLTR13D6
