Probe	Chromosome	Start	End	Strand	ES_E14	ES_J1	TS_EGFP	TS_Rs26
Sgk3	1	9798130	9902556	+	0.14264105	0.3589402	0.39503735	-0.91538244
Gm6195	1	9802194	9802553	-	-3.8485658	-3.4151149	-3.6149466	-3.2962043
6030422M02Rik	1	9908638	9942085	+	-3.2729037	-3.9035828	-4.7554917	-6.244104
Gm10567	1	9960171	9962809	-	-2.7631304	-1.3821465	-1.5295112	-1.0181236
Ppp1r42	1	9968624	10009136	-	-5.929413	-5.4959617	-5.6957936	-5.3770514
Gm15818	1	9982387	9992366	+	-4.714265	-4.2808137	-4.4806457	-4.1619034
Cops5	1	10024602	10038127	-	4.2671776	4.7748165	4.8596873	4.5819874
Cspp1	1	10038218	10136768	+	1.9798784	2.1697018	2.2788346	2.0233846
Arfgef1	1	10137571	10232670	-	1.6685643	2.141348	3.2650888	3.62322
Cpa6	1	10324720	10719945	-	-8.096494	-7.663042	-7.862874	-7.5441318
Prex2	1	10993465	11303682	+	1.1751868	0.8490288	0.076408856	1.1417832
A830018L16Rik	1	11414105	11975901	+	-2.580381	-2.1469297	-8.280125	-7.9613824
AC102654.1	1	11414112	11537707	+	-1.4325662	-1.999115	-5.6728783	-5.354136
Sulf1	1	12692430	12860371	+	3.5845199	3.8789563	-7.370724	-5.899979
Slco5a1	1	12866549	12991177	-	-2.7468386	-2.576422	-6.098182	-4.6419363
Dppa5b	1	13062019	13062348	+	-3.723035	-3.2895837	-3.489416	-3.1706736
Prdm14	1	13113457	13127163	-	-0.2809625	-0.36751845	-6.4472737	-6.1285315
Ncoa2	1	13139105	13374083	-	0.74868184	0.65898657	0.7599086	1.2066036
Tram1	1	13564702	13589864	-	3.1759524	3.270105	3.6519954	3.856017
Lactb2	1	13624845	13660546	-	3.706053	3.6635036	2.5091255	3.4467776
Xkr9	1	13668771	13701723	+	-6.1161013	-5.6826506	-6.0344853	-5.715743
Eya1	1	14168954	14310200	-	-2.5429094	-1.1639061	-7.0641775	-6.745435
Msc	1	14753346	14755966	-	-2.3654215	-1.5169327	-5.716765	-5.5500255
Gm9947	1	14755454	14758373	+	-6.8684654	-6.4350142	-6.634846	-6.316104
Trpa1	1	14872648	14918862	-	-3.455008	-1.8747154	-7.0287437	-6.8620048
Gm10566	1	15268799	15269797	-	-5.321054	-4.8876023	-5.087435	-4.7686925
Kcnb2	1	15287259	15716367	+	-8.281711	-7.84826	-8.048092	-7.7293496
Terf1	1	15805658	15843428	+	6.388187	5.954526	5.629697	5.220191
Gm106	1	15853862	15892722	-	-6.780879	-6.347428	-6.54726	-6.2285175
4930444P10Rik	1	16065979	16093325	-	-4.2152376	-5.9337893	-5.9816184	-5.8148794
Rpl7	1	16101295	16104662	-	7.7633967	8.167037	8.472192	7.8681993
Rdh10	1	16105774	16133734	+	-0.8872273	-1.4716982	-1.2120986	-0.6303217
Stau2	1	16228674	16520112	-	-0.97054374	-0.14256081	-0.011640877	-0.1532101
Gm7568	1	16253592	16267921	+	-5.3268185	-4.8933673	-5.0931993	-4.774457
Ube2w	1	16569782	16619489	-	1.6765428	1.6919663	1.399424	1.8108767
Tceb1	1	16642766	16656865	-	4.939104	5.043423	5.6604943	5.0809836
Tmem70	1	16665207	16678275	+	2.2964842	2.665805	3.1446304	3.200924
Ly96	1	16688456	16709605	+	-2.8557613	-2.0072727	-4.2071047	-1.3033998
Gm5828	1	16768270	16770138	-	-6.2247634	-5.791312	-5.991144	-5.672402
Jph1	1	16994938	17097889	-	0.15622614	0.73193	-0.012787174	0.8843149
Gdap1	1	17145362	17164271	+	-7.6204515	-5.6020374	-7.5388355	-7.2200933
Pi15	1	17601901	17630938	+	-4.154328	-5.5282316	-3.5581388	-3.3218586
Gm16070	1	17676027	17727646	-	-7.231406	-6.7979546	-8.14979	-7.8310475
Crispld1	1	17727045	17766344	+	-2.0972922	-0.98103136	-7.263604	-6.944862
Crisp4	1	18115191	18145902	-	-6.775092	-6.3416414	-6.5414734	-6.2227306
Defb18	1	18236473	18237443	-	-3.36794	-2.9344888	-3.134321	-2.8155785
Defb41	1	18250980	18265138	-	-4.2239914	-3.7905402	-3.9903724	-3.6716301
Gm15386	1	18260524	18265080	-	-2.9860694	-2.5526183	-2.7524502	-2.433708
Gm15825	1	19063299	19104840	-	-5.200634	-4.767183	-4.967015	-4.6482725
Tfap2d	1	19103022	19166346	+	-6.2889276	-5.855476	-6.0553083	-5.736566
Tfap2b	1	19208914	19238734	+	-5.524607	-4.828122	-7.6129165	-7.4461775
Pkhd1	1	20057779	20618064	-	-3.4548569	-4.7686396	-8.92783	-8.609088
4930486I03Rik	1	20381093	20392300	+	-4.422802	-3.9893508	-4.1891828	-3.8704402
Il17a	1	20730905	20734496	+	-5.550238	-5.116787	-5.316619	-4.9978766
Il17f	1	20777151	20784270	-	-5.4006968	-4.967246	-1.9971527	-3.8483353
Mcm3	1	20802974	20820278	-	6.358382	6.4496865	6.2413454	5.5042777
Paqr8	1	20890622	20938755	+	-2.5467844	-1.750763	-1.9912372	-1.2782158
Efhc1	1	20951626	20990838	+	-3.1413474	-2.8778212	-0.9483704	-0.1150548
Tram2	1	20996296	21079229	-	-1.0369333	-0.9445191	0.84357595	0.583405
Tmem14a	1	21218575	21230167	+	-0.9606652	-1.4706305	-3.0489745	-2.4671977
Gsta3	1	21240589	21265361	+	0.9522598	-1.1267391	-5.5660367	-5.247295
AC163025.1	1	21272338	21273082	+	-4.8978095	-4.464358	-4.6641903	-4.345448
Khdc1a	1	21349641	21352200	+	-6.313089	-5.8796377	-6.0794697	-5.7607274
Khdc1c	1	21368331	21370845	+	-6.2830086	-5.849558	-6.0493894	-5.730647
Khdc1b	1	21383556	21386373	+	-6.483417	-6.049966	-6.249798	-5.9310555
Kcnq5	1	21398403	21961942	-	-4.4128504	-3.7729483	-5.2947083	-5.975966
Rims1	1	22286251	22805994	-	-1.5742937	-0.94602644	-7.8677173	-7.3969717
4933415F23Rik	1	23100473	23102253	-	-6.1551847	-5.7217336	-5.9215655	-5.602823
Gm6420	1	23255987	23256406	-	-4.070958	-3.637507	-3.8373392	-3.518597
Ogfrl1	1	23366424	23383175	-	0.49582186	0.89364904	1.2867724	0.87385315
B3gat2	1	23761753	23849158	+	-3.3440282	-2.7261527	-1.6156446	-2.344208
Smap1	1	23844846	23922317	-	3.0536091	3.2291448	3.4443505	3.5621243
1110058L19Rik	1	23995939	24005656	-	0.345729	1.264607	0.25742006	0.33104992
Fam135a	1	24010758	24100341	-	1.6101152	1.7547358	2.619142	2.5775144
Col9a1	1	24177610	24252684	+	-6.5119104	-7.0784593	-7.4302945	-7.1115522
Col19a1	1	24261890	24587472	-	-6.9543695	-7.672921	-7.8727536	-7.5540113
Gm10222	1	24612404	24612700	-	10.808362	11.363842	10.274022	10.998776
Lmbrd1	1	24678544	24766299	+	0.043077026	0.26730034	1.4174749	1.5736341
Bai3	1	25067476	25829707	-	-7.8125024	-5.794089	-8.578883	-8.260141
Gm9884	1	25830657	25831878	+	-5.611741	-5.1782904	-5.378122	-5.0593796
4931408C20Rik	1	26681814	26687460	-	-7.4328604	-6.999409	-7.199241	-6.880499
Gm597	1	28776144	28780252	-	-6.8385124	-6.4050612	-6.604893	-6.286151
Gm6462	1	28938035	28938340	+	-3.6141005	-3.1806495	-3.3804812	-3.061739
Gm9898	1	30718554	30719961	-	-5.5440645	-5.110614	-5.3104453	-4.991703
Phf3	1	30802342	30863256	-	4.8853436	4.8173246	4.7330284	5.0454326
Ptp4a1	1	30940303	30949770	-	3.543382	3.4965262	4.2228684	3.826373
Gm5698	1	30976950	30978965	-	-0.45390216	-2.9273415	-5.2791767	-4.9604344
Gm5699	1	30997867	30999905	-	-0.99726754	-2.9561338	-5.307969	-4.989227
4931428L18Rik	1	31141078	31222661	-	-5.9510374	-5.517586	-5.717418	-5.398676
Lgsn	1	31176406	31204656	+	-6.2201247	-5.7866735	-5.9865055	-5.51576
4930521A18Rik	1	31222839	31224287	+	-5.8575544	-5.4241033	-5.6239357	-5.3051934
AC121888.1	1	31286945	31287706	+	-0.45642877	-4.4969087	-4.696741	-4.377999
Gm10307	1	31615458	31616843	+	-5.793424	-5.359973	-5.5598054	-5.2410626
Khdrbs2	1	32172806	32657738	+	-5.7650423	-5.331591	-5.531423	-5.212681
Gm9839	1	32519563	32520999	-	-5.8455567	-5.412106	-5.611938	-5.2931957
Gm5415	1	32543546	32547293	-	-7.228618	-6.7951665	-6.994999	-6.6762567
Prim2	1	33453811	33669786	-	3.673559	3.9123094	4.017854	3.8188493
1700001G17Rik	1	33669843	33670712	+	-5.1215844	-4.6881332	-4.887965	-4.4172196
Rab23	1	33719882	33742564	+	1.7895242	1.8163176	1.5538735	1.1375881
Bag2	1	33745484	33757794	-	-0.093773186	1.0106137	2.395744	2.4821239
Zfp451	1	33760472	33814595	-	1.7671331	1.890563	1.4983028	1.265141
Bend6	1	33852052	33907816	-	-3.7682238	-2.1123803	-1.2782649	-2.6853473
Dst	1	34011825	34308650	+	3.9154093	3.186075	2.5688298	3.0015066
Ccdc115	1	34436671	34439672	-	3.313246	3.0293071	3.2743394	2.3877294
Imp4	1	34439851	34445736	+	2.880311	3.271878	3.8949735	3.0800009
Ptpn18	1	34459746	34473775	+	-1.6504143	-1.2169629	2.3440173	1.7320223
Prss39	1	34498430	34503062	+	-5.4877977	-3.4693844	-5.4061823	-5.0874395
Cfc1	1	34535648	34544311	+	-5.2243004	-4.942852	-5.1426845	-4.823942
Prss40	1	34543975	34560943	-	-6.3915114	-5.9580603	-6.157892	-5.83915
1700101I19Rik	1	34579224	34579613	-	-3.964043	-3.530592	-3.7304237	-3.4116814
Fam123c	1	34579693	34590938	+	-7.4435124	-7.010061	-7.209893	-6.891151
C230030N03Rik	1	34678188	34724301	+	-3.2670257	-3.1555026	-5.3553348	-3.7146642
Arhgef4	1	34721924	34813309	+	-3.097038	-3.2485497	-2.900894	-3.9231884
Fam168b	1	34813219	34843065	-	2.2006204	2.3929117	3.43924	2.6563058
Plekhb2	1	34849976	34879580	+	-0.67629457	-1.1199867	3.005051	2.3898385
Hs6st1	1	36068400	36106446	+	2.5584726	2.7689219	2.2262022	2.7907336
Uggt1	1	36141530	36244305	-	3.0644116	3.2704406	3.3415854	3.3859332
Neurl3	1	36264602	36273425	-	-5.5395417	-6.1060905	-6.4579253	-6.139183
Arid5a	1	36307733	36324029	+	-3.1153522	-2.9270136	-3.711808	-3.2410629
Kansl3	1	36335730	36369181	-	2.0573962	2.1889036	2.7562518	2.6743367
Lman2l	1	36422065	36445271	-	-0.184398	0.16301326	-0.26324663	0.036512543
Cnnm4	1	36471620	36508764	+	-1.1074814	-0.24953242	1.2662275	1.109842
Cnnm3	1	36511867	36528237	+	0.16229513	0.34298018	-0.46892616	-0.7351463
Ankrd23	1	36530534	36535729	-	-1.5519618	-1.7965827	-1.0959504	-0.45527983
Ankrd39	1	36538173	36547201	-	-1.837301	-1.0502129	0.20367314	0.004567158
Sema4c	1	36548642	36558349	-	-1.3917083	-1.2350973	1.7564148	1.3781302
D430040D24Rik	1	36558359	36565613	+	-5.186435	-4.7529845	-4.952816	-4.634074
Fam178b	1	36562694	36683183	-	-0.61283344	-0.36282834	-5.4453034	-6.2785645
Cox5b	1	36691487	36693385	+	7.565017	7.453135	7.7993836	8.119619
Actr1b	1	36699202	36714422	-	2.863392	3.0950365	4.0334306	3.5029116
Zap70	1	36761861	36782816	+	-2.8353906	-1.7739081	-2.061203	-2.283029
Tmem131	1	36792191	36939527	-	4.619983	4.5809407	3.8011441	3.615966
Rpl12-ps1	1	36957893	36958517	-	-4.492422	-4.2109737	-4.410806	-4.092064
Vwa3b	1	37026596	37076996	+	-6.2725916	-5.6871376	-6.038973	-5.7202306
Vwa3b	1	37153844	37187605	+	-1.9529026	-4.326806	-5.6786413	-5.359899
Cnga3	1	37218336	37263384	+	-0.93534946	-1.4217279	-3.6610885	-4.190343
Inpp4a	1	37299865	37410736	+	-1.3502402	-1.5614576	-0.823574	-0.25244457
4930439A04Rik	1	37329667	37334172	-	-5.106582	-4.673131	-4.872963	-4.5542207
6330578E17Rik	1	37417084	37430103	-	3.2624085	3.473107	3.9922209	3.5458882
Unc50	1	37430170	37439124	+	1.591418	2.2175143	2.6175952	2.5393648
Mgat4a	1	37439340	37541016	-	-0.31088722	-0.06431418	-1.2337726	-0.13367048
2010300C02Rik	1	37611677	37720085	-	-4.706547	-4.758522	-1.8540177	-1.3468305
4930556I23Rik	1	37614259	37615372	+	-4.485996	-4.0525446	-4.2523766	-3.9336343
Tsga10	1	37754572	37865298	-	-2.0269656	-2.2384193	-3.4122562	-2.813406
Lipt1	1	37871738	37877387	+	-0.34527254	0.3083043	-0.44952306	0.10868524
Mitd1	1	37874801	37890411	-	1.8527452	2.0962534	2.986423	2.8867419
Mrpl30	1	37890477	37898535	+	3.0468	3.4453657	3.5491867	3.5541518
Lyg2	1	37905921	37916493	-	-6.682018	-6.248567	-6.4483995	-6.1296573
Gm15457	1	37933596	37954136	+	-7.3188863	-6.8854346	-7.085267	-6.766524
Lyg1	1	37946736	37957759	-	-5.151129	-4.7176776	-4.9175096	-4.5987673
Txndc9	1	37983867	37997346	-	2.539444	2.7350981	3.0353115	2.7681084
Eif5b	1	37998010	38055579	+	5.492638	5.668545	5.553477	5.2933536
Rev1	1	38052787	38129662	-	3.3437936	3.364058	3.050084	3.0488987
Aff3	1	38177326	38664955	-	-0.3122587	-0.04499988	-3.583634	-3.5449994
Gm16150	1	38235420	38246666	+	-5.189603	-4.7561517	-4.9559836	-4.637241
Gm16151	1	38307902	38311930	+	-4.676385	-4.2429338	-4.4427657	-4.1240234
Gm16152	1	38384949	38393974	+	-6.21236	-5.7789087	-5.9787407	-5.6599984
Lonrf2	1	38793669	38836090	-	-2.8228657	-2.7455583	-7.7412496	-7.422507
Chst10	1	38863877	38898160	-	-0.7222632	-0.1864503	-3.576107	-2.6724021
Nms	1	38939149	38950278	+	-5.3268185	-4.8933673	-5.0931993	-4.774457
Pdcl3	1	38987814	38997236	+	3.7330809	4.0583935	3.856657	3.815821
Npas2	1	39193731	39363234	+	-7.430218	-7.1487703	-3.6116366	-1.7079319
Rpl31	1	39367851	39371908	+	6.887967	7.1749926	8.044251	7.340426
Tbc1d8	1	39371499	39478747	-	-0.8440199	-1.7570189	-0.8007319	0.6334877
D1Bwg0212e	1	39534992	39546881	+	3.0319798	3.1403508	3.504884	2.9817805
Gm15832	1	39547570	39552002	-	0.8986012	0.78185517	0.9039512	0.315803
Rnf149	1	39551296	39577405	-	3.011132	2.826861	2.986611	2.3567731
Creg2	1	39618406	39651182	-	-4.536373	-4.9509187	-6.472679	-5.1539364
Rfx8	1	39665306	39720997	-	-6.416057	-5.9826064	-5.030435	-5.8636956
Gm3646	1	39804141	39805332	-	-3.8445528	-3.4111016	-3.6109335	-3.2921913
Map4k4	1	39900913	40026310	+	4.702696	4.4819436	5.588826	5.2173796
Il1r2	1	40084768	40125219	+	-2.5894935	-2.5710795	-5.3558745	-2.7152038
Il1r1	1	40225080	40316198	+	-3.923528	-3.0750391	-2.2304773	-2.0019326
Il1rl2	1	40324627	40365471	+	-4.133968	-4.1155543	-6.0523524	-5.7336097
Il1rl1	1	40429570	40465415	+	-8.107839	-7.6743875	-5.400288	-4.596119
Il18r1	1	40465552	40500854	+	-4.833459	-4.1776156	-4.59984	-5.2810974
Il18rap	1	40515362	40551705	+	-8.077812	-7.6443605	-2.8342087	-3.0515192
Slc9a4	1	40580227	40630731	+	-7.2568245	-6.823374	-7.0232058	-6.704463
Slc9a2	1	40681712	40768885	+	-5.974961	-6.541509	-6.8933444	-6.574602
Mfsd9	1	40772038	40790687	-	-2.6211553	-2.2366138	-7.4464297	-7.1276875
Tmem182	1	40805601	40855944	+	-6.1486893	-5.7152386	-5.91507	-5.5963283
AC101702.1	1	40863734	40864219	-	-4.281525	-3.848074	-4.047906	-3.729164
Gm9915	1	42229726	42231108	+	-5.790298	-5.3568473	-5.556679	-5.2379365
2610017I09Rik	1	42648162	42667672	-	-5.210022	-4.7765713	-4.976403	-4.6576605
2610017I09Rik	1	42692940	42694825	-	-6.0273695	-5.593918	-5.7937503	-5.4750075
Gm20646	1	42694925	42740968	+	-4.723035	-4.2895837	-4.4894156	-4.1706734
Pou3f3	1	42697146	42700207	+	-3.6150434	-3.7665546	-5.551349	-5.232607
Mrps9	1	42851233	42905682	+	4.7435007	4.9831014	4.4766397	4.4402523
Gpr45	1	42952872	43035449	+	-7.2710977	-6.837647	-7.0374784	-6.566733
AC112941.2	1	42953139	43030781	+	-6.1132693	-5.6798177	-5.87965	-5.560908
Tgfbrap1	1	43047269	43098622	-	-1.0700033	-0.43822345	0.83693415	0.76425153
8430432A02Rik	1	43092588	43093835	+	-5.642115	-5.208664	-5.408496	-5.0897536
AI597479	1	43098710	43115947	+	2.214494	2.1769228	2.3446498	2.5078092
Fhl2	1	43123074	43163961	-	-2.4928834	-1.4744699	2.1670003	1.2611117
Nck2	1	43445751	43570515	+	0.5097163	0.7027691	1.8685867	2.4787917
1500015O10Rik	1	43730602	43742578	+	-4.021693	-4.588242	-4.9400773	-4.621335
Uxs1	1	43746966	43827800	-	1.7419525	1.9189334	2.62337	2.340558
Tpp2	1	43934002	44002999	+	4.50551	4.5749907	5.2753115	4.95847
A530098C11Rik	1	44009408	44020034	-	-7.4268336	-6.993383	-7.193215	-6.874472
Gm8251	1	44055952	44061936	-	-6.751845	-7.4703975	-7.670229	-7.351487
1700029F09Rik	1	44086613	44102441	-	2.7937915	3.105252	3.662482	3.2532434
Kdelc1	1	44091463	44118808	-	1.9932297	2.1653528	2.6397507	2.1744592
Bivm	1	44118957	44144770	+	1.087954	1.4830587	1.2636644	1.7583374
Ercc5	1	44147847	44181260	+	2.0575576	2.331189	2.1889763	2.7929397
4832428D23Rik	1	44204070	44218961	-	-5.5713964	-6.874911	-7.0747423	-6.756
Gulp1	1	44551511	44796833	+	-1.0561705	-0.6450871	-0.7574563	-0.37642947
Col3a1	1	45311538	45349706	+	-5.067175	-3.2186863	-8.155484	-7.8367414
Col5a2	1	45374321	45503282	-	-3.302892	-1.2572569	-8.350559	-8.0318165
Wdr75	1	45795166	45823619	+	4.4390855	4.753433	4.600866	4.106894
Slc40a1	1	45908070	45925594	-	0.9612261	-0.15421605	0.21299249	0.4828253
Rpl23a-ps1	1	45981548	45982015	+	-4.2270775	-3.7936263	-3.9934585	-3.6747158
Gm3852	1	46011547	46012266	-	-4.848566	-4.415115	-4.614947	-4.2962046
Gm4776	1	46020072	46030469	-	-7.5449924	-7.1115413	-7.311373	-6.992631
Dnahc7b	1	46066738	46373550	+	-5.79319	-6.037811	-4.752216	-3.4334736
Dnahc7c	1	46608961	46626111	+	-4.6141005	-4.1806498	-4.3804812	-4.061739
Slc39a10	1	46807544	46854046	-	3.8915136	3.8165257	3.2816584	3.3381789
C230029F24Rik	1	49244616	49338246	+	-4.401107	-3.9676557	-4.1674876	-3.8487453
Tmeff2	1	50900647	51187270	+	-4.669766	-3.651352	-7.5881495	-7.2694073
Sdpr	1	51289126	51302959	+	-6.933197	-5.3477426	-6.699578	-6.3808355
Obfc2a	1	51469498	51478399	-	4.7401752	4.2133555	5.117932	5.5881495
Myo1b	1	51749765	51916071	-	1.2679806	1.410383	2.0988405	2.6170888
Gm8420	1	51940650	51941261	-	-4.6141005	-4.1806498	-3.2284782	-4.061739
Stat4	1	51987148	52107188	+	1.5725921	1.3643261	-6.742397	-6.4236546
Gm3940	1	52090635	52091066	-	-4.1116004	-3.678149	-3.877981	-3.5592387
Stat1	1	52119438	52161865	+	0.45989996	0.8062405	1.0199485	1.338691
Gls	1	52163448	52233232	-	1.3590503	1.3977187	1.0726037	0.92483234
Nab1	1	52457294	52500679	-	1.1964813	0.91982806	2.4215128	2.6049035
Tmem194b	1	52630705	52651919	+	0.0323039	0.18647124	0.30013856	0.2187938
Mfsd6	1	52656286	52727462	-	-2.939419	-2.0141149	-1.1058873	-1.1972332
Inpp1	1	52789413	52817688	-	-1.1197873	-0.8344348	4.6041203	4.1691
Hibch	1	52845013	52920986	+	1.8363286	2.3809824	4.3946476	4.7216735
1700019D03Rik	1	52922324	52963260	-	2.913233	2.7597275	-2.7680314	-1.9753578
Mstn	1	53061663	53068079	+	-6.745806	-6.312355	-6.512187	-6.1934447
1700019A02Rik	1	53158577	53187617	-	0.788371	0.32873738	-4.4154153	-3.9446697
Pms1	1	53189187	53297018	-	1.887099	2.4016314	1.7390088	1.9939361
Ormdl1	1	53297095	53310309	+	0.92438966	0.8972886	1.3427918	1.4812245
Osgepl1	1	53313624	53326343	+	-0.29852325	0.29412654	-0.19043496	0.12830733
Asnsd1	1	53325507	53352752	-	3.6594527	4.203835	3.5509946	3.9393892
Dnahc7a	1	53397002	53706784	-	-4.7003293	-5.5469866	-7.5541735	-8.235431
Stk17b	1	53755506	53785224	-	1.5279561	2.0788302	2.0302231	1.695888
Hecw2	1	53806882	54195168	-	-0.8700176	-1.0215291	-5.630752	-4.727047
Ccdc150	1	54250683	54368727	+	-3.7980292	-3.7430892	-3.56441	-2.422545
Gtf3c3	1	54397581	54438971	-	3.243549	3.597433	3.3901453	3.2228627
Pgap1	1	54473000	54557684	-	2.127681	1.7637078	0.96149	1.8916255
Ankrd44	1	54645340	54926387	-	-3.2123077	-2.3839972	-3.8755953	-2.988569
Sf3b1	1	54985169	55027478	-	5.7607465	6.0043283	5.746028	5.4536347
Coq10b	1	55052770	55072701	+	1.9795817	2.0327609	3.7239568	3.2260532
Hspd1	1	55077835	55088243	-	8.756235	8.867959	8.835211	7.9071817
Hspe1	1	55088132	55091307	+	6.6892033	6.6530476	6.8523936	6.10522
Mob4	1	55131231	55154899	+	3.401443	3.276163	3.2689764	2.991134
Rftn2	1	55170159	55226782	-	-4.5541754	-6.2906494	-5.168553	-7.1717386
Mars2	1	55237177	55240058	+	0.32480353	0.581377	1.3562337	0.6876874
Boll	1	55248658	55363469	-	-2.0294118	-2.0907254	-3.5800638	-3.846284
Plcl1	1	55406388	55751802	+	-4.7085357	-4.5970125	-3.9894896	-4.478102
Hsfy2	1	56636053	56637451	-	-5.806893	-5.3734417	-5.5732737	-5.2545314
Satb2	1	56793986	56978650	-	-1.9782212	-3.0395346	2.93692	2.789869
9130024F11Rik	1	56971491	56975197	+	-5.61056	-5.1771092	1.0229896	1.0245419
1700066M21Rik	1	57377620	57385423	+	0.45987007	0.593016	1.1325322	1.1939425
1110034B05Rik	1	57388237	57407101	-	1.6210395	1.7030181	2.0375226	1.4637935
9430016H08Rik	1	57406328	57417953	+	1.5487885	1.7967598	2.671918	2.0257237
Spats2l	1	57774162	57948394	+	-2.2709782	-0.9370627	-1.24381	-0.49622446
Gm17234	1	57909835	57917111	-	-3.9714224	-3.5379713	-3.7378032	-3.419061
Kctd18	1	57955101	58018956	-	-0.4047696	-0.8903188	-0.38334718	-0.12159485
Sgol2	1	57995971	58025899	+	4.4348054	4.5967216	3.6605272	4.086777
Aox1	1	58029931	58106413	+	-4.7048874	-4.155959	-5.471268	-4.4155602
Aox3	1	58113130	58200698	+	-3.662706	-7.551183	-7.9030185	-7.584276
Aox4	1	58210397	58268597	+	-4.025117	-3.3115575	-7.7508554	-7.432113
Gm15759	1	58254117	58315656	-	-7.2189627	-6.7855115	-6.9853435	-6.666601
Aox3l1	1	58278326	58379264	+	-7.5783	-7.144849	-7.344681	-7.0259385
Bzw1	1	58393136	58406548	+	6.6478353	6.572603	7.2551527	6.442495
Clk1	1	58410189	58424066	-	3.6336353	3.3439457	2.1454237	2.7516477
Ppil3	1	58430994	58445486	-	2.4132557	2.9088423	3.1949196	3.1445284
Nif3l1	1	58445151	58481816	+	2.6138668	3.1008193	3.384537	2.9655309
Orc2	1	58462771	58505109	-	4.8153486	5.0357227	4.927422	4.3284483
Gm15834	1	58505148	58523230	+	-2.9177055	-3.4842544	-7.143518	-2.5028474
Fam126b	1	58522806	58586323	-	0.6390432	0.6611232	-0.4465152	0.7048762
Ndufb3	1	58586384	58595964	+	1.9476717	2.5839396	3.260725	3.2878127
Gm10068	1	58646608	58648317	+	-6.0964932	-5.663042	-5.862874	-5.5441318
Als2cr12	1	58658117	58695989	-	-3.507577	-5.548057	-5.747889	-5.429147
Cflar	1	58711508	58758884	+	0.95996296	1.0183746	1.490968	1.1952766
Casp8	1	58795374	58847503	+	-1.2517036	-0.32792693	-6.562405	-6.243663
Trak2	1	58900449	58973430	-	2.362779	2.125829	2.9433792	2.7768674
Stradb	1	58973522	58995715	+	-2.4149585	-2.3867638	-1.1236238	-0.8773939
Als2cr11	1	58997123	59003443	-	-4.967737	-4.5342865	-4.7341185	-4.4153757
Als2cr11	1	59050506	59094900	-	-6.4626207	-4.8771667	-6.2290025	-5.9102592
Tmem237	1	59100594	59120096	-	2.2642062	2.8576767	2.1121035	2.5475981
Mpp4	1	59120936	59163389	-	-0.9883684	-1.0302553	-0.7802845	-1.5684574
Als2	1	59162926	59237231	-	2.6952744	2.7970839	2.105009	1.878102
Cdk15	1	59256906	59352993	+	-6.4964557	-5.063005	-6.41484	-6.096098
Fzd7	1	59482147	59486947	+	3.1350772	3.4570034	-0.17784193	0.46726075
Gm973	1	59516264	59634508	+	-0.27461728	-0.7497432	-5.1975026	-4.4637227
