gene	chr	strand	start	end	ESC_WT-1	ESC_WT-2	ESC_TET1KO-1	ESC_TET1KO-2	ESC_TET2KO-1	ESC_TET2KO-2	day3_WT-1	day3_WT-2	day3_TET1KO-1	day3_TET1KO-2	day3_TET2KO-1	day3_TET2KO-2	day6_WT-1	day6_WT-2	day6_TET1KO-1	day6_TET1KO-2	day6_TET2KO-1	day6_TET2KO-2
Cyp2s1	chr7	-	26587494	26601549	2.1266	1.6588	4.174	3.9151	1.8724	2.1826	0.9703	0.8527	1.4564	1.1775	1.3283	1.4369	0.1977	0.8688	0.6789	0.3885	0.1746	0.5042
Pik3c2a	chr7	-	123480789	123586972	5.4522	4.0299	6.3051	5.1254	4.5987	3.7329	7.0114	7.3694	7.593	7.5973	7.2608	7.1788	10.0268	10.5313	11.6926	11.3271	11.0657	12.8872
Flt3l	chr7	-	52386558	52391802	0.965	0.7263	0.6747	0.6133	1.0812	0.7971	0.9719	0.7545	0.8428	0.7725	0.9787	0.763	0.7067	0.5791	0.3487	0.5189	0.2465	0.5131
Vmn1r68	chr7	-	11112558	11113518	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0723	0.05	0.05	0.05
Nfatc2ip	chr7	-	133526367	133540251	45.5841	42.4732	48.4063	38.3273	57.0455	47.9077	8.3893	8.2402	7.2949	7.3021	7.3969	8.1617	4.137	4.0413	2.4004	2.6923	3.4396	3.3654
Vmn2r54	chr7	-	13200581	13221483	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0594	0.05	0.05	0.05	0.05	0.05
6330408A02Rik	chr7	-	13844315	13864070	0.8335	0.6906	0.7568	0.6073	0.664	0.3474	0.6141	0.6155	0.6164	0.6667	0.6211	0.5471	1.4649	1.7104	1.3479	1.3809	1.2947	1.4528
3100003L05Rik	chr7	-	131769183	131852449	0.05	0.05	0.05	0.05	0.05	0.0742	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0789	0.05
Zfp715	chr7	-	50551892	50568631	4.6592	4.3227	4.6599	4.0887	3.5951	3.477	2.1831	3.0374	3.096	2.6361	2.6952	2.637	3.1699	3.0429	4.3516	4.4001	3.8954	4.3838
Vmn1r121	chr7	-	21882587	21883532	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Spty2d1	chr7	-	54245765	54263784	2.8294	2.9436	2.0694	2.1419	2.148	1.8295	5.1629	5.3355	6.2146	6.1978	5.14	5.2669	4.9788	5.804	4.7728	4.5138	3.8386	4.8002
St5	chr7	-	116667424	116760661	7.0916	6.4029	10.3448	9.7589	7.9408	8.1234	2.7519	2.718	3.6843	3.8337	2.9587	3.0353	4.0202	4.1175	3.2377	2.9946	4.8446	5.0997
Gm4201	chr7	-	21160669	23350362	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Zfp566	chr7	-	30862355	30875529	5.4566	6.2266	5.3421	5.3892	6.2679	7.4068	5.7192	5.8689	7.1145	7.6297	5.8405	5.4987	4.7745	4.1301	4.8702	5.6149	4.2041	3.5676
Zfp772	chr7	-	7154832	7162709	1.3984	1.2433	1.5382	1.4729	1.0025	0.9365	1.3451	1.4844	1.3721	1.2391	1.3014	1.1323	1.8328	1.9715	1.6871	1.8029	1.8374	1.5178
Syngr4	chr7	-	53142214	53152081	1.2745	0.9738	0.9789	0.9328	1.1372	1.7994	0.6319	0.4428	0.4699	0.4234	0.8399	0.9359	0.5697	0.6401	0.4497	0.2592	0.6277	0.8358
Vmn1r55	chr7	-	5098091	5099024	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Gp6	chr7	-	4320314	4349346	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0685	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Lsr	chr7	-	31742788	31758488	7.8819	7.1548	5.8818	6.0416	4.3642	5.0301	22.4074	26.9919	28.2472	28.3743	22.8087	20.9022	17.6564	19.243	27.3361	27.5012	10.3886	13.0437
4933440M02Rik	chr7	-	132475295	132493300	0.2191	0.0812	0.1783	0.1063	0.1424	0.0776	0.05	0.05	0.05	0.0609	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Actn4	chr7	-	29678272	29747299	51.1556	52.5488	78.0814	68.816	69.8267	82.6127	67.4941	66.5023	94.4412	94.4804	72.4551	73.2783	53.451	55.2357	49.1193	52.7546	60.3076	64.9221
Ppp5c	chr7	-	17589989	17613263	19.5266	23.9703	27.3617	26.8493	26.7993	29.0214	38.2784	39.1662	45.6709	45.7567	39.773	39.3485	26.875	23.3691	20.2662	26.3712	25.4543	23.5445
Pira11	chr7	-	3789755	3849695	0.0656	0.0587	0.05	0.05	0.0596	0.0576	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0596	0.05	0.05
Vmn1r76	chr7	-	12515659	12516634	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Psg21	chr7	-	19232002	19242074	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0578	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Mir202	chr7	-	147143587	147143659	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Olfr67	chr7	-	110935725	110940344	0.05	0.05	0.05	0.05	0.0662	0.05	0.05	0.0669	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
4933406I18Rik	chr7	-	121458992	121558675	0.05	0.05	0.0694	0.05	0.05	0.05	0.084	0.0883	0.0758	0.073	0.0808	0.0765	0.119	0.0813	0.1149	0.0989	0.0849	0.1681
Gm4636	chr7	-	28769489	28799134	3.426	3.4568	4.2954	4.0452	3.5015	3.3919	3.5777	4.093	4.5256	4.252	3.1985	3.1176	3.0281	3.1902	3.1501	3.8385	3.2624	2.6917
Gm581	chr7	-	52431718	52434967	0.3994	0.1371	0.1011	0.1459	0.1359	0.127	0.1496	0.0948	0.0954	0.1005	0.1852	0.2133	0.0985	0.1878	0.0728	0.0607	0.1012	0.1192
Tmc4	chr7	-	3617355	3629155	3.3065	2.2193	3.0626	2.2544	1.9228	1.5288	3.1983	3.1438	2.8746	3.0216	2.7981	2.5889	4.3893	6.1668	4.8312	4.6995	2.4403	4.1738
Olfr33	chr7	-	109861968	109862925	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Vmn2r32	chr7	-	7416679	7432684	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Gltscr1	chr7	-	16556610	16584844	5.0906	4.8413	5.8194	4.5628	4.2163	4.1403	7.0166	8.6848	6.7521	7.2529	6.7554	6.6481	7.2604	7.6765	7.5661	7.7764	7.1476	8.3559
1700012D14Rik	chr7	-	118261186	118266189	0.8319	0.7724	0.6601	0.4403	0.9151	0.6884	0.7932	0.6186	0.321	0.4716	0.4804	0.7115	0.9914	1.612	0.7306	0.8834	1.1186	1.9081
Olfr670	chr7	-	112108305	112109244	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Olfr551	chr7	-	109736254	109737333	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Snord32a	chr7	-	52382752	52382833	288.2646	95.6382	175.3452	103.4987	136.9018	109.1102	27.0589	25.2431	28.9853	28.1148	27.2077	32.7624	25.6359	31.971	25.1559	26.9331	24.707	17.4178
Sult2a3	chr7	-	14652903	14708342	0.0882	0.0924	0.05	0.1072	0.2144	0.0687	0.1154	0.05	0.05	0.05	0.0697	0.1521	0.05	0.0801	0.05	0.05	0.05	0.05
Zfp111	chr7	-	24978233	24993168	3.0466	2.7225	2.8786	2.3234	2.1632	1.8421	2.0053	2.2322	2.078	2.1504	1.9214	1.7291	2.0835	2.2101	2.2044	2.2036	2.3489	2.2859
Mrgprb4	chr7	-	55453582	55454548	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Snord15a	chr7	-	106631294	106631442	6.6963	8.6464	3.7233	6.2425	8.2208	7.4297	2.8295	1.6136	3.9371	2.866	1.9937	2.2694	2.8198	2.6705	2.7981	3.592	3.6832	1.8048
Ebf3	chr7	-	144385353	144506128	0.0631	0.0645	0.0691	0.0533	0.062	0.0628	0.0574	0.0709	0.1603	0.1518	0.0702	0.0674	1.5916	1.0898	0.5017	0.5758	0.9408	0.4636
Olfr478	chr7	-	115174910	115175855	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Pth	chr7	-	120529089	120532087	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0793	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Shkbp1	chr7	-	28127151	28141027	7.5102	8.9014	8.13	7.2602	8.4828	8.0363	11.0524	11.1648	8.9014	9.9698	10.5474	10.1921	9.0549	8.7531	7.8116	7.3349	8.4778	7.6947
Mir344e	chr7	-	68880422	68880488	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Mir344d-1	chr7	-	68828009	68828078	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Cend1	chr7	-	148612349	148615319	0.1094	0.1158	0.1079	0.0796	0.1473	0.1857	2.4423	2.2591	2.4031	2.3937	2.2252	2.0059	0.4211	0.3777	0.3084	0.269	0.1891	0.1545
Olfr544	chr7	-	109632627	109636821	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Zp2	chr7	-	127275874	127288804	0.0649	0.0996	0.05	0.05	0.0866	0.0792	0.067	0.05	0.0597	0.0586	0.0808	0.0799	0.05	0.05	0.05	0.05	0.05	0.0598
Nr2f2	chr7	-	77496835	77511632	0.0971	0.1097	0.1091	0.1139	0.0666	0.0665	0.0999	0.0802	0.1419	0.0967	0.0813	0.0725	15.8891	11.1728	6.3839	5.7965	12.4912	7.8584
Olfr644	chr7	-	111216598	111217543	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Ccdc155	chr7	-	52439045	52460262	1.1776	0.4694	0.8748	0.6646	0.7613	0.6896	0.9638	0.4784	0.6574	0.5557	0.7314	0.9913	0.3592	0.3776	0.2147	0.1686	0.3107	0.3928
Axl	chr7	-	26541518	26573752	0.3015	0.2859	0.7356	0.697	0.4781	0.4828	0.8076	1.0017	0.9217	0.717	0.8721	0.9028	2.7646	3.2388	2.0921	2.2947	3.9218	5.167
Vmn1r71	chr7	-	11332850	11334887	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Coro1a	chr7	-	133843287	133848268	1.0766	1.3816	0.5306	0.5419	0.7315	0.8345	8.1406	7.6773	5.4134	5.898	7.0326	5.8503	1.3762	1.2319	0.5057	0.7065	1.1323	0.5379
Vmn1r151	chr7	-	23283779	23284697	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Rnh1	chr7	-	148346224	148358750	16.55	16.0244	18.46	14.7428	14.3432	13.7841	11.5196	9.8223	12.9928	12.3376	11.2945	12.2544	11.6688	10.9698	11.0027	10.1962	9.3327	9.9746
Plekhf1	chr7	-	39005672	39013013	6.1702	5.3312	9.0551	7.5663	4.9626	4.3358	2.5567	1.8312	1.9497	2.2372	2.3836	2.8733	2.9278	2.9524	2.2606	2.9082	3.2774	3.2708
Ltbp4	chr7	-	28090159	28122631	10.622	12.6703	15.4482	13.5698	13.5908	15.9824	7.5695	6.8632	6.8362	6.1953	8.5575	9.4708	4.959	3.9781	1.5192	2.2446	5.8267	4.9782
Trim68	chr7	-	109826093	109835840	0.6127	0.2858	0.3177	0.2829	0.4043	0.3189	1.0518	0.9482	0.8616	0.5892	0.5671	0.6458	2.7669	3.0588	1.1611	1.2062	2.0918	2.7044
Olfr623	chr7	-	110808757	110809832	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Cd22	chr7	-	31650422	31665361	0.1184	0.0879	0.1612	0.1145	0.0874	0.117	0.1237	0.0939	0.0945	0.0763	0.0775	0.1211	0.0764	0.068	0.1244	0.078	0.0901	0.0901
Pafah1b3	chr7	-	26080067	26082974	19.3839	16.6166	15.7825	13.2556	11.8879	15.7239	22.1443	21.3052	20.0344	21.0188	22.0672	22.779	31.5675	27.9269	37.6459	41.6262	31.1296	28.3849
Fut2	chr7	-	52903964	52921678	0.359	0.2467	0.3179	0.1985	0.3455	0.4144	0.1218	0.0794	0.1616	0.1426	0.0972	0.1188	0.0818	0.068	0.05	0.057	0.0634	0.0576
1700049G17Rik	chr7	-	28692410	28714449	0.5077	0.4517	0.639	0.5323	0.347	0.2742	0.6119	0.6577	0.587	0.5789	0.5191	0.5637	1.039	1.1729	1.0875	1.0155	1.1223	1.1787
Gm8453	chr7	-	20818256	23014503	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Taf10	chr7	-	112891407	112892852	47.825	46.6765	66.0791	54.0553	48.3464	53.4543	68.6934	64.8578	60.368	64.2636	62.8176	63.5755	80.5874	69.9329	60.5072	73.3749	79.2762	72.3552
Rpl13a	chr7	-	52380932	52384115	961.1417	932.9384	893.6689	786.0601	810.4551	827.1124	804.2124	738.2498	693.5424	702.1874	857.1496	908.2776	1009.0887	920.0289	709.6416	936.8721	1111.1138	978.4972
Hpn	chr7	-	31883743	31900309	1.8417	1.1226	0.8713	0.7923	0.8099	0.7521	5.353	4.315	4.1717	4.522	5.3945	5.9374	1.643	2.678	2.9158	2.8154	1.1519	1.9068
Gm5591	chr7	-	39303157	39313212	0.05	0.05	0.05	0.0548	0.0559	0.05	0.05	0.05	0.0562	0.0555	0.0549	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Ppp1r37	chr7	-	20116315	20147747	6.4399	6.9995	7.7031	6.4675	9.3234	9.8026	6.394	7.0318	6.8344	6.5665	6.3663	6.8237	8.4438	8.5439	7.8314	7.3454	6.9469	6.7228
Olfr683	chr7	-	112291863	112292823	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Mrps12	chr7	-	29524659	29526800	31.64	36.427	35.8166	30.2456	35.4678	44.5481	25.6921	24.5015	20.8897	22.705	25.5062	25.8542	23.6234	21.332	16.8869	19.8586	21.8932	18.8768
l7Rn6	chr7	-	97067198	97089695	16.2717	18.1557	18.289	16.0557	17.2151	16.8801	27.5162	25.4963	27.9223	25.4654	24.3552	22.4303	21.5821	19.4729	17.9737	22.1996	21.4225	19.2905
Maz	chr7	-	134165650	134169993	45.0633	53.7171	56.6177	54.2901	59.6636	66.7757	79.2445	77.3858	76.9742	76.3044	80.1961	85.1036	57.3459	65.1425	49.4888	51.7187	53.0049	63.3449
BC089491	chr7	-	29069670	29076153	0.05	0.0799	0.3658	0.1847	0.0998	0.1425	0.4809	0.4656	0.5235	0.2527	0.3982	0.3384	0.3874	0.5395	0.4552	0.4981	0.3345	0.4241
Gm16157	chr7	-	75411224	75421480	0.1479	0.1449	0.0977	0.1355	0.0951	0.1339	0.0779	0.1756	0.0659	0.0924	0.1637	0.0827	0.169	0.0693	0.066	0.1252	0.1073	0.0662
Kcnj14	chr7	-	53071836	53080117	0.2488	0.1946	0.2439	0.3105	0.2562	0.2995	0.3122	0.337	0.5021	0.452	0.5758	0.523	0.2226	0.2753	0.1798	0.2563	0.2974	0.2304
Snord23	chr7	-	16524110	16524209	1.3748	1.3351	1.6651	0.8766	1.0679	2.8081	0.6166	0.2625	1.7718	1.0068	0.7337	0.4924	0.9702	0.8335	1.3473	0.8646	0.438	0.7058
Sult1a1	chr7	-	133816383	133819871	0.1218	0.1296	0.2834	0.0858	0.1088	0.1086	0.0773	0.1114	0.0811	0.05	0.0994	0.066	0.1664	0.1444	0.0656	0.05	0.05	0.1132
Abpz	chr7	-	34522211	34524314	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
LOC100859962	chr7	-	87207595	87220143	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.1744
Mrgpra2a	chr7	-	54681698	54707509	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Cd19	chr7	-	133551961	133558384	0.1038	0.0724	0.1288	0.0702	0.0996	0.0896	0.1191	0.0673	0.0937	0.0578	0.0917	0.077	0.0593	0.0606	0.0588	0.05	0.0737	0.0589
C330022C24Rik	chr7	-	148023119	148031588	0.05	0.05	0.05	0.0652	0.05	0.0798	0.05	0.0695	0.05	0.05	0.05	0.05	0.05	0.098	0.05	0.05	0.0678	0.05
Gm18756	chr7	-	15116002	15208415	0.5062	0.347	0.1136	0.1982	0.4105	0.3018	0.1367	0.2823	0.21	0.1922	0.1808	0.1516	0.1456	0.1014	0.0925	0.0901	0.1179	0.0596
Olfr522	chr7	-	147347908	147348847	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Gm10662	chr7	-	22694452	23929497	0.0595	0.05	0.05	0.05	0.0558	0.0547	0.0608	0.0622	0.05	0.0665	0.0549	0.0564	0.0632	0.0575	0.0562	0.0617	0.0611	0.0563
D7Ertd443e	chr7	-	141457944	141568511	0.05	0.05	0.05	0.0561	0.0575	0.05	0.134	0.0894	0.3053	0.1989	0.1007	0.1074	0.05	0.0694	0.0821	0.0953	0.05	0.0662
Mir344d-3	chr7	-	68871134	68871214	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Mir1965	chr7	-	87297775	87297901	0.05	0.3385	0.05	0.05	0.21	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Dchs1	chr7	-	112901502	112936064	0.0562	0.0773	0.056	0.0561	0.0632	0.0666	0.2484	0.3008	0.4521	0.4342	0.3344	0.2803	2.9516	2.5698	4.7448	4.7655	3.8093	3.3967
Pdzd9	chr7	-	127802809	127813857	0.1312	0.05	0.05	0.05	0.075	0.0599	0.0963	0.1282	0.0764	0.0617	0.1233	0.0771	0.2333	0.13	0.103	0.075	0.0857	0.1036
Dll3	chr7	-	29078573	29086804	0.338	0.3777	0.464	0.4132	0.6836	0.5846	2.7385	2.7344	2.7688	3.054	3.7503	3.3606	2.1453	1.7116	0.5349	1.905	1.5593	1.4408
Snrpn	chr7	-	67127387	67285105	15.4523	16.1862	12.2506	10.9835	14.0989	16.0441	78.1594	85.473	74.3825	75.0927	80.9026	73.2531	15.9155	19.1052	18.0922	22.5166	19.6413	28.0494
Nmb	chr7	-	88047112	88049957	2.9032	3.628	3.654	4.2524	4.6502	5.3657	3.731	3.5012	4.1533	3.9144	3.5743	3.7049	3.6237	3.9966	4.5694	4.9396	2.9813	4.2489
Vmn1r60	chr7	-	5495798	5496701	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0687	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Trim12a	chr7	-	111448410	111464009	1.1465	1.3848	0.0919	0.0822	0.5919	0.7978	5.1384	3.9678	0.567	0.2984	8.1944	8.6083	1.1551	1.4233	0.2325	0.169	1.4352	1.8382
Kirrel2	chr7	-	31232784	31242534	4.335	4.2067	2.8362	2.1206	2.161	3.0442	1.3916	1.3168	1.5787	1.4577	1.2478	1.8246	0.1157	0.0997	0.0569	0.0758	0.0992	0.0569
Wtip	chr7	-	34894566	34918287	10.0692	9.4116	19.0547	15.0277	14.2107	13.7233	8.8976	7.2202	9.925	9.6719	8.2729	8.9906	12.7696	13.883	8.3521	10.909	15.5742	16.6721
Eif3c	chr7	-	133690424	133709880	105.6739	111.2897	113.5429	107.0133	97.5988	104.6956	140.5546	146.4732	161.1531	160.7366	142.7539	139.0538	117.9595	110.2923	114.5523	132.3296	130.0537	114.0548
Olfr612	chr7	-	110686774	110687746	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Apoc1	chr7	-	20274829	20278007	44.7395	28.3899	33.1547	32.6303	39.426	35.6829	11.0613	7.1794	9.0857	8.3642	8.5107	11.5669	4.6892	3.7369	0.5653	0.6101	2.575	2.7754
Zfp551	chr7	-	13000496	13007840	0.9624	0.828	0.8714	0.7436	0.6194	0.6138	0.8585	0.9956	0.8253	0.8042	0.6802	0.6125	0.9177	1.0572	1.0672	1.0253	0.8145	0.8653
Olfr559	chr7	-	109872045	109873002	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Gm4980	chr7	-	106772576	106775613	0.0932	0.05	0.05	0.0769	0.05	0.0764	0.1362	0.147	0.1202	0.1249	0.1113	0.1437	0.155	0.1266	0.057	0.0633	0.0626	0.0785
Det1	chr7	-	85972359	85992097	3.3629	3.1243	2.8772	2.8035	2.9409	3.129	3.4405	3.8741	2.5584	2.9894	2.9504	2.954	4.3131	4.2485	3.3425	3.6605	3.7054	3.4961
Zfp579	chr7	-	4944453	4947703	1.2042	1.439	1.1017	1.4296	1.4316	1.5825	1.9467	2.4471	1.8067	1.7873	1.8683	1.9771	3.7209	3.2236	3.9564	3.8509	2.7807	2.7466
Capns1	chr7	-	30971960	30980067	140.5589	117.3628	135.4822	111.1894	78.54	81.4138	39.8529	41.0217	37.0466	34.5329	37.4662	38.1961	64.2321	63.6593	68.7888	63.3993	61.8386	66.2956
Vmn1r119	chr7	-	21796550	21797474	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Ppp4c	chr7	-	133929381	133935985	42.8325	51.9285	57.2146	53.0672	51.5863	57.6643	52.8606	55.8026	57.4923	54.4208	54.6886	52.5107	57.9774	51.3543	48.535	59.7499	55.4274	50.3552
Zfp146	chr7	-	30946286	30954746	8.0129	7.7678	8.7302	8.0798	9.3231	7.8672	13.2771	15.0457	15.1013	14.6824	14.6624	14.2678	24.0471	21.0914	21.4982	26.1816	27.437	24.6995
Olfr658	chr7	-	111791393	111795819	0.05	0.05	0.05	0.0556	0.05	0.05	0.0757	0.0644	0.0793	0.05	0.0732	0.065	0.05	0.05	0.05	0.05	0.0632	0.05
Zim1	chr7	-	6628153	6649143	0.1624	0.1538	0.1048	0.1669	0.2975	0.2931	0.269	0.2964	0.3239	0.2989	0.311	0.319	3.9986	9.5254	6.3355	3.8625	0.3681	0.2911
Mrpl48	chr7	-	107697630	107756510	10.419	8.7147	9.0091	6.8264	6.5194	8.1647	12.6755	11.5577	11.6241	11.222	10.9291	11.2799	15.0166	13.9479	9.4215	13.549	17.3938	16.1229
Vmn2r29	chr7	-	7165706	7231000	0.05	0.0691	0.05	0.0758	0.05	0.0669	0.0647	0.0666	0.0556	0.0699	0.0945	0.0615	0.0919	0.1111	0.0669	0.0659	0.0954	0.1069
Ceacam2	chr7	-	26301060	26325023	0.0671	0.088	0.1336	0.1826	0.0869	0.0794	0.0647	0.083	0.0556	0.0698	0.0588	0.0901	0.05	0.077	0.0947	0.108	0.0651	0.0783
Zg16	chr7	-	134193669	134195491	0.05	0.05	0.05	0.05	0.05	0.0753	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
