Probe	Chromosome	Start	End	Strand	TSC_1	TSC_2	TSC_3	TSC_4	TSC_5	diffTSC_d1_1	diffTSC_d1_2	diffTSC_d1_3	diffTSC_d3_1	diffTSC_d3_2	diffTSC_d3_3
Ly96	1	16688456	16709605	+	-0.9309009	-0.6348459	-0.25677267	-0.43200725	-2.2978184	-0.82061064	-0.74748373	-1.4417126	0.21547969	0.04265365	-0.018418696
Gm5828	1	16768270	16770138	-	-7.5171337	-6.1737733	-5.2107377	-5.385972	-6.6668205	-6.0965037	-7.816926	-6.6851835	-5.375915	-5.2008176	-5.609813
Jph1	1	16994938	17097889	-	0.8181005	0.84861887	1.0207387	1.0820408	1.1273366	-0.4265509	-0.52456725	-0.044902205	-0.19506478	-0.6843645	-0.71275616
Gdap1	1	17145362	17164271	+	-9.216828	-8.873467	-6.7584286	-6.933663	-8.214512	-8.644195	-9.212614	-6.0808716	-5.1866403	-5.5965056	-4.6835732
Pi15	1	17601901	17630938	+	-3.1966026	-3.3902702	-2.7777317	-3.4224517	-2.7033002	-4.663498	-4.509451	-3.6147485	-4.7909064	-5.3527746	-3.646293
Gm16070	1	17676027	17727646	-	-9.827783	-9.484422	-7.369383	-7.5446177	-8.825466	-9.407152	-9.975572	-8.843829	-7.5345607	-7.359463	-7.768459
Crispld1	1	17727045	17766344	+	-8.941596	-8.598235	-6.4831967	-6.6584315	-7.93928	-8.520966	-9.089385	-7.9576435	-6.6483746	-6.473277	-6.8822722
Crisp4	1	18115191	18145902	-	-8.219465	-7.8761053	-5.7610664	-5.936301	-7.2171493	-7.7988353	-8.367254	-7.235513	-5.9262443	-5.751147	-6.160142
Defb18	1	18236473	18237443	-	-4.812313	-4.4689527	-2.3539138	-2.5291483	-3.809997	-4.391683	-4.960102	-3.8283603	-2.5190914	-2.3439941	-2.7529898
Defb41	1	18250980	18265138	-	-5.668365	-5.325004	-3.2099655	-3.3851998	-4.6660485	-5.2477345	-5.816154	-4.684412	-3.375143	-3.2000458	-3.6090412
Gm15386	1	18260524	18265080	-	-4.430443	-4.087082	-1.9720432	-2.1472776	-3.4281263	-4.0098124	-4.5782313	-3.4464896	-2.1372209	-1.9621234	-2.371119
Gm15825	1	19063299	19104840	-	-6.645007	-6.3016467	-4.186608	-4.361842	-5.642691	-6.2243767	-6.792796	-5.661054	-4.351785	-4.176688	-4.585684
Tfap2d	1	19103022	19166346	+	-7.733301	-7.3899403	-5.2749014	-5.450136	-6.7309847	-7.3126707	-7.8810897	-6.7493477	-5.4400787	-5.2649817	-5.6739774
Tfap2b	1	19208914	19238734	+	-6.9689803	-8.947548	-6.984513	-7.159747	-8.440596	-8.870278	-8.438698	-8.306956	-7.14969	-6.8225894	-7.383589
Pkhd1	1	20057779	20618064	-	-10.605822	-10.262462	-8.147423	-8.322658	-9.603506	-10.185191	-10.753611	-9.621869	-8.3126	-8.137503	-8.394495
4930486I03Rik	1	20381093	20392300	+	-5.867175	-5.523814	-3.408776	-3.5840104	-4.864859	-5.446545	-6.014964	-4.8832226	-3.5739532	-3.398856	-3.8078518
Il17a	1	20730905	20734496	+	-6.9946113	-6.651251	-4.536212	-4.7114463	-5.9922953	-6.5739813	-7.1424003	-6.0106587	-4.70139	-4.5262923	-4.935288
Il17f	1	20777151	20784270	-	-5.8450704	-4.5017095	-4.538674	-3.5619051	-3.0353992	-4.42444	-4.992859	-3.8611174	-4.5518484	-4.376751	-4.93775
Mcm3	1	20802974	20820278	-	5.7242994	5.667502	5.697532	5.941759	5.8213644	5.239853	5.2251472	5.5982256	4.98037	5.161567	5.1253357
Paqr8	1	20890622	20938755	+	-1.7432301	-1.622262	-2.3401132	-2.3454227	-2.123771	-1.4236859	-1.7763762	-1.8372797	-0.27647194	-0.49730328	-0.65172625
Efhc1	1	20951626	20990838	+	0.32650328	0.15757038	0.16218524	0.75633776	-0.15341675	-0.14519095	-0.033069957	-0.39665356	-0.07010656	-0.33313033	0.13656782
Tram2	1	20996296	21079229	-	0.7150905	0.65669775	0.6440486	0.78914714	-0.012672399	0.5094456	0.37879238	-0.11107536	0.96770984	0.96147734	1.4175521
Tmem14a	1	21218575	21230167	+	-1.6565775	-2.313217	-2.5904956	-3.1807675	-2.7246506	-1.5408019	-1.6420949	-2.1580513	-1.2962413	-1.9956131	-1.9895713
Gsta3	1	21240589	21265361	+	-7.0920267	-6.748666	-4.78563	-4.9608645	-6.2417135	-4.6713963	-7.3918185	-3.7861454	-4.9508076	-4.77571	-5.1847057
AC163025.1	1	21272338	21273082	+	-6.3421826	-5.998822	-3.8837833	-4.0590177	-5.339866	-5.9215527	-6.4899716	-5.3582296	-4.0489607	-3.8738635	-4.2828593
Khdc1a	1	21349641	21352200	+	-7.757462	-7.414102	-5.2990627	-5.474297	-6.755146	-7.336832	-6.168286	-5.0365434	-1.8528055	-1.049677	-2.2242074
Khdc1c	1	21368331	21370845	+	-7.575379	-7.3840213	-5.2689824	-5.444217	-6.7250657	-7.3067517	-5.723168	-5.591426	-3.2821572	-2.7851317	-3.5160556
Khdc1b	1	21383556	21386373	+	-7.9277906	-7.58443	-5.4693913	-5.6446257	-6.9254746	-7.50716	-8.07558	-6.943837	-5.6345687	-5.459471	-5.868467
Kcnq5	1	21398403	21961942	-	-5.7503085	-5.307412	-7.2512665	-7.274498	-5.555347	-5.6776013	-6.535527	-6.57371	-3.8050096	-4.089344	-3.1060221
Rims1	1	22286251	22805994	-	-6.393707	-6.728418	-7.0873103	-7.2625446	-4.806428	-9.125079	-9.693499	-8.561756	-7.2524877	-7.07739	-7.4863863
4933415F23Rik	1	23100473	23102253	-	-7.599558	-7.256197	-5.1411586	-5.316393	-6.5972414	-7.1789274	-7.7473464	-6.615605	-5.306336	-5.1312385	-5.540234
Gm6420	1	23255987	23256406	-	-5.5153317	-5.171971	-3.0569322	-3.2321665	-4.5130153	-5.0947013	-5.6631203	-4.5313787	-3.2221098	-3.0470126	-3.456008
Ogfrl1	1	23366424	23383175	-	0.9017243	0.86168545	0.7068846	0.8433099	0.36863807	0.433446	0.29653537	0.03540137	0.42452374	0.5430375	0.50810754
B3gat2	1	23761753	23849158	+	-1.7086747	-1.2534211	-1.5799805	-1.9646684	-2.3386264	-0.8846886	-0.37048262	-3.1345973	-1.1732517	-1.2876611	-1.7961923
Smap1	1	23844846	23922317	-	3.9464674	3.8566952	3.8805704	3.889699	4.0191474	4.381183	4.3100433	4.5148487	4.5827208	4.5023437	4.5758996
1110058L19Rik	1	23995939	24005656	-	1.8601984	1.8054312	1.4972585	1.1845205	1.4146339	1.9009246	1.8494912	1.5406605	1.3645027	1.0019431	1.6611189
Fam135a	1	24010758	24100341	-	2.1873915	2.2612066	2.2138305	2.432582	2.3291636	2.0784507	1.8331133	2.0324411	2.0990002	1.9085482	1.9753615
Col9a1	1	24177610	24252684	+	-9.108287	-8.764927	-6.6498876	-6.825122	-8.105971	-8.687656	-9.256076	-8.124333	-6.815065	-6.6399674	-7.0489635
Col19a1	1	24261890	24587472	-	-9.550746	-9.207386	-7.092346	-7.267581	-8.54843	-9.1301155	-9.698535	-8.5667925	-7.257524	-7.0824265	-7.4914227
Gm10222	1	24612404	24612700	-	8.57305	9.352922	7.592177	7.384104	11.663211	9.634962	8.962686	11.422726	8.529168	8.225137	8.091496
Lmbrd1	1	24678544	24766299	+	1.8367264	1.8623575	1.9485223	2.0324283	1.7385235	2.205993	2.0244105	1.7445444	2.6595802	2.7039375	2.7522633
Bai3	1	25067476	25829707	-	-8.256875	-7.9135146	-7.9504795	-8.125713	-9.406563	-9.988249	-10.556668	-7.68796	-7.963654	-7.9405594	-8.349555
Gm9884	1	25830657	25831878	+	-7.0561147	-6.712754	-4.5977154	-4.7729497	-6.053798	-6.635484	-7.203903	-6.0721617	-4.7628927	-4.5877953	-4.9967914
4931408C20Rik	1	26681814	26687460	-	-8.8772335	-8.533873	-6.418834	-6.5940685	-7.874917	-8.456604	-9.0250225	-7.8932805	-6.584012	-6.408914	-5.665907
Gm597	1	28776144	28780252	-	-8.282886	-7.9395247	-5.8244863	-5.9997206	-7.280569	-7.862255	-8.430675	-7.2989326	-5.989664	-5.814566	-6.223562
Gm6462	1	28938035	28938340	+	-5.0584736	-4.7151136	-2.6000745	-2.775309	-4.0561576	-4.6378436	-5.2062626	-4.074521	-2.7652519	-2.5901546	-2.9991505
Gm9898	1	30718554	30719961	-	-6.988438	-6.645077	-4.530039	-4.705273	-5.9861217	-6.5678077	-7.1362267	-6.004485	-4.695216	-4.5201187	-4.929115
Phf3	1	30802342	30863256	-	4.706527	4.5907636	4.5840592	4.886391	5.189009	4.761591	4.5041842	5.649951	4.6942058	4.5633206	4.5970063
Ptp4a1	1	30940303	30949770	-	4.212787	4.113004	4.3228374	4.28089	3.6478078	4.2272635	4.1197524	3.8034923	4.750553	4.578615	4.757341
Gm5698	1	30976950	30978965	-	-6.9571695	-6.6138086	-4.4987698	-4.674004	-5.954853	-6.536539	-7.104958	-5.973216	-4.663947	-4.48885	-4.8978457
Gm5699	1	30997867	30999905	-	-6.9859614	-6.642601	-4.527562	-4.7027965	-5.983645	-6.565331	-7.1337504	-6.002009	-4.6927395	-4.5176425	-4.9266376
4931428L18Rik	1	31141078	31222661	-	-6.2434077	-7.05205	-4.9370112	-5.112246	-6.2410913	-6.9747806	-7.5431995	-6.4114575	-5.1021886	-4.9270916	-5.336087
Lgsn	1	31176406	31204656	+	-7.6644983	-6.1691346	-5.0540953	-5.381333	-6.662182	-7.243868	-7.8122873	-6.680545	-5.3712764	-5.196179	-5.6051745
4930521A18Rik	1	31222839	31224287	+	-7.301928	-6.958567	-4.8435283	-5.018763	-6.2996116	-6.8812976	-7.4497166	-6.317975	-5.008706	-4.8336086	-5.2426043
AC121888.1	1	31286945	31287706	+	-6.374733	-6.031373	-3.916334	-4.0915685	-5.372417	-5.9541035	-6.522522	-5.3907804	-4.0815115	-3.9064143	-4.3154097
Gm10307	1	31615458	31616843	+	-7.2377977	-6.894437	-4.779398	-4.8026295	-6.2354813	-6.8171673	-7.3855863	-6.253845	-4.944576	-4.769479	-5.178474
Khdrbs2	1	32172806	32657738	+	-7.0574126	-5.1290894	-4.751016	-4.926251	-4.470134	-6.7887855	-6.2052016	-6.225463	-4.916194	-4.7410965	-5.150092
Gm9839	1	32519563	32520999	-	-7.2899303	-6.94657	-4.831531	-5.006766	-6.2876143	-6.8693	-7.4377193	-6.305978	-4.9967084	-4.8216114	-5.230607
Gm5415	1	32543546	32547293	-	-8.672992	-8.329631	-6.2145915	-6.3898263	-7.6706753	-8.252361	-8.820781	-7.6890383	-6.3797693	-6.204672	-6.613668
Prim2	1	33453811	33669786	-	4.107571	4.09826	4.3222733	4.31582	4.200006	4.40014	4.231841	4.3574524	4.491728	4.3867173	4.340292
1700001G17Rik	1	33669843	33670712	+	-3.6065996	-4.4856315	-4.1075583	-4.2827926	-5.5636415	-6.1453276	-6.7137465	-3.4300017	-4.2727356	-4.097638	-4.506634
Rab23	1	33719882	33742564	+	1.1488994	1.1188748	1.0094408	0.89601153	1.2094033	0.947177	0.83639187	0.93169993	0.9014072	1.038661	1.0326704
Bag2	1	33745484	33757794	-	2.4830527	2.473166	2.5731921	2.6619978	2.2413816	2.7728279	2.8008466	2.8235877	3.1831048	3.030973	2.9632473
Zfp451	1	33760472	33814595	-	0.75456053	0.9370019	0.9450083	1.1284466	0.87382185	0.96989334	0.5944467	1.01557	0.68715906	0.7252197	0.8891568
Bend6	1	33852052	33907816	-	-2.6546016	-2.2842739	-2.6021945	-2.1924665	-2.522225	-1.9174976	-2.12092	-2.398569	-2.0893002	-2.5922747	-2.0012703
Dst	1	34011825	34308650	+	0.8853917	1.0041418	0.90987664	0.81526065	2.3907094	0.9790556	0.75455195	2.9283066	1.9024944	1.5536684	1.5543572
Ccdc115	1	34436671	34439672	-	2.628832	2.4554229	2.4754863	2.5067027	2.8206475	2.5952585	2.5912466	2.866947	2.8636255	2.9362757	2.98387
Imp4	1	34439851	34445736	+	3.7665305	3.810995	3.7481163	3.5728817	3.5719995	3.476589	3.5547094	2.9167562	3.664733	3.650751	3.7513988
Ptpn18	1	34459746	34473775	+	2.3791437	2.5624638	2.6935327	2.4530807	1.6202466	1.5266052	1.6291578	0.8172725	1.1370338	1.1808865	1.5088564
Prss39	1	34498430	34503062	+	-7.0841746	-6.7408137	-4.625775	-4.8010097	-4.9298553	-6.663544	-7.0799603	-5.948218	-4.7909527	-4.615855	-5.024851
Cfc1	1	34535648	34544311	+	-6.8206763	-6.4773164	-4.3622775	-4.537512	-5.818361	-6.400047	-6.9684653	-5.836724	-4.375452	-4.352358	-4.761353
Prss40	1	34543975	34560943	-	-7.835885	-7.4925246	-5.3774858	-5.55272	-6.833569	-7.415255	-7.983674	-6.851932	-5.542663	-5.3675656	-5.7765617
1700101I19Rik	1	34579224	34579613	-	-5.4084163	-5.065056	-2.950017	-3.1252515	-4.4061003	-4.9877863	-5.5562053	-4.4244633	-3.1151946	-2.940097	-3.3490927
Fam123c	1	34579693	34590938	+	-8.887886	-8.544525	-6.4294863	-6.6047206	-7.8855696	-8.467256	-9.035675	-7.9039326	-6.5946636	-6.4195666	-6.8285623
C230030N03Rik	1	34678188	34724301	+	-4.5738955	-5.6899667	-5.7269306	-5.9021654	-3.7090828	-4.2907686	-6.1811156	-6.049374	-5.8921084	-5.5650077	-4.974004
Arhgef4	1	34721924	34813309	+	-3.469262	-3.4173641	-2.976097	-3.2957215	-3.5025697	-3.8515947	-3.9746027	-4.1990047	-5.533592	-5.0365667	-4.7674904
Fam168b	1	34813219	34843065	-	2.9935894	2.9249785	2.9253252	2.86384	2.6412063	2.9621177	2.9614415	2.6164894	3.7864344	3.5099685	3.6633818
Plekhb2	1	34849976	34879580	+	2.5760677	2.452366	2.5771976	2.5363772	1.9681679	2.1771612	2.2054746	1.8702812	3.048116	2.7611852	2.9927323
Hs6st1	1	36068400	36106446	+	2.944003	3.1009505	3.4643173	3.0771637	2.9550364	2.542025	2.5322537	2.1518905	2.5147588	1.6796364	1.7831612
Uggt1	1	36141530	36244305	-	2.9149904	2.8834784	3.001083	3.0380983	3.2862654	3.1335807	3.0101278	3.6991796	3.3984787	3.3854861	3.4261098
Neurl3	1	36264602	36273425	-	-8.135918	-7.7925572	-5.6775184	-5.852753	-6.9815984	-7.7152877	-8.283707	-4.678034	-5.842696	-5.6675987	-6.0765944
Arid5a	1	36307733	36324029	+	-3.2198756	-3.6016552	-2.7090087	-2.8171291	-3.0028205	-2.4248497	-2.6094825	-2.7684178	-1.6815411	-1.2585164	-1.160552
Kansl3	1	36335730	36369181	-	3.0042589	2.9501784	3.0548158	2.9725602	2.6049824	3.2413762	3.2397854	3.1625452	3.2756782	3.1635752	3.286593
Lman2l	1	36422065	36445271	-	-0.018717814	0.2919386	0.06712741	0.2842103	-0.041492686	0.40935546	0.33482265	0.30888796	1.393803	1.5550945	1.7795599
Cnnm4	1	36471620	36508764	+	1.602164	1.6481771	1.9017912	1.7454776	0.6578613	0.52773863	0.46605676	-0.19377746	0.6431868	0.48871604	0.62586355
Cnnm3	1	36511867	36528237	+	-0.11215309	-0.18383008	-0.29118362	-0.064801134	-0.85829824	-0.45448375	-0.32732874	-1.1747427	-0.15235506	-0.03615141	-0.12321892
Ankrd23	1	36530534	36535729	-	-0.8670521	-0.68334824	-0.73058075	-1.1282078	-0.1695905	-0.76835	-1.1291736	-0.20502725	-1.1181508	-0.65354687	-0.52197415
Ankrd39	1	36538173	36547201	-	0.43714386	0.3755771	0.36435217	0.22388299	-0.18249653	0.55399346	0.5350381	0.040148225	0.011547529	0.22617313	0.7776492
Sema4c	1	36548642	36558349	-	0.914559	0.88314605	1.2816626	1.6195506	0.18330827	0.14254415	0.13160689	0.09540395	1.7513235	2.0979013	2.2985303
D430040D24Rik	1	36558359	36565613	+	-6.630809	-6.2874484	-4.1724095	-4.347644	-5.628493	-6.210179	-6.778598	-5.646856	-4.337587	-4.1624894	-4.571485
Fam178b	1	36562694	36683183	-	-6.123296	-5.4580073	-5.8169	-5.992134	-7.2729826	-7.7026653	-6.686122	-5.5543804	-5.982077	-5.8069797	-6.2159758
Cox5b	1	36691487	36693385	+	7.2627277	8.642707	8.590213	8.43633	8.002991	9.03336	8.428953	8.898002	9.210933	9.023583	8.8352
Actr1b	1	36699202	36714422	-	3.965165	4.005844	4.337949	4.1193795	3.8881302	4.1301374	4.1696873	3.8117323	4.3553367	4.2611904	4.289395
