Probe	Chromosome	Start	End	Probe Strand	No value	Feature	ID	Description	Feature Strand	Type	Orientation	Distance	ES_E14	ES_J1	TS_EGFP	TS_Rs26
Gm10566	1	15268799	15269797	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Kcnb2	1	15287259	15716367	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Terf1	1	15805658	15843428	+	NaN	null					Not found	0	83.75986	62.01415	49.51168	37.27641
Gm106	1	15853862	15892722	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
4930444P10Rik	1	16065979	16093325	-	NaN	null					Not found	0	0.053837765	0.0	0.015825352	0.0
Rpl7	1	16101295	16104662	-	NaN	null					Not found	0	217.27774	287.42413	355.1273	233.64903
Rdh10	1	16105774	16133734	+	NaN	null					Not found	0	0.5406522	0.36055765	0.4316403	0.64603233
Stau2	1	16228674	16520112	-	NaN	null					Not found	0	0.5103137	0.9059097	0.9919636	0.89924735
Gm7568	1	16253592	16267921	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Ube2w	1	16569782	16619489	-	NaN	null					Not found	0	3.1966102	3.2309678	2.6379623	3.5085545
Tceb1	1	16642766	16656865	-	NaN	null					Not found	0	30.677395	32.9778	50.579983	33.84764
Tmem70	1	16665207	16678275	+	NaN	null					Not found	0	4.912592	6.345814	8.84358	9.195473
Ly96	1	16688456	16709605	+	NaN	null					Not found	0	0.13814342	0.24874292	0.054142125	0.40517026
Gm5828	1	16768270	16770138	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Jph1	1	16994938	17097889	-	NaN	null					Not found	0	1.1143683	1.6608595	0.9911758	1.8458879
Gdap1	1	17145362	17164271	+	NaN	null					Not found	0	0.005081776	0.02058821	0.0	0.0
Pi15	1	17601901	17630938	+	NaN	null					Not found	0	0.05615943	0.02166888	0.08489723	0.10000482
Gm16070	1	17676027	17727646	-	NaN	null					Not found	0	0.0066547217	0.008986937	0.0	0.0
Crispld1	1	17727045	17766344	+	NaN	null					Not found	0	0.23369646	0.5066174	0.0	0.0
Crisp4	1	18115191	18145902	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Defb18	1	18236473	18237443	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Defb41	1	18250980	18265138	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm15386	1	18260524	18265080	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm15825	1	19063299	19104840	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Tfap2d	1	19103022	19166346	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Tfap2b	1	19208914	19238734	+	NaN	null					Not found	0	0.021723382	0.035203878	0.005108387	0.0
Pkhd1	1	20057779	20618064	-	NaN	null					Not found	0	0.09119782	0.036685668	0.0	0.0
4930486I03Rik	1	20381093	20392300	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Il17a	1	20730905	20734496	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Il17f	1	20777151	20784270	-	NaN	null					Not found	0	0.023671634	0.0319676	0.25049388	0.06942815
Mcm3	1	20802974	20820278	-	NaN	null					Not found	0	82.04722	87.40756	75.65404	45.38923
Paqr8	1	20890622	20938755	+	NaN	null					Not found	0	0.17113605	0.29714456	0.2515231	0.4123051
Efhc1	1	20951626	20990838	+	NaN	null					Not found	0	0.113333985	0.13604715	0.5182175	0.92334723
Tram2	1	20996296	21079229	-	NaN	null					Not found	0	0.48736233	0.5196027	1.7944926	1.4983815
Tmem14a	1	21218575	21230167	+	NaN	null					Not found	0	0.51381993	0.36082456	0.12082791	0.1808421
Gsta3	1	21240589	21265361	+	NaN	null					Not found	0	1.934901	0.45794964	0.0	0.0
AC163025.1	1	21272338	21273082	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Khdc1a	1	21349641	21352200	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Khdc1c	1	21368331	21370845	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Khdc1b	1	21383556	21386373	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Kcnq5	1	21398403	21961942	-	NaN	null					Not found	0	0.046946123	0.07315254	0.025476161	0.01588748
Rims1	1	22286251	22805994	-	NaN	null					Not found	0	0.33580747	0.51906013	0.0	0.005933209
4933415F23Rik	1	23100473	23102253	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm6420	1	23255987	23256406	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Ogfrl1	1	23366424	23383175	-	NaN	null					Not found	0	1.4101238	1.8578693	2.439816	1.8325508
B3gat2	1	23761753	23849158	+	NaN	null					Not found	0	0.0984798	0.15112846	0.32631913	0.19693509
Smap1	1	23844846	23922317	-	NaN	null					Not found	0	8.302863	9.377121	10.885612	11.811534
1110058L19Rik	1	23995939	24005656	-	NaN	null					Not found	0	1.270793	2.4026175	1.1953392	1.2579285
Fam135a	1	24010758	24100341	-	NaN	null					Not found	0	3.0527623	3.3746455	6.143846	5.9691033
Col9a1	1	24177610	24252684	+	NaN	null					Not found	0	0.010957706	0.0073989728	0.0	0.0
Col19a1	1	24261890	24587472	-	NaN	null					Not found	0	0.008063547	0.0	0.0	0.0
Gm10222	1	24612404	24612700	-	NaN	null					Not found	0	1793.2509	2635.465	1238.1943	2046.2634
Lmbrd1	1	24678544	24766299	+	NaN	null					Not found	0	1.030309	1.2035536	2.6711757	2.9765358
Bai3	1	25067476	25829707	-	NaN	null					Not found	0	0.0044483864	0.018022105	0.0026151636	0.003261744
Gm9884	1	25830657	25831878	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
4931408C20Rik	1	26681814	26687460	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm597	1	28776144	28780252	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm6462	1	28938035	28938340	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm9898	1	30718554	30719961	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Phf3	1	30802342	30863256	-	NaN	null					Not found	0	29.555275	28.194168	26.593996	33.02376
Ptp4a1	1	30940303	30949770	-	NaN	null					Not found	0	11.659079	11.286499	18.672829	14.185777
Gm5698	1	30976950	30978965	-	NaN	null					Not found	0	0.7300655	0.1314566	0.0	0.0
Gm5699	1	30997867	30999905	-	NaN	null					Not found	0	0.5009479	0.12885909	0.0	0.0
4931428L18Rik	1	31141078	31222661	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Lgsn	1	31176406	31204656	+	NaN	null					Not found	0	0.0	0.0	0.0	0.02185701
4930521A18Rik	1	31222839	31224287	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
AC121888.1	1	31286945	31287706	+	NaN	null					Not found	0	0.7287881	0.0	0.0	0.0
Gm10307	1	31615458	31616843	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Khdrbs2	1	32172806	32657738	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm9839	1	32519563	32520999	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm5415	1	32543546	32547293	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Prim2	1	33453811	33669786	-	NaN	null					Not found	0	12.760022	15.056446	16.199242	14.111987
1700001G17Rik	1	33669843	33670712	+	NaN	null					Not found	0	0.0	0.0	0.0	0.04680415
Rab23	1	33719882	33742564	+	NaN	null					Not found	0	3.4570086	3.521811	2.936044	2.200129
Bag2	1	33745484	33757794	-	NaN	null					Not found	0	0.93706876	2.014768	5.2624846	5.5871935
Zfp451	1	33760472	33814595	-	NaN	null					Not found	0	3.4037688	3.7077987	2.8251019	2.403507
Bend6	1	33852052	33907816	-	NaN	null					Not found	0	0.073392496	0.23126516	0.41229108	0.15546401
Dst	1	34011825	34308650	+	NaN	null					Not found	0	15.088833	9.101315	5.933279	8.008359
Ccdc115	1	34436671	34439672	-	NaN	null					Not found	0	9.940002	8.164176	9.675522	5.2333307
Imp4	1	34439851	34445736	+	NaN	null					Not found	0	7.363088	9.659028	14.876609	8.45615
Ptpn18	1	34459746	34473775	+	NaN	null					Not found	0	0.31854868	0.43018734	5.077144	3.3219314
Prss39	1	34498430	34503062	+	NaN	null					Not found	0	0.022284772	0.090284094	0.0	0.0
Cfc1	1	34535648	34544311	+	NaN	null					Not found	0	0.026750315	0.0	0.0	0.0
Prss40	1	34543975	34560943	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
1700101I19Rik	1	34579224	34579613	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Fam123c	1	34579693	34590938	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
C230030N03Rik	1	34678188	34724301	+	NaN	null					Not found	0	0.10387888	0.11222744	0.024427759	0.076168366
Arhgef4	1	34721924	34813309	+	NaN	null					Not found	0	0.1168688	0.10521777	0.1338887	0.06591778
Fam168b	1	34813219	34843065	-	NaN	null					Not found	0	4.5967693	5.2521625	10.847119	6.304167
Plekhb2	1	34849976	34879580	+	NaN	null					Not found	0	0.62577045	0.4600981	8.028056	5.240987
Hs6st1	1	36068400	36106446	+	NaN	null					Not found	0	5.8908377	6.815984	4.6790066	6.9198155
Uggt1	1	36141530	36244305	-	NaN	null					Not found	0	8.365268	9.649409	10.137186	10.453639
Neurl3	1	36264602	36273425	-	NaN	null					Not found	0	0.021499673	0.014517226	0.0	0.0
Arid5a	1	36307733	36324029	+	NaN	null					Not found	0	0.11539461	0.13148648	0.07631931	0.10576522
Kansl3	1	36335730	36369181	-	NaN	null					Not found	0	4.162344	4.559589	6.7563868	6.3834515
Lman2l	1	36422065	36445271	-	NaN	null					Not found	0	0.8800162	1.1196232	0.83321077	1.0256315
Cnnm4	1	36471620	36508764	+	NaN	null					Not found	0	0.46410355	0.841169	2.4053178	2.15822
Cnnm3	1	36511867	36528237	+	NaN	null					Not found	0	1.119066	1.268374	0.7225022	0.6007571
Ankrd23	1	36530534	36535729	-	NaN	null					Not found	0	0.34104598	0.28785563	0.46782786	0.7293687
Ankrd39	1	36538173	36547201	-	NaN	null					Not found	0	0.27984482	0.4828969	1.1516267	1.0031707
Sema4c	1	36548642	36558349	-	NaN	null					Not found	0	0.3811133	0.42481387	3.3785746	2.5993128
D430040D24Rik	1	36558359	36565613	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Fam178b	1	36562694	36683183	-	NaN	null					Not found	0	0.6539112	0.77763855	0.022950932	0.0
Cox5b	1	36691487	36693385	+	NaN	null					Not found	0	189.36388	175.23357	222.76578	278.13077
Actr1b	1	36699202	36714422	-	NaN	null					Not found	0	7.277244	8.544741	16.375086	11.336564
Zap70	1	36761861	36782816	+	NaN	null					Not found	0	0.14010783	0.29241553	0.23961616	0.20546591
Tmem131	1	36792191	36939527	-	NaN	null					Not found	0	24.589718	23.933184	13.93986	12.260672
Rpl12-ps1	1	36957893	36958517	-	NaN	null					Not found	0	0.04442692	0.0	0.0	0.0
Vwa3b	1	37026596	37076996	+	NaN	null					Not found	0	0.0	0.0194089	0.0	0.0
Vwa3b	1	37153844	37187605	+	NaN	null					Not found	0	0.25829604	0.049831223	0.0	0.0
Cnga3	1	37218336	37263384	+	NaN	null					Not found	0	0.5229158	0.37326497	0.07905012	0.054774836
Inpp4a	1	37299865	37410736	+	NaN	null					Not found	0	0.39222676	0.33880857	0.5650404	0.8394728
4930439A04Rik	1	37329667	37334172	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
6330578E17Rik	1	37417084	37430103	-	NaN	null					Not found	0	9.595836	11.104766	15.9139595	11.679351
Unc50	1	37430170	37439124	+	NaN	null					Not found	0	3.013454	4.650914	6.137262	5.8133297
Mgat4a	1	37439340	37541016	-	NaN	null					Not found	0	0.80614585	0.95639986	0.4252041	0.91150945
2010300C02Rik	1	37611677	37720085	-	NaN	null					Not found	0	0.038299073	0.036943838	0.27662095	0.39315486
4930556I23Rik	1	37614259	37615372	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Tsga10	1	37754572	37865298	-	NaN	null					Not found	0	0.24537063	0.21191837	0.093930915	0.14225923
Lipt1	1	37871738	37877387	+	NaN	null					Not found	0	0.78715926	1.2382514	0.7322849	1.0782452
Mitd1	1	37874801	37890411	-	NaN	null					Not found	0	3.6118681	4.2759748	7.9250655	7.3959827
Mrpl30	1	37890477	37898535	+	NaN	null					Not found	0	8.263769	10.893272	11.706083	11.74644
Lyg2	1	37905921	37916493	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm15457	1	37933596	37954136	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Lyg1	1	37946736	37957759	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Txndc9	1	37983867	37997346	-	NaN	null					Not found	0	5.813649	6.6580424	8.198225	6.8121414
Eif5b	1	37998010	38055579	+	NaN	null					Not found	0	45.024494	50.863	46.963783	39.21554
Rev1	1	38052787	38129662	-	NaN	null					Not found	0	10.152714	10.296329	8.282601	8.2758
Aff3	1	38177326	38664955	-	NaN	null					Not found	0	0.80537987	0.9692899	0.08341012	0.085673966
Gm16150	1	38235420	38246666	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm16151	1	38307902	38311930	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm16152	1	38384949	38393974	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Lonrf2	1	38793669	38836090	-	NaN	null					Not found	0	0.14132948	0.14910924	0.0	0.0
Chst10	1	38863877	38898160	-	NaN	null					Not found	0	0.6061458	0.8787652	0.08384642	0.15686527
Nms	1	38939149	38950278	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Pdcl3	1	38987814	38997236	+	NaN	null					Not found	0	13.297478	16.66089	14.4867	14.082398
Npas2	1	39193731	39363234	+	NaN	null					Not found	0	0.0057980428	0.0	0.08180673	0.30609855
Rpl31	1	39367851	39371908	+	NaN	null					Not found	0	118.43628	144.50665	263.974	162.0647
Tbc1d8	1	39371499	39478747	-	NaN	null					Not found	0	0.55708915	0.29585886	0.5740579	1.5513108
D1Bwg0212e	1	39534992	39546881	+	NaN	null					Not found	0	8.179315	8.817386	11.352073	7.899605
Gm15832	1	39547570	39552002	-	NaN	null					Not found	0	1.8642576	1.7193403	1.8711838	1.2447042
Rnf149	1	39551296	39577405	-	NaN	null					Not found	0	8.061968	7.0952864	7.926098	5.1222343
Creg2	1	39618406	39651182	-	NaN	null					Not found	0	0.043093886	0.032331433	0.011259769	0.028087333
Rfx8	1	39665306	39720997	-	NaN	null					Not found	0	0.0	0.0	0.030597657	0.0
Gm3646	1	39804141	39805332	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Map4k4	1	39900913	40026310	+	NaN	null					Not found	0	26.040691	22.345984	48.128723	37.203842
Il1r2	1	40084768	40125219	+	NaN	null					Not found	0	0.16614406	0.16827822	0.024418624	0.15227978
Il1r1	1	40225080	40316198	+	NaN	null					Not found	0	0.06590228	0.11866453	0.21308823	0.24966533
Il1rl2	1	40324627	40365471	+	NaN	null					Not found	0	0.05695759	0.05768922	0.0	0.0
Il1rl1	1	40429570	40465415	+	NaN	null					Not found	0	0.0	0.0	0.023678346	0.041345704
Il18r1	1	40465552	40500854	+	NaN	null					Not found	0	0.035073884	0.055260204	0.0412392	0.025717648
Il18rap	1	40515362	40551705	+	NaN	null					Not found	0	0.0	0.0	0.14022265	0.12061497
Slc9a4	1	40580227	40630731	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Slc9a2	1	40681712	40768885	+	NaN	null					Not found	0	0.015898556	0.010735183	0.0	0.0
Mfsd9	1	40772038	40790687	-	NaN	null					Not found	0	0.16253753	0.21218377	0.0	0.0
Tmem182	1	40805601	40855944	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
AC101702.1	1	40863734	40864219	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm9915	1	42229726	42231108	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
2610017I09Rik	1	42648162	42667672	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
2610017I09Rik	1	42692940	42694825	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm20646	1	42694925	42740968	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Pou3f3	1	42697146	42700207	+	NaN	null					Not found	0	0.081613794	0.073477454	0.021324428	0.02659674
Mrps9	1	42851233	42905682	+	NaN	null					Not found	0	26.787743	31.627363	22.263983	21.709467
Gpr45	1	42952872	43035449	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0105491225
AC112941.2	1	42953139	43030781	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Tgfbrap1	1	43047269	43098622	-	NaN	null					Not found	0	0.4763179	0.7380429	1.7862501	1.6984886
8430432A02Rik	1	43092588	43093835	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
AI597479	1	43098710	43115947	+	NaN	null					Not found	0	4.6411877	4.5218806	5.079371	5.687557
Fhl2	1	43123074	43163961	-	NaN	null					Not found	0	0.17765085	0.3598656	4.4908867	2.3968036
Nck2	1	43445751	43570515	+	NaN	null					Not found	0	1.4237702	1.6276258	3.6517465	5.5743046
1500015O10Rik	1	43730602	43742578	+	NaN	null					Not found	0	0.061567243	0.041572057	0.0	0.0
Uxs1	1	43746966	43827800	-	NaN	null					Not found	0	3.3448756	3.7814338	6.161877	5.0649858
Tpp2	1	43934002	44002999	+	NaN	null					Not found	0	22.713999	23.834692	38.728176	31.09197
A530098C11Rik	1	44009408	44020034	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm8251	1	44055952	44061936	-	NaN	null					Not found	0	0.009278806	0.0	0.0	0.0
1700029F09Rik	1	44086613	44102441	-	NaN	null					Not found	0	6.9344983	8.605459	12.662426	9.53507
Kdelc1	1	44091463	44118808	-	NaN	null					Not found	0	3.981273	4.485761	6.2322392	4.514165
Bivm	1	44118957	44144770	+	NaN	null					Not found	0	2.1257236	2.7954078	2.4010482	3.38308
Ercc5	1	44147847	44181260	+	NaN	null					Not found	0	4.16281	5.032199	4.5598183	6.9304056
4832428D23Rik	1	44204070	44218961	-	NaN	null					Not found	0	0.021030163	0.0	0.0	0.0
Gulp1	1	44551511	44796833	+	NaN	null					Not found	0	0.4809069	0.6394542	0.59153837	0.77034175
Col3a1	1	45311538	45349706	+	NaN	null					Not found	0	0.029828291	0.10741846	0.0	0.0
Col5a2	1	45374321	45503282	-	NaN	null					Not found	0	0.10132822	0.41833863	0.0	0.0
Wdr75	1	45795166	45823619	+	NaN	null					Not found	0	21.691914	26.9728	24.266026	17.230516
Slc40a1	1	45908070	45925594	-	NaN	null					Not found	0	1.9469638	0.89862055	1.1590899	1.3974777
Rpl23a-ps1	1	45981548	45982015	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm3852	1	46011547	46012266	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm4776	1	46020072	46030469	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Dnahc7b	1	46066738	46373550	+	NaN	null					Not found	0	0.018033335	0.0152208125	0.037105683	0.0925596
Dnahc7c	1	46608961	46626111	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Slc39a10	1	46807544	46854046	-	NaN	null					Not found	0	14.840971	14.089277	9.7247305	10.113278
C230029F24Rik	1	49244616	49338246	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Tmeff2	1	50900647	51187270	+	NaN	null					Not found	0	0.039288048	0.07958542	0.0	0.0
Sdpr	1	51289126	51302959	+	NaN	null					Not found	0	0.0	0.024556644	0.0	0.0
Obfc2a	1	51469498	51478399	-	NaN	null					Not found	0	26.72606	18.550104	34.7257	48.10616
Myo1b	1	51749765	51916071	-	NaN	null					Not found	0	2.4082422	2.658077	4.2836494	6.135108
Gm8420	1	51940650	51941261	-	NaN	null					Not found	0	0.0	0.0	0.10669184	0.0
Stat4	1	51987148	52107188	+	NaN	null					Not found	0	2.9743867	2.5745604	0.0	0.0
Gm3940	1	52090635	52091066	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Stat1	1	52119438	52161865	+	NaN	null					Not found	0	1.3754464	1.7486486	2.0278466	2.5292172
Gls	1	52163448	52233232	-	NaN	null					Not found	0	2.5651627	2.634846	2.1032257	1.8984636
Nab1	1	52457294	52500679	-	NaN	null					Not found	0	2.2918003	1.8918898	5.357325	6.083508
Tmem194b	1	52630705	52651919	+	NaN	null					Not found	0	1.0226439	1.1379769	1.2312627	1.1637602
Mfsd6	1	52656286	52727462	-	NaN	null					Not found	0	0.1303607	0.24756598	0.46461663	0.43611085
Inpp1	1	52789413	52817688	-	NaN	null					Not found	0	0.46016166	0.5608027	24.320822	17.989708
Hibch	1	52845013	52920986	+	NaN	null					Not found	0	3.5710013	5.2089133	21.033947	26.3855
1700019D03Rik	1	52922324	52963260	-	NaN	null					Not found	0	7.533044	6.772683	0.14680456	0.25430685
Mstn	1	53061663	53068079	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
1700019A02Rik	1	53158577	53187617	-	NaN	null					Not found	0	1.7271233	1.2559137	0.0	0.06494356
Pms1	1	53189187	53297018	-	NaN	null					Not found	0	3.698907	5.2840037	3.3380575	3.9832225
Ormdl1	1	53297095	53310309	+	NaN	null					Not found	0	1.8978812	1.8625622	2.5364168	2.791856
Osgepl1	1	53313624	53326343	+	NaN	null					Not found	0	0.81308424	1.2261424	0.87634146	1.0930105
Asnsd1	1	53325507	53352752	-	NaN	null					Not found	0	12.635867	18.428091	11.720763	15.341728
Dnahc7a	1	53397002	53706784	-	NaN	null					Not found	0	0.038464475	0.021389013	0.0053206813	0.0033180907
Stk17b	1	53755506	53785224	-	NaN	null					Not found	0	2.88377	4.224645	4.0846806	3.2397625
Hecw2	1	53806882	54195168	-	NaN	null					Not found	0	0.5471402	0.492594	0.02018249	0.0377587
Ccdc150	1	54250683	54368727	+	NaN	null					Not found	0	0.0718918	0.074682325	0.084529	0.1865268
Gtf3c3	1	54397581	54438971	-	NaN	null					Not found	0	9.471213	12.104177	10.484203	9.336376
Pgap1	1	54473000	54557684	-	NaN	null					Not found	0	4.370145	3.395697	1.94732	3.7105308
Ankrd44	1	54645340	54926387	-	NaN	null					Not found	0	0.10789441	0.19157787	0.06812861	0.12599434
