chr	start	end	ID_class	score	strand	class	Tet1KO_MethylC	Tet1KO_TAB	Tet2KO_MethylC	Tet2KO_TAB	WT_MethylC	WT_TAB
chr3	112610399	112611213	ESCTE1078_noclass	0	+	ESC_noclass	50.239754	1.7857145	59.387684	1.4389651	78.62787	3.4885132
chr3	112610399	112611213	ESCTE1078_NonEnh	0	+	ESC_NonEnh	50.239754	1.7857145	59.387684	1.4389651	78.62787	3.4885132
chr1	18170611	18171016	ESCTE108_noclass	0	-	ESC_noclass	57.509377	2.5210085	64.57344	2.8063662	69.03319	5.0062575
chr3	113565351	113565775	ESCTE1081_noclass	0	+	ESC_noclass	54.639412	5.041667	71.86836	1.77049	73.606224	9.427236
chr3	117092729	117093582	ESCTE1087_noclass	0	-	ESC_noclass	16.6183	3.241589	42.82494	2.1935549	28.203558	7.5275364
chr3	117092729	117093582	ESCTE1087_NonEnh	0	-	ESC_NonEnh	16.6183	3.241589	42.82494	2.1935549	28.203558	7.5275364
chr1	18246123	18246915	ESCTE109_noclass	0	-	ESC_noclass	48.568405	6.760611	59.80457	1.3778366	66.977066	9.036184
chr1	18246123	18246915	ESCTE109_NonEnh	0	-	ESC_NonEnh	48.568405	6.760611	59.80457	1.3778366	66.977066	9.036184
chr3	122936494	122937380	ESCTE1095_noclass	0	+	ESC_noclass	0.23809524	0.54923046	0.33783785	0.4740874	1.4532105	0.25641027
chr3	126349924	126350762	ESCTE1103_noclass	0	+	ESC_noclass	50.495373	7.375	67.93874	0.73260075	70.70182	5.472692
chr3	126349924	126350762	ESCTE1103_NonEnh	0	+	ESC_NonEnh	50.495373	7.375	67.93874	0.73260075	70.70182	5.472692
chr3	129387125	129387496	ESCTE1106_noclass	0	+	ESC_noclass	35.807766	6.445009	52.31641	3.723178	42.314728	8.310794
chr3	129772592	129772995	ESCTE1107_noclass	0	+	ESC_noclass	49.734047	2.2701612	63.396862	1.1319282	59.250732	10.163055
chr3	133792267	133792703	ESCTE1112_noclass	0	+	ESC_noclass	63.260036	0	61.430588	1.3449715	82.1668	3.5648124
chr3	137049976	137050862	ESCTE1115_noclass	0	+	ESC_noclass	57.159557	6.0833335	63.455444	2.5529125	76.933655	9.091209
chr3	137049976	137050862	ESCTE1115_NonEnh	0	+	ESC_NonEnh	57.159557	6.0833335	63.455444	2.5529125	76.933655	9.091209
chr3	138274620	138274961	ESCTE1117_noclass	0	+	ESC_noclass	34.657867	6.915727	60.526596	3.8514342	39.535408	8.164869
chr3	138304618	138305042	ESCTE1118_noclass	0	+	ESC_noclass	32.987335	3.616909	55.334015	3.9359796	34.872494	7.1101127
chr1	22046297	22046705	ESCTE112_noclass	0	+	ESC_noclass	67.333336	1.1363636	65.91034	1.6121032	72.69241	3.8217769
chr3	139408671	139409535	ESCTE1122_REDE	0	+	ESC_REDE	19.16566	1.4705882	21.713308	3.3953974	5.210343	4.074549
chr3	142525050	142525991	ESCTE1125_noclass	0	+	ESC_noclass	55.095577	3.5835247	54.617493	2.440353	64.770325	4.72353
chr3	142525050	142525991	ESCTE1125_NonEnh	0	+	ESC_NonEnh	55.095577	3.5835247	54.617493	2.440353	64.770325	4.72353
chr3	146637719	146638664	ESCTE1139_noclass	0	+	ESC_noclass	68.98937	3.1333265	68.93861	2.9149072	80.840836	5.917622
chr3	146637719	146638664	ESCTE1139_NonEnh	0	+	ESC_NonEnh	68.98937	3.1333265	68.93861	2.9149072	80.840836	5.917622
chr3	151766891	151767286	ESCTE1143_noclass	0	+	ESC_noclass	63.061703	1.948052	62.314594	0.7518797	74.48213	2.245671
chr3	151766891	151767286	ESCTE1143_NonEnh	0	+	ESC_NonEnh	63.061703	1.948052	62.314594	0.7518797	74.48213	2.245671
chr4	4242711	4243002	ESCTE1159_noclass	0	+	ESC_noclass	38.227814	9.438304	69.96213	3.3975387	62.236053	12.165111
chr4	4749290	4749661	ESCTE1166_noclass	0	+	ESC_noclass	83.499756	0.9259259	75.86039	0.8796296	89.166664	1.0297767
chr4	4815841	4816216	ESCTE1167_noclass	0	+	ESC_noclass	62.539886	1.5796769	64.50356	0.5714286	76.97625	4.835973
chr4	4902651	4903028	ESCTE1169_noclass	0	+	ESC_noclass	75.747765	1.2371615	72.38248	3.3934913	77.77779	4.005158
chr4	4902651	4903028	ESCTE1169_NonEnh	0	+	ESC_NonEnh	75.747765	1.2371615	72.38248	3.3934913	77.77779	4.005158
chr4	5050475	5050879	ESCTE1172_noclass	0	+	ESC_noclass	81.43398	2.020202	65.63335	0.5555556	85.05915	2.4337044
chr4	5215599	5216003	ESCTE1176_noclass	0	+	ESC_noclass	68.02988	2.4973292	67.15066	1.886721	74.51429	3.5842552
chr4	5215599	5216003	ESCTE1176_NonEnh	0	+	ESC_NonEnh	68.02988	2.4973292	67.15066	1.886721	74.51429	3.5842552
chr4	5515234	5516098	ESCTE1177_REDE	0	-	ESC_REDE	0.5451128	0.6730705	7.9337997	0.46976173	5.7748756	2.04116
chr4	6115767	6116634	ESCTE1182_REDE	0	-	ESC_REDE	3.7826421	2.2306402	53.484325	2.2613177	44.56757	6.7164297
chr4	9750502	9750917	ESCTE1199_noclass	0	+	ESC_noclass	25.165964	1.6451613	24.638498	1.7812964	18.849323	2.6595123
chr4	10481042	10481431	ESCTE1201_noclass	0	+	ESC_noclass	47.621433	5.4346666	52.166496	1.3914095	39.617947	5.558725
chr4	14487222	14487615	ESCTE1205_noclass	0	+	ESC_noclass	25.782393	3.75	17.663818	3.5512428	11.828847	10.395834
chr4	15049255	15049520	ESCTE1206_noclass	0	+	ESC_noclass	29.764671	4.814815	47.522594	2.9957888	36.998726	8.720715
chr1	25048748	25049001	ESCTE121_noclass	0	-	ESC_noclass	65.794716	1.6666667	71.475296	2.029981	84.76812	6.695681
chr1	25048748	25049001	ESCTE121_NonEnh	0	-	ESC_NonEnh	65.794716	1.6666667	71.475296	2.029981	84.76812	6.695681
chr4	15561209	15561549	ESCTE1211_noclass	0	-	ESC_noclass	62.41011	1.9463742	60.426807	1.6883554	71.33114	2.3672554
chr4	18429928	18430324	ESCTE1224_noclass	0	+	ESC_noclass	50.957237	11.638889	62.373737	4.148426	60.39798	11.919886
chr4	19964008	19964371	ESCTE1234_noclass	0	+	ESC_noclass	49.86987	9.295429	49.50431	1.1574074	64.602066	5.511948
chr4	20972072	20972462	ESCTE1236_noclass	0	-	ESC_noclass	3.8340335	0	31.00131	2.5961537	44.575497	8.460153
chr4	20976755	20977137	ESCTE1237_noclass	0	-	ESC_noclass	6.0508347	0	49.853596	2.6435826	64.90453	10.661227
chr4	23914102	23914467	ESCTE1246_noclass	0	+	ESC_noclass	46.616894	4.660474	53.19921	2.4958434	51.87298	7.865545
chr4	26384470	26384855	ESCTE1250_noclass	0	+	ESC_noclass	25.115988	2.2222223	39.01339	3.7571442	20.717403	5.060772
chr4	29813535	29814432	ESCTE1260_noclass	0	-	ESC_noclass	38.62434	3.7500002	61.19281	0.45045045	57.856365	6.3195305
chr4	29813535	29814432	ESCTE1260_NonEnh	0	-	ESC_NonEnh	38.62434	3.7500002	61.19281	0.45045045	57.856365	6.3195305
chr4	40020696	40021061	ESCTE1271_noclass	0	+	ESC_noclass	67.94979	4.3676877	64.17231	0.6556777	75.48739	8.648683
chr1	27073912	27074417	ESCTE128_noclass	0	+	ESC_noclass	55.43733	0	67.202385	0.5555556	83.31722	2.3612185
chr1	27073912	27074417	ESCTE128_NonEnh	0	+	ESC_NonEnh	55.43733	0	67.202385	0.5555556	83.31722	2.3612185
chr4	43602527	43602910	ESCTE1287_noclass	0	+	ESC_noclass	59.476746	3.3333333	53.33056	1.6915909	50.740208	4.5374475
chr4	43602527	43602910	ESCTE1287_NonEnh	0	+	ESC_NonEnh	59.476746	3.3333333	53.33056	1.6915909	50.740208	4.5374475
chr4	45957254	45957658	ESCTE1289_noclass	0	+	ESC_noclass	45.15652	3.979309	66.404175	3.7651308	60.460773	7.2854004
chr4	45957254	45957658	ESCTE1289_NonEnh	0	+	ESC_NonEnh	45.15652	3.979309	66.404175	3.7651308	60.460773	7.2854004
chr1	4059188	4059604	ESCTE13_noclass	0	-	ESC_noclass	33.58715	2.2893775	59.562428	1.589535	24.524305	7.058439
chr4	52517435	52517852	ESCTE1303_noclass	0	-	ESC_noclass	7.36166	2.9300082	21.32322	1.9930968	8.261153	4.72059
chr4	61862105	61862392	ESCTE1385_noclass	0	+	ESC_noclass	72.18494	0	58.886158	0.5050505	76.14429	0.5376344
chr4	62063063	62063457	ESCTE1397_noclass	0	-	ESC_noclass	81.992035	1.4520202	80.96375	0.877193	93.31749	3.7672591
chr4	62916926	62917335	ESCTE1407_noclass	0	-	ESC_noclass	63.374733	6.0856385	79.39527	1.7104192	36.682846	8.317684
chr4	62921767	62922151	ESCTE1408_noclass	0	-	ESC_noclass	57.683147	1.1627907	75.01212	2.5155313	56.83087	7.784729
chr4	69626608	69627010	ESCTE1412_REDE	0	+	ESC_REDE	12.931442	0	26.944056	3.4971442	15.201961	1.9131702
chr1	31937767	31938186	ESCTE143_noclass	0	-	ESC_noclass	48.0823	3.6477833	68.44055	2.8105533	60.59384	8.484265
chr4	78782526	78783405	ESCTE1437_noclass	0	-	ESC_noclass	13.854947	4.347826	26.700191	3.125	20.563986	3.6039422
chr4	78782526	78783405	ESCTE1437_NonEnh	0	-	ESC_NonEnh	13.854947	4.347826	26.700191	3.125	20.563986	3.6039422
chr4	80207252	80207631	ESCTE1441_noclass	0	+	ESC_noclass	59.38026	0.9007741	57.002815	1.8217602	75.121445	4.7213316
chr4	83257359	83257682	ESCTE1443_noclass	0	+	ESC_noclass	0	0.37593985	0.43290043	0.3888889	0.28248587	0.39323422
chr4	90203439	90203771	ESCTE1447_noclass	0	-	ESC_noclass	39.305557	4.8239765	49.295822	3.6928105	32.951626	7.3003073
chr4	94903209	94904158	ESCTE1454_noclass	0	+	ESC_noclass	72.00747	3.5883598	63.642487	1.9228772	76.14693	5.2355633
chr4	94903209	94904158	ESCTE1454_NonEnh	0	+	ESC_NonEnh	72.00747	3.5883598	63.642487	1.9228772	76.14693	5.2355633
chr4	98883449	98883784	ESCTE1458_noclass	0	+	ESC_noclass	1.8723824	0.72856224	17.53436	2.4036722	0.7153895	1.0658307
chr4	100499021	100499400	ESCTE1460_noclass	0	-	ESC_noclass	21.137648	7.1511245	27.425535	2.490696	15.882734	5.790374
chr4	104801605	104801952	ESCTE1465_noclass	0	-	ESC_noclass	30.087488	4.5755816	41.484673	0.75757575	25.820856	6.5489135
chr4	108145469	108145893	ESCTE1466_noclass	0	-	ESC_noclass	9.253785	3.0618687	14.717219	1.044165	3.6137905	0
chr4	108145469	108145893	ESCTE1466_NonEnh	0	-	ESC_NonEnh	9.253785	3.0618687	14.717219	1.044165	3.6137905	0
chr4	108977914	108978329	ESCTE1467_noclass	0	+	ESC_noclass	40.87898	1.1494253	38.316685	3.621997	17.8658	4.3002543
chr4	115232714	115233581	ESCTE1486_noclass	0	-	ESC_noclass	31.015242	7.7389045	68.401764	2.3483064	35.655266	9.409543
chr4	115557790	115558171	ESCTE1488_REDE	0	-	ESC_REDE	10.977702	2.7313268	2.9642856	0.32786885	6.5434	1.227334
chr4	115992761	115993425	ESCTE1491_noclass	0	+	ESC_noclass	39.093937	3.5353537	49.20635	1.026613	47.4252	4.6166615
chr4	115992761	115993425	ESCTE1491_NonEnh	0	+	ESC_NonEnh	39.093937	3.5353537	49.20635	1.026613	47.4252	4.6166615
chr4	118741399	118741800	ESCTE1494_noclass	0	+	ESC_noclass	0	0	0.592055	0.5143957	0.20833334	0.42789304
chr4	118899582	118899909	ESCTE1498_noclass	0	+	ESC_noclass	36.5512	8.596361	58.386387	3.735704	19.63456	11.927767
chr4	118931046	118932002	ESCTE1499_noclass	0	-	ESC_noclass	7.55126	0	25.21095	1.1908654	35.430183	7.536296
chr4	118931046	118932002	ESCTE1499_NonEnh	0	-	ESC_NonEnh	7.55126	0	25.21095	1.1908654	35.430183	7.536296
chr4	128763352	128764056	ESCTE1504_noclass	0	-	ESC_noclass	66.95238	3.4214287	72.68018	0.625	75.63501	5.3449516
chr4	128763352	128764056	ESCTE1504_NonEnh	0	-	ESC_NonEnh	66.95238	3.4214287	72.68018	0.625	75.63501	5.3449516
chr1	37205692	37206101	ESCTE151_noclass	0	+	ESC_noclass	72.25374	8.904834	76.70496	0.72068965	86.868675	1.8134676
chr4	141270079	141270489	ESCTE1513_noclass	0	-	ESC_noclass	0	0	2.7429214	1.0288433	1.5525986	0.33898306
chr4	148093223	148093370	ESCTE1532_noclass	0	-	ESC_noclass	1.4814814	1	9.768908	1.0564421	1.4666667	2.9857397
chr4	148093697	148094345	ESCTE1534_noclass	0	-	ESC_noclass	4.9430113	4.2397146	19.047869	0.43164957	25.027443	3.9314983
chr4	153186545	153186878	ESCTE1537_noclass	0	+	ESC_noclass	37.792397	1.9047619	43.353527	0.89285713	31.159857	7.3495674
chr4	153186545	153186878	ESCTE1537_NonEnh	0	+	ESC_NonEnh	37.792397	1.9047619	43.353527	0.89285713	31.159857	7.3495674
chr1	42866133	42866485	ESCTE154_noclass	0	+	ESC_noclass	53.94525	3.4722223	50.918713	1.3333334	74.33648	8.366295
chr4	155480700	155481015	ESCTE1540_noclass	0	+	ESC_noclass	50.2906	3.7037039	58.063274	1.3922306	57.68248	7.1866164
chr4	155670293	155670688	ESCTE1541_noclass	0	+	ESC_noclass	0.9550561	0.3968254	0.7187223	0.6502924	1.536183	0.7675738
chr5	3872256	3872662	ESCTE1543_REDE	0	-	ESC_REDE	2.2727273	4.69784	7.642991	0.70757884	0.74825174	2.7171123
chr5	4318086	4318497	ESCTE1547_noclass	0	+	ESC_noclass	65.56483	5.797619	72.27941	1.1063763	69.221016	5.737465
chr5	5956100	5956513	ESCTE1549_noclass	0	-	ESC_noclass	48.74978	3.1060607	63.88741	1.6755139	64.40834	7.563844
chr1	43941459	43941864	ESCTE155_noclass	0	-	ESC_noclass	8.7066765	1.8891118	31.96676	1.291877	9.888107	6.66559
chr5	7645749	7646180	ESCTE1561_noclass	0	-	ESC_noclass	24.391104	4.693878	34.917496	1.7279518	26.8983	4.6849413
chr5	7723333	7723746	ESCTE1562_noclass	0	-	ESC_noclass	23.75641	2.8138528	52.29825	3.266868	33.069332	6.155824
chr5	8034608	8035000	ESCTE1564_noclass	0	-	ESC_noclass	40.002827	0	42.83333	1.928338	54.842342	2.7673125
chr5	8959945	8960316	ESCTE1565_noclass	0	-	ESC_noclass	57.157898	7.1092696	63.03164	3.8556728	39.676144	11.964847
chr5	9030868	9031167	ESCTE1567_noclass	0	+	ESC_noclass	14.601226	1.6260161	31.039871	4.705107	11.42643	2.2990603
chr5	9755475	9756331	ESCTE1570_REDE	0	+	ESC_REDE	11.333334	1.5381298	18.348232	3.205066	8.18843	5.822161
chr5	12872713	12873113	ESCTE1595_REDE	0	-	ESC_REDE	6.818644	2.6727357	15.794574	1.6933534	17.099878	3.7846477
chr5	13614498	13614925	ESCTE1597_REDE	0	-	ESC_REDE	31.630136	9.089929	54.42765	4.4220014	52.500816	11.357066
chr5	16968606	16969465	ESCTE1603_REDE	0	-	ESC_REDE	1.0416667	0.6060606	1.4273076	0.27173913	2.5307796	0.76204026
chr5	17778022	17778413	ESCTE1606_noclass	0	-	ESC_noclass	77.16013	0.80645156	68.15765	0.5208334	82.15473	4.702381
chr5	18453309	18453723	ESCTE1614_noclass	0	+	ESC_noclass	40.59158	4.1198163	30.403498	2.6711776	45.348316	4.0463743
chr5	18799508	18799917	ESCTE1619_noclass	0	-	ESC_noclass	28.13183	0	16.297209	0.6944445	53.377193	10.897437
chr5	19404061	19405005	ESCTE1621_noclass	0	-	ESC_noclass	16.940437	5.265868	35.984646	2.9123	43.56261	9.3585
chr5	20710703	20711118	ESCTE1624_REDE	0	-	ESC_REDE	12.537404	3.8888893	50.897785	3.985344	38.03178	10.847086
chr5	20741147	20741589	ESCTE1625_noclass	0	-	ESC_noclass	23.705618	7.2906427	55.935287	4.8856163	27.994452	10.668194
chr5	22425601	22426568	ESCTE1628_noclass	0	+	ESC_noclass	33.161617	4.978989	56.866005	2.8096383	49.20635	7.5351996
chr5	22425601	22426568	ESCTE1628_NonEnh	0	+	ESC_NonEnh	33.161617	4.978989	56.866005	2.8096383	49.20635	7.5351996
chr5	22560802	22561758	ESCTE1629_noclass	0	+	ESC_noclass	30.177114	7.0281353	50.885326	1.8125013	45.187103	7.888424
chr5	22560802	22561758	ESCTE1629_NonEnh	0	+	ESC_NonEnh	30.177114	7.0281353	50.885326	1.8125013	45.187103	7.888424
chr5	24203413	24203846	ESCTE1633_noclass	0	-	ESC_noclass	37.28243	2.0955882	39.716022	3.7342994	19.029282	6.1465206
chr5	26703499	26704336	ESCTE1638_REDE	0	-	ESC_REDE	1.3706611	0.36231884	4.3031287	0.65789896	0.8938753	0.73444664
chr5	27421000	27421410	ESCTE1640_noclass	0	-	ESC_noclass	0.8333334	0	0	0.51484233	2.7976193	0.69005173
chr5	30659885	30660034	ESCTE1651_noclass	0	-	ESC_noclass	1.2820513	0	13.656634	0	3.4172	0.5555556
chr1	45553874	45554841	ESCTE166_noclass	0	+	ESC_noclass	75.690056	2.3651636	58.96378	0.83080035	81.485886	2.9922702
chr1	45553874	45554841	ESCTE166_NonEnh	0	+	ESC_NonEnh	75.690056	2.3651636	58.96378	0.83080035	81.485886	2.9922702
chr5	38608285	38608707	ESCTE1660_REDE	0	+	ESC_REDE	3.7707956	0.59523815	10.86271	0.6439394	5.650522	1.3579104
chr5	43860588	43860963	ESCTE1664_REDE	0	-	ESC_REDE	1.0644257	0	10.139665	1.217582	4.972645	2.4166842
chr5	55082233	55082425	ESCTE1673_noclass	0	-	ESC_noclass	70.26068	2.687747	67.81917	2.752753	76.45833	2.4310212
chr5	55082658	55083451	ESCTE1674_noclass	0	-	ESC_noclass	61.76829	2.605681	61.2422	1.0604527	79.31973	8.629789
chr5	59413543	59413967	ESCTE1692_noclass	0	+	ESC_noclass	70.218254	1.1904763	48.654587	1.0141207	79.665955	4.702982
chr5	59827201	59827947	ESCTE1694_noclass	0	+	ESC_noclass	62.889984	1.6190475	62.216114	1.9285715	76.53001	3.5492744
chr5	59827201	59827947	ESCTE1694_NonEnh	0	+	ESC_NonEnh	62.889984	1.6190475	62.216114	1.9285715	76.53001	3.5492744
chr5	60882289	60883153	ESCTE1698_REDE	0	-	ESC_REDE	0	0.5714286	1.7320821	1.9726802	3.3333333	1.6278253
chr5	61049482	61049859	ESCTE1700_noclass	0	+	ESC_noclass	52.830063	8.946152	71.75748	1.593266	59.036346	9.436129
chr5	67799858	67800193	ESCTE1709_noclass	0	+	ESC_noclass	38.675835	4.607372	58.115448	3.2111533	18.78074	12.468966
chr1	46377837	46378271	ESCTE171_noclass	0	-	ESC_noclass	66.38828	4.6868687	81.49374	2.5197506	76.73802	7.8099356
chr5	72196462	72196833	ESCTE1719_noclass	0	-	ESC_noclass	19.376444	7.2285357	29.480463	1.2149664	25.005013	4.125567
chr5	73887248	73887808	ESCTE1721_REDE	0	+	ESC_REDE	0.7257159	0.51020414	3.4769385	1.4009354	0.5392755	0.46551722
chr5	74073321	74073664	ESCTE1722_noclass	0	+	ESC_noclass	18.465197	2.4006	39.854694	4.182847	36.86901	9.6626835
chr5	76103742	76104145	ESCTE1723_REDE	0	-	ESC_REDE	2.394943	1.0817751	8.399752	0.23041473	1.8253415	0
chr5	79786015	79786379	ESCTE1730_noclass	0	+	ESC_noclass	63.38127	0	69.184456	0.6666667	75.30865	3.7083333
chr5	87772104	87772512	ESCTE1754_noclass	0	-	ESC_noclass	3.7037039	1.010101	11.684303	0	4.001676	3.036577
chr5	88294937	88295350	ESCTE1757_noclass	0	-	ESC_noclass	38.229294	3.57193	58.69166	2.3363283	64.25	6.4530754
chr5	92512146	92512563	ESCTE1763_noclass	0	+	ESC_noclass	88.79819	3.5869565	75.09408	2.2572312	83.837234	5.391172
chr5	92512146	92512563	ESCTE1763_NonEnh	0	+	ESC_NonEnh	88.79819	3.5869565	75.09408	2.2572312	83.837234	5.391172
chr5	92522879	92523263	ESCTE1764_noclass	0	+	ESC_noclass	24.753176	9.260042	56.246357	4.930631	21.928905	7.81801
chr1	47076518	47076921	ESCTE177_noclass	0	+	ESC_noclass	18.962101	4.413702	51.00025	2.3741572	22.58564	4.200527
chr1	47207494	47207861	ESCTE179_noclass	0	+	ESC_noclass	44.55092	6.309586	36.198013	1.9273592	35.375336	8.956181
chr5	100788170	100788567	ESCTE1799_noclass	0	+	ESC_noclass	63.94079	2.7323775	66.42823	2.458615	75.91616	8.777969
chr1	4660050	4660456	ESCTE18_noclass	0	-	ESC_noclass	9.586636	3.4768739	35.520008	3.5582135	13.568439	6.0156684
chr1	47488626	47489028	ESCTE180_noclass	0	+	ESC_noclass	39.68237	5.123457	81.35667	2.6531088	63.533936	8.446815
chr5	102101505	102102384	ESCTE1800_noclass	0	-	ESC_noclass	14.479821	5.027806	45.055317	2.8967006	33.824966	8.248419
chr5	103282683	103283061	ESCTE1802_noclass	0	+	ESC_noclass	45.328587	6.453981	59.063354	1.4678031	60.95133	11.684928
chr5	104442607	104443512	ESCTE1805_REDE	0	-	ESC_REDE	0	0.8806818	0.46031746	0.48717952	0.33333334	0.8764822
chr5	105195013	105195892	ESCTE1808_noclass	0	+	ESC_noclass	12.237583	3.0791788	52.247902	2.6680107	32.530056	8.496732
chr5	105195013	105195892	ESCTE1808_NonEnh	0	+	ESC_NonEnh	12.237583	3.0791788	52.247902	2.6680107	32.530056	8.496732
chr5	109096200	109097067	ESCTE1817_REDE	0	-	ESC_REDE	1.4294294	2.1164021	23.973577	1.3389555	14.036348	6.8751087
chr5	109243923	109244784	ESCTE1821_noclass	0	+	ESC_noclass	31.85589	2.9595802	46.486263	1.7443123	44.205826	1.5110801
chr5	109682690	109683545	ESCTE1828_REDE	0	+	ESC_REDE	0.84735274	0.2849003	7.4549346	0.931074	0.53396076	0.55759805
chr5	109842202	109842923	ESCTE1833_noclass	0	+	ESC_noclass	0.71428573	0	0	0	0.77519375	0.91156465
chr5	110098892	110099300	ESCTE1838_REDE	0	-	ESC_REDE	7.18545	0.8	14.598459	0.8992974	6.990196	1.5714287
chr5	110105612	110106044	ESCTE1839_noclass	0	+	ESC_noclass	19.111975	6.903103	33.79987	1.0968311	20.561438	4.2134027
chr5	110131756	110132124	ESCTE1840_REDE	0	+	ESC_REDE	9.593672	3.358677	46.06254	2.1818435	23.98342	7.8400297
chr5	113326082	113326393	ESCTE1841_noclass	0	+	ESC_noclass	25.754883	4.3146353	43.3044	1.3515742	35.199093	4.589405
chr5	113326082	113326393	ESCTE1841_NonEnh	0	+	ESC_NonEnh	25.754883	4.3146353	43.3044	1.3515742	35.199093	4.589405
chr5	113995890	113996240	ESCTE1844_noclass	0	+	ESC_noclass	38.944138	8.718193	58.959026	2.6449807	49.323883	9.467849
chr5	117403630	117403865	ESCTE1846_noclass	0	-	ESC_noclass	0	0.4716981	3.3973706	0	1.19846	0
chr5	123958941	123959283	ESCTE1849_noclass	0	-	ESC_noclass	33.831257	3.9311645	40.555557	0.6289308	32.328312	4.9753966
chr5	124875120	124875551	ESCTE1850_noclass	0	-	ESC_noclass	32.7596	1.853282	46.629025	3.8481565	38.713745	4.194138
chr5	129328801	129329131	ESCTE1859_noclass	0	-	ESC_noclass	43.27381	3.3333335	46.643467	1.9963843	36.621178	4.1955857
chr5	134260098	134260510	ESCTE1861_noclass	0	+	ESC_noclass	10.4477005	8.056023	46.13864	1.2236652	20.508726	10.008745
chr5	134436885	134437276	ESCTE1863_REDE	0	+	ESC_REDE	1.7055283	0.32894737	4.186821	0.97521245	1.7264649	1.0245405
chr5	134439108	134439505	ESCTE1864_REDE	0	+	ESC_REDE	1.115724	0.94736844	7.07317	0.23419203	1.637668	0.51484233
chr5	137933716	137934561	ESCTE1871_REDE	0	+	ESC_REDE	3.7849376	1.572491	9.522617	1.38048	10.383052	4.9387445
chr5	145301758	145302117	ESCTE1878_noclass	0	-	ESC_noclass	0.5681818	0.88099754	46.2264	2.4674869	27.114618	2.9543316
chr5	145307715	145308111	ESCTE1879_noclass	0	-	ESC_noclass	0.21645021	1.002815	62.976196	1.3919863	60.668526	7.3136306
chr1	49347473	49347855	ESCTE188_noclass	0	+	ESC_noclass	74.0277	1.25	63.313107	3.023447	66.833435	7.7142205
chr5	146206539	146206962	ESCTE1886_noclass	0	+	ESC_noclass	51.68933	9.363663	65.03339	1.2629092	51.678577	7.061553
chr5	148580611	148580983	ESCTE1888_noclass	0	+	ESC_noclass	2.68334	3.7866266	18.149946	2.5332096	4.493498	3.054694
